Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,102.12,69,67.25966
generative ai course,USA,Broad match,5.6,4,0.16906953
generative ai courses,USA,Broad match,0.6,1,0.0
generative ai online course,USA,Broad match,4.89,3,-0.48806262
online ai and ml courses,USA,Phrase match,20.57,17,13.426661
mit xpro ai,USA,Broad match,103.66,71,65.043236
mit artificial intelligence course,USA,Phrase match,12.46,7,5.2804956
generative ai certificate course,USA,Broad match,3.33,3,0.053926468
generative ai fundamentals course,USA,Broad match,1.01,1,0.0
generative ai online course,USA,Broad match,6.15,3,-0.48806262
generative ai online program,USA,Broad match,3.96,3,0.018965483
generative ai certificate program,USA,Broad match,5.3100000000000005,3,0.51592684
generative ai foundations course,USA,Broad match,11.48,7,4.3285336
mit generative ai certificate,USA,Broad match,13.05,9,2.8570843
online course generative ai,USA,Broad match,8.64,4,1.2702713
professional certificate in ai,USA,Phrase match,2.62,1,0.05112171
mit professional development,A,Broad match,1.12,2,0.025162578
generative ai course,A,Broad match,6.44,7,2.343698
generative ai courses,A,Broad match,0.25,1,0.0
online ai and ml courses,A,Phrase match,4.24,4,0.024431705
mit xpro ai,A,Broad match,9.23,13,7.921286
generative ai fundamentals course,A,Broad match,1.59,3,1.2181898
generative ai foundations course,A,Broad match,2.52,4,0.6541517
mit professional development,B,Broad match,1.88,4,0.86554694
generative ai course,B,Broad match,2.6,5,0.5334921
generative ai online course,B,Broad match,2.46,6,0.7821765
online ai and ml courses,B,Phrase match,0.92,4,0.0
mit xpro ai,B,Broad match,0.6,5,0.0
mit artificial intelligence course,B,Phrase match,1.54,2,0.0
generative ai online program,B,Broad match,2.84,4,0.38338804
mit generative ai certificate,B,Broad match,3.5,7,0.41834927
generative ai certification online,B,Broad match,0.8999999999999999,3,0.0
online course generative ai,B,Broad match,9.12,19,14.400871
mit ai course,USA,Phrase match,11.6,8,5.3970957
stanford ai professional program,USA,Phrase match,1.26,1,0.025162578
