Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,79.86,66,60.330605
generative ai course,USA,Broad match,3.08,4,1.6267207
mit generative ai course,USA,Broad match,2.48,2,0.6405369
generative ai online course,USA,Broad match,1.92,2,0.62105393
online ai and ml courses,USA,Phrase match,45.0,36,33.86576
mit xpro ai,USA,Broad match,53.81999999999999,46,44.46943
mit artificial intelligence course,USA,Phrase match,15.86,13,11.977752
generative ai certificate course,USA,Broad match,4.08,4,3.0201213
generative ai fundamentals course,USA,Broad match,8.5,10,7.7323513
generative ai online course,USA,Broad match,3.2,4,2.6536403
generative ai online program,USA,Broad match,2.85,3,0.89550924
generative ai certificate program,USA,Broad match,3.76,4,3.0201213
generative ai foundations course,USA,Broad match,16.39,11,9.456081
mit generative ai certificate,USA,Broad match,1.9,1,-0.08781862
generative ai certification online,USA,Broad match,2.2,1,0.41026002
generative ai course,A,Broad match,3.44,4,2.6474702
generative ai courses,A,Broad match,1.46,1,-0.08781862
generative ai online course,A,Broad match,1.34,2,0.39672446
online ai and ml courses,A,Phrase match,1.53,3,0.9054549
mit xpro ai,A,Broad match,2.24,2,0.8934974
generative ai certificate course,A,Broad match,1.4,1,0.27058965
generative ai fundamentals course,A,Broad match,2.22,3,0.55260134
generative ai online program,A,Broad match,7.630000000000001,7,4.4113684
generative ai certificate program,A,Broad match,0.63,1,0.0
generative ai foundations course,A,Broad match,1.48,2,0.47420406
online course generative ai,A,Broad match,0.83,1,0.0
professional certificate in ai,A,Phrase match,0.77,1,0.0
mit professional development,B,Broad match,0.8,4,0.0
generative ai course,B,Broad match,0.98,2,0.025366783
generative ai courses,B,Broad match,1.17,3,0.19649291
online ai and ml courses,B,Phrase match,1.12,2,0.49406147
mit xpro ai,B,Broad match,0.33,1,0.0
generative ai online program,B,Broad match,3.28,8,4.90215
mit generative ai certificate,B,Broad match,1.08,3,0.19649291
generative ai certification online,B,Broad match,0.88,2,0.38377488
online course generative ai,B,Broad match,2.04,4,1.6988347
mit ai course,USA,Phrase match,11.0,10,8.566482
stanford ai professional program,USA,Phrase match,3.08,2,0.88887215
