Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,114.31,71,67.77563
generative ai course,USA,Broad match,22.75,13,12.08904
generative ai online course,USA,Broad match,1.9,2,0.6710397
online ai and ml courses,USA,Phrase match,38.93,17,14.294697
mit xpro ai,USA,Broad match,57.68,56,55.043053
mit artificial intelligence course,USA,Phrase match,20.7,15,14.188843
generative ai certificate course,USA,Broad match,0.87,1,0.20501494
generative ai fundamentals course,USA,Broad match,11.6,8,7.117815
generative ai online course,USA,Broad match,5.16,6,4.391086
generative ai online program,USA,Broad match,6.35,5,4.2636685
generative ai certificate program,USA,Broad match,0.48,1,0.0
generative ai foundations course,USA,Broad match,22.86,18,16.27625
mit generative ai certificate,USA,Broad match,6.859999999999999,7,5.398083
generative ai certification online,USA,Broad match,1.96,2,-0.02447939
online course generative ai,USA,Broad match,5.7,2,1.9857061
prompt engineering course,USA,Phrase match,0.56,1,0.13767767
mit professional development,A,Broad match,1.37,1,0.25706065
generative ai course,A,Broad match,1.54,2,0.8590267
generative ai courses,A,Broad match,0.52,1,0.0
online ai and ml courses,A,Phrase match,5.82,6,3.324671
mit xpro ai,A,Broad match,7.140000000000001,7,6.2326484
generative ai fundamentals course,A,Broad match,3.6,5,4.294649
generative ai online program,A,Broad match,7.28,7,6.2134066
generative ai certificate program,A,Broad match,1.74,2,0.8786806
generative ai foundations course,A,Broad match,7.909999999999999,7,5.6035266
mit professional development,B,Broad match,3.5,10,7.606836
generative ai course,B,Broad match,3.15,7,5.6990204
generative ai courses,B,Broad match,1.62,3,1.3999709
online ai and ml courses,B,Phrase match,1.23,3,0.38235593
mit xpro ai,B,Broad match,0.23,1,0.0
mit artificial intelligence course,B,Phrase match,0.43,1,0.0
generative ai online program,B,Broad match,4.4,8,6.215414
mit generative ai certificate,B,Broad match,1.04,2,0.38235593
generative ai certification online,B,Broad match,0.8400000000000001,3,0.33030987
online course generative ai,B,Broad match,3.28,8,5.418357
ai certification mit,USA,Exact match,1.82,2,0.09875119
mit ai course,USA,Phrase match,1.51,1,0.20501482
stanford ai professional program,USA,Phrase match,2.78,2,0.90461636
