Location,Region,Opt_Conversions,Act_Conversions,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alberta, Canada",USA,0.0,0.0,0.008674441599753512,0.009761978478594478,0.010482539107366188,0.01989522914326326
Australia,A,0.07887328068198304,0.011932581178091187,2.7042267662394184,0.4091170689631264,3.905675539862031,1.258853085745494
Austria,B,0.0,0.0,0.23234504314782858,0.009334610165476336,0.14418058928941285,0.013340879689521346
Belgium,A,0.15774656136396606,0.02386516235618237,3.4140862923772657,0.5165102995659471,4.930915369075815,1.5893020207536863
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0
"British Columbia, Canada",USA,0.0,0.0,0.04048072746551639,0.04555589956677423,0.048918515834375544,0.09284440266856188
Canada,A,0.16901417288996365,0.025569816810195396,4.04507253783313,0.6119709489906765,5.8422396617102885,1.883034407427635
Chile,B,0.13940702588869713,0.005600766099285801,3.221851264983223,0.12943992762793852,1.9993041714798583,0.18499353169469598
China,B,0.18587603451826287,0.00746768813238107,7.884241797482984,0.31675443828183036,4.892527996554077,0.45270051746442436
Colombia,B,0.30979339086377145,0.012446146887301782,7.6054277457055885,0.30555290608325875,4.719511289406781,0.4366914618369987
Denmark,A,0.011267611525997576,0.0017046544540130263,2.4676069241934693,0.37331932542885277,3.5639289301241033,1.1487034407427634
Egypt,B,7.178687349790743,0.2884083387460005,154.41651567604686,6.203781915975573,95.82241964174378,8.866348641655886
France,A,0.3380283457799273,0.05113963362039079,11.312681972101567,1.7114730718290785,16.338742675089495,5.266202075368651
Germany,A,0.3943664034099152,0.05966290589045593,11.707048375511482,1.7711359777195346,16.908320357986042,5.449784817039869
Hong Kong,B,0.06195867817275429,0.0024892293774603563,2.4473677878237945,0.09832456040968408,1.5187022071818155,0.14052393272962485
Hungary,B,0.0,0.0,1.8897396842690057,0.07592149601254088,1.1726687928872246,0.10850582147477361
India,C,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,A,0.0,0.0,0.5295777417218861,0.08011875933861225,0.7648614598896478,0.24652539595849263
Israel,A,0.6197186339298667,0.09375599497071645,12.608457297591288,1.9075083340405765,18.21021220460672,5.869402512288366
Italy,A,0.07887328068198303,0.011932581178091185,1.780282621107617,0.2693354037340582,2.571236397075837,0.8287449481157837
Japan,A,0.1352113383119709,0.020455853448156317,3.459156738481256,0.5233289173819992,4.996009961406848,1.6102829055161112
"Manitoba, Canada",USA,0.0,0.0,0.0057829610665023415,0.006507985652396318,0.006988359404910792,0.01326348609550884
Mexico,A,0.7323947491898426,0.11080253951084673,33.11551027490688,5.009979440344285,47.828251715227125,15.415705079191698
Netherlands,A,0.06760566915598545,0.010227926724078159,1.0140850373397818,0.15341890086117238,1.4646283274482617,0.4720699071545603
Norway,A,0.0,0.0,0.3380283457799273,0.0511396336203908,0.4882094424827539,0.15735663571818675
"Ontario, Canada",USA,0.011565922133004683,0.013015971304792637,0.17348883199507026,0.19523956957188957,0.20965078214732374,0.3979045828652652
Poland,B,0.015489669543188573,0.0006223073443650891,1.0378078593936344,0.04169459207246097,0.6440066321593775,0.059589262613195346
Portugal,B,0.01548966954318857,0.0006223073443650891,0.8209524857889943,0.032982289251349724,0.5094380821559255,0.04713777490297542
"Quebec, Canada",USA,0.0,0.0,0.06361257173152576,0.07158784217635951,0.0768719534540187,0.14589834705059723
Romania,B,0.12391735634550857,0.004978458754920713,3.407727299501486,0.1369076157603196,2.114648642911389,0.19566623544631306
Saudi Arabia,B,0.07744834771594286,0.0031115367218254456,5.127080618795417,0.2059837309848445,3.1815850036530438,0.294388745148771
Singapore,B,0.20136570406145143,0.008089995476746159,2.4008987791942284,0.09645763837658881,1.4898660893239328,0.13785575679172057
South Africa,B,0.6195867817275429,0.024892293774603565,16.72884310664366,0.6720919319142963,10.381002428837727,0.9605433376455369
Spain,A,0.3830987918839176,0.0579582514364429,12.484513570805316,1.8887571350464334,18.031202075696378,5.811705079191698
Sweden,A,0.0,0.0,0.3492959573059249,0.052844288074403827,0.5044830905655124,0.162601856908793
Switzerland,A,0.02253522305199515,0.003409308908026053,0.7549299722418376,0.11421184841887277,1.090334421544817,0.3514298197706171
Taiwan,B,0.01548966954318857,0.0006223073443650891,2.1065950578736454,0.08463379883365212,1.3072373428906765,0.12095730918499352
Turkiye,B,0.5054279171942431,0.02030588864663286,26.47184524930927,1.0635232515199373,16.426975139707103,1.519970892626132
United Arab Emirates,B,0.10842768680232,0.004356151410555623,3.6710516817356913,0.1474868406145261,2.278053310772723,0.21078589909443726
United Kingdom,A,0.0,0.0,1.0704230949697697,0.16194217313123752,1.545996567862054,0.4982960131075914
United States,USA,6.024746668692805,6.7800845325230075,125.83144984602446,141.60725981049148,152.0597122914539,288.6001939521769
