Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,124.25,71,67.431274
generative ai course,USA,Broad match,25.46,19,17.048632
generative ai courses,USA,Broad match,3.94,1,1.2350495
generative ai online course,USA,Broad match,2.26,2,0.9033853
online ai and ml courses,USA,Phrase match,77.08,41,38.7237
mit xpro ai,USA,Broad match,100.8,60,59.54771
mit artificial intelligence course,USA,Phrase match,16.2,9,9.008384
generative ai certificate course,USA,Broad match,2.88,2,1.0457317
generative ai fundamentals course,USA,Broad match,11.4,5,3.5381172
generative ai online course,USA,Broad match,3.32,2,0.9033853
generative ai online program,USA,Broad match,17.52,8,4.9597497
generative ai foundations course,USA,Broad match,62.32,41,38.030582
mit generative ai certificate,USA,Broad match,5.64,6,4.385117
generative ai certification online,USA,Broad match,3.65,1,0.63401335
online course generative ai,USA,Broad match,3.14,2,1.076678
prompt engineering course,USA,Phrase match,2.05,1,0.8884713
generative ai certification online,USA,Phrase match,1.44,1,0.00999403
mit professional development,A,Broad match,1.31,1,0.0
generative ai online course,A,Broad match,0.76,1,0.0
online ai and ml courses,A,Phrase match,2.61,3,1.0111139
mit xpro ai,A,Broad match,6.25,5,5.000425
generative ai certificate course,A,Broad match,0.72,1,0.0
generative ai fundamentals course,A,Broad match,6.68,4,2.8350985
generative ai online course,A,Broad match,1.04,1,0.0
generative ai online program,A,Broad match,6.44,7,3.9275322
generative ai foundations course,A,Broad match,4.26,6,3.2428963
online course generative ai,A,Broad match,1.92,1,0.8884711
professional certificate in ai,A,Phrase match,0.77,1,0.0
mit professional development,B,Broad match,3.44,8,3.5889242
generative ai course,B,Broad match,1.82,7,2.568934
online ai and ml courses,B,Phrase match,2.4,5,1.8827789
mit xpro ai,B,Broad match,0.29,1,0.0
mit artificial intelligence course,B,Phrase match,0.51,1,0.0
generative ai online program,B,Broad match,3.5700000000000003,7,2.699758
mit generative ai certificate,B,Broad match,1.55,5,2.1755426
generative ai certification online,B,Broad match,1.86,6,1.9471421
online course generative ai,B,Broad match,2.35,5,1.9483435
ai certification mit,USA,Exact match,6.1,2,1.3712671
mit ai course,USA,Phrase match,4.29,3,1.9441763
