Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,162.72,113,105.991776
generative ai course,USA,Broad match,5.300000000000001,5,4.0134945
generative ai courses,USA,Broad match,1.39,1,0.4034943
online ai and ml courses,USA,Phrase match,41.17,23,21.966663
mit xpro ai,USA,Broad match,44.1,42,40.4438
mit artificial intelligence course,USA,Phrase match,10.8,6,5.031453
generative ai certificate course,USA,Broad match,4.6,4,2.842828
generative ai fundamentals course,USA,Broad match,1.09,1,0.40349436
generative ai online course,USA,Broad match,3.6,3,1.5105717
generative ai online program,USA,Broad match,5.6000000000000005,5,-0.13822794
generative ai foundations course,USA,Broad match,17.4,12,10.929778
mit generative ai certificate,USA,Broad match,1.56,2,0.7717174
online course generative ai,USA,Broad match,2.07,1,0.84112084
professional certificate in ai,USA,Phrase match,1.99,1,0.32137728
mit professional development,A,Broad match,4.75,5,1.5762239
generative ai course,A,Broad match,1.54,2,0.70817316
generative ai courses,A,Broad match,4.56,2,1.6751525
online ai and ml courses,A,Phrase match,3.09,3,1.788173
mit xpro ai,A,Broad match,0.66,2,0.55561256
mit artificial intelligence course,A,Phrase match,0.9,1,0.40349436
generative ai fundamentals course,A,Broad match,3.33,3,1.9609747
generative ai online course,A,Broad match,1.32,2,0.40349448
generative ai online program,A,Broad match,4.68,6,-0.08221054
online course generative ai,A,Broad match,0.39,1,0.06250155
mit professional development,B,Broad match,4.74,6,2.757566
generative ai course,B,Broad match,1.47,3,1.2950721
generative ai courses,B,Broad match,0.9,2,0.5512439
generative ai online course,B,Broad match,0.75,3,0.55124354
online ai and ml courses,B,Phrase match,1.77,3,1.4531299
mit xpro ai,B,Broad match,0.18,1,0.0
generative ai online program,B,Broad match,4.32,12,3.70229
generative ai foundations course,B,Broad match,0.9,2,0.5512438
mit generative ai certificate,B,Broad match,2.4000000000000004,6,3.4117332
online course generative ai,B,Broad match,1.68,4,1.5225337
ai certification mit,USA,Exact match,1.29,1,0.40349436
mit ai course,USA,Phrase match,4.9,5,1.7489626
