Campaign,Conversion action,Device,All conv.
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,Computers,61.70
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,Mobile phones,5.90
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,Computers,19.07
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,Mobile phones,3.90
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,Computers,50.60
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,Mobile phones,8.90
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Purchase,Computers,2.00
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Purchase,Mobile phones,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,Computers,27.80
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,Mobile phones,2.20
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,Computers,9.00
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,Mobile phones,4.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,Purchase,Computers,4.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,Purchase,Mobile phones,2.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,Computers,30.75
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,Mobile phones,4.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,Tablets,2.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,Purchase,Computers,2.25
Course - System Thinking - Run 18 - Search - Prospecting - A,Purchase,Computers,8.00
Course - System Thinking - Run 18 - Search - Prospecting - A,Purchase,Mobile phones,1.00
Course - System Thinking - Run 18 - Search - Prospecting - B,Purchase,Computers,1.00
Course - System Thinking - Run 18 - Search - Prospecting - B,Purchase,Mobile phones,1.00
Course - System Thinking - Run 18 - Search - Prospecting - USA,Purchase,Computers,12.00
Course - System Thinking - Run 18 - Search - Prospecting - USA,Purchase,Mobile phones,6.48
