Device report
1 June 2022 - 9 February 2026
Campaign,Country/Territory (User location),Clicks
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Australia,5
Course - System Thinking - Run 11 - Display - Remarketing - WW,Liechtenstein,0
Course - System Thinking - Run 17 - Search - Prospecting - A,Spain,81
Course - System Thinking - Run 15 - YouTube - Lead Gen - A,Sweden,2
Course - System Thinking - Run 11 - Display - Remarketing - WW,Burkina Faso,180
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,United Kingdom,24
Course - System Thinking - Run 14 - Display - Webinar - B,Guadeloupe,0
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Zimbabwe,307
Course - System Thinking - Run 17 - Search - Prospecting - B,Poland,9
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Argentina,3
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Canada,"1,231"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Cabo Verde,16
Course - System Thinking - Run 12 - Display - Remarketing - B,South Africa,"1,745"
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,South Korea,0
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Jordan,48
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Guyana,4
Course - System Thinking - Run 12 - Discovery - Webinar - A,Austria,3
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Armenia,34
Course - System Thinking - Run 14 - Display - Webinar - B,Portugal,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Uganda,72
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Bulgaria,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,El Salvador,430
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Croatia,0
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Belgium,14
Course - System Thinking - Run 11 - Display - Remarketing - WW,Kuwait,71
Course - System Thinking - Run 11 - Display - Remarketing - WW,Uzbekistan,278
Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,Denmark,0
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Portugal,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Tuvalu,2
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,French Guiana,1
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,Germany,22
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Brunei,1
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Luxembourg,4
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Egypt,749
Course - System Thinking - Run 12 - Discovery - Webinar - A,Ireland,4
Course - System Thinking - Run 11 - Display - Remarketing - WW,Switzerland,99
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Switzerland,8
Course - System Thinking - Run 17 - Demand Gen - RM - USA,United States,569
Course - System Thinking - Run 16 - Display - Remarketing - A,South Africa,"10,087"
Course - System Thinking - Run 12 - Display - Remarketing - A,Italy,248
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Liberia,137
Course - System Thinking - Run 12 - Display - Remarketing - A,United Kingdom,178
Course - System Thinking - Run 12 - Discovery - Webinar - A,Germany,21
Course - System Thinking - Run 16 - Display - Remarketing - B,Singapore,8
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Malaysia,11
Course - System Thinking - Run 17 - Demand Gen - RM - A,Sweden,0
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Georgia,0
Course - System Thinking - Run 12 - Discovery - Webinar - B,Norway,5
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Slovakia,1
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,Ireland,2
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Moldova,2
Course - System Thinking - Run 12 - Display - Remarketing - B,Malaysia,176
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,South Korea,0
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Pakistan,"1,493"
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Cote d'Ivoire,6
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Nigeria,"3,210"
Course - System Thinking - Run 17 - Search - Prospecting - B,Estonia,1
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Peru,31
Course - System Thinking - Run 14 - Display - Webinar - B,Sri Lanka,11
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,United Kingdom,22
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Indonesia,23
Course - System Thinking - Run 12 - Display - Remarketing - B,Hong Kong,0
Course - System Thinking - Run 14 - Display - Webinar - A,Netherlands,2
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Czechia,0
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Trinidad and Tobago,0
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,Norway,123
Course - System Thinking - Run 15 - YouTube - Lead Gen - A,Ireland,4
Course - System Thinking - Run 11 - Display - Remarketing - WW,Vatican City,0
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,South Africa,"4,069"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,South Africa,"8,878"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Taiwan,69
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Switzerland,159
Course - System Thinking - Run 17 - Search - Prospecting - B,China,2
Course - System Thinking - Run 11 - Display - Remarketing - WW,South Africa,"2,095"
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Pakistan,489
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,South Africa,334
Course - System Thinking - Run 11 - Display - Remarketing - WW,Cambodia,627
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Singapore,"1,240"
Course - System Thinking - Run 12 - Discovery - Webinar - B,Mexico,442
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Armenia,5
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Guam,0
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Greece,0
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,Netherlands,17
Course - System Thinking - Run 17 - Demand Gen - RM - A,Germany,0
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Tunisia,220
Course - System Thinking - Run 11 - Display - Remarketing - WW,Chad,194
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Kenya,"1,272"
Course - System Thinking - Run 17 - Search - Prospecting - A,Ireland,25
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Georgia,21
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Germany,422
Course - System Thinking - Run 17 - Demand Gen - RM - A,Norway,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Burundi,5
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Tuvalu,0
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Austria,438
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,The Gambia,4
Course - System Thinking - Run 14 - Display - Webinar - A,Iceland,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Philippines,"7,335"
Course - System Thinking - Run 16 - Display - Remarketing - B,Poland,0
Course - System Thinking - Run 14 - Display - Webinar - B,Canada,42
Course - System Thinking - Run 14 - Display - Webinar - B,South Africa,"1,877"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Marshall Islands,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Namibia,46
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Thailand,5
Course - System Thinking - Run 17 - Search - Prospecting - A,Norway,20
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,Finland,252
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,U.S. Virgin Islands,0
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,Australia,4
