Device report
1 June 2022 - 9 February 2026
Campaign,Country/Territory (User location),Clicks
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,Germany,503
Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,Switzerland,7
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Argentina,21
Course - System Thinking - Run 16 - Display - Remarketing - B,Austria,0
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,Switzerland,4
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Kazakhstan,57
Course - System Thinking - Run 17 - Demand Gen - RM - A,France,1
Course - System Thinking - Run 11 - Display - Remarketing - WW,Syria,135
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Indonesia,97
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Jordan,32
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Sri Lanka,38
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Solomon Islands,1
Course - System Thinking - Run 11 - Display - Remarketing - WW,Croatia,39
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Bosnia and Herzegovina,9
Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing,Poland,302
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,Spain,988
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Bermuda,0
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Israel,22
Course - System Thinking - Run 11 - Display - Remarketing - WW,British Indian Ocean Territory,4
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Poland,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Saudi Arabia,76
Course - System Thinking - Run 16 - Display - Remarketing - B,Qatar,4
Course - System Thinking - Run 14 - Display - Webinar - B,Jordan,1
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Nigeria,433
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,Switzerland,122
Course - System Thinking - Run 11 - Display - Remarketing - WW,Brazil,"1,873"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Pakistan,579
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Benin,26
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,Italy,10
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Zimbabwe,26
Course - System Thinking - Run 14 - Display - Webinar - B,Turkiye,10
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Bahrain,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Paraguay,30
Course - System Thinking - Run 16 - Display - Remarketing - B,Tanzania,280
Course - System Thinking - Run 11 - Display - Remarketing - WW,Pakistan,"74,435"
Course - System Thinking - Run 12 - Display - Remarketing - B,Taiwan,0
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Peru,24
Course - System Thinking - Run 12 - Discovery - Webinar - B,Peru,480
Course - System Thinking - Run 15 - YouTube - Lead Gen - A,New Zealand,1
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Equatorial Guinea,1
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Philippines,"5,052"
Course - System Thinking - Run 16 - Display - Remarketing - B,Liberia,180
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Czechia,24
Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,Norway,5
Course - System Thinking - Run 12 - Display - Remarketing - B,Peru,532
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,France,74
Course - System Thinking - Run 11 - Display - Remarketing - WW,Falkland Islands (Islas Malvinas),0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Afghanistan,"4,824"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Libya,18
Course - System Thinking - Run 11 - Display - Remarketing - WW,Montserrat,13
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Kosovo,9
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Qatar,2
Course - System Thinking - Run 15 - YouTube - Lead Gen - A,France,3
Course - System Thinking - Run 14 - Display - Webinar - B,Zimbabwe,25
Course - System Thinking - Run 17 - Search - Prospecting - B,Liberia,74
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,Mexico,84
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Sweden,151
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Czechia,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,United Arab Emirates,43
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Philippines,27
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,United States,"9,003"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Argentina,274
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Saudi Arabia,"2,372"
Course - System Thinking - Run 16 - Display - Remarketing - B,Chile,17
Course - System Thinking - Run 17 - Search - Prospecting - B,Finland,1
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Indonesia,283
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Greece,36
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Curacao,0
Course - System Thinking - Run 12 - Discovery - Webinar - B,Poland,28
Course - System Thinking - Run 12 - Discovery - Webinar - A,Iceland,0
Course - System Thinking - Run 14 - Display - Webinar - B,Morocco,7
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Pakistan,"2,907"
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Moldova,9
Course - System Thinking - Run 14 - Display - Webinar - B,France,65
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Netherlands,400
Course - System Thinking - Run 14 - Display - Webinar - A,Austria,0
Course - System Thinking - Run 12 - Display - Remarketing - B,Oman,0
Course - System Thinking - Run 16 - Demand Gen - Remarketing - USA,United States,554
Course - System Thinking - Run 16 - Demand Gen - Remarketing - A,Canada,19
Course - System Thinking - Run 14 - Display - Webinar - B,Argentina,12
Course - System Thinking - Run 11 - Display - Remarketing - WW,Niue,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Liberia,8
Course - System Thinking - Run 11 - Display - Remarketing - WW,Fiji,271
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Cuba,7
Course - System Thinking - Run 12 - Display - Remarketing - A,New Zealand,49
Course - System Thinking - Run 11 - Display - Remarketing - WW,The Gambia,747
Course - System Thinking - Run 14 - Display - Webinar - B,Pakistan,143
Course - System Thinking - Run 16 - Display - Remarketing - A,Canada,21
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Colombia,9
Course - System Thinking - Run 11 - Display - Remarketing - WW,Jamaica,"1,128"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A,United Kingdom,624
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,Canada,15
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Mongolia,40
Course - System Thinking - Run 11 - Display - Remarketing - WW,Eritrea,1
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Saint Kitts and Nevis,1
Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing,Qatar,345
Course - System Thinking - Run 17 - Search - Prospecting - B,Bangladesh,"1,244"
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Norway,11
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Bangladesh,"1,364"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Nicaragua,10
Course - System Thinking - Run 11 - Display - Remarketing - WW,Guernsey,1
Course - System Thinking - Run 16 - Display - Remarketing - B,Cote d'Ivoire,70
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Peru,136
Course - System Thinking - Run 14 - Display - Webinar - B,Colombia,7
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Kyrgyzstan,20
Course - System Thinking - Run 16 - Display - Remarketing - B,Taiwan,6
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Germany,32
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Cote d'Ivoire,111
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,Netherlands,2
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Uganda,68
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Kenya,"1,902"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Azerbaijan,34
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Estonia,0
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Zimbabwe,48
Course - System Thinking - Run 17 - Search - Prospecting - B,Zimbabwe,76
Course - System Thinking - Run 11 - Display - Remarketing - WW,Belgium,81
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,Italy,25
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Bangladesh,232
Course - System Thinking - Run 11 - Display - Remarketing - WW,Georgia,423
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Ukraine,129
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,The Bahamas,6
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Chile,"1,128"
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,Denmark,5
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,New Zealand,13
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Sweden,912
Course - System Thinking - Run 17 - Search - Prospecting - B,Malaysia,20
Course - System Thinking - Run 11 - Display - Remarketing - WW,Sierra Leone,"1,324"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Lithuania,10
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Botswana,4
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Denmark,14
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Colombia,15
Course - System Thinking - Run 12 - Display - Remarketing - A,Denmark,14
Course - System Thinking - Run 17 - Search - Prospecting - A,United Kingdom,201
Course - System Thinking - Run 14 - Display - Webinar - B,Liberia,18
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Nigeria,635
Course - System Thinking - Run 16 - Display - Remarketing - B,Armenia,5
Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing,Philippines,"8,866"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Nauru,0
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,Denmark,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,El Salvador,22
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Lithuania,29
Course - System Thinking - Run 11 - Display - Remarketing - WW,Micronesia,5
Course - System Thinking - Run 17 - Search - Prospecting - B,Qatar,2
Course - System Thinking - Run 16 - Display - Remarketing - B,Slovakia,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Madagascar,397
Course - System Thinking - Run 16 - Display - Remarketing - B,Luxembourg,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Iraq,47
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Czechia,22
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Qatar,4
Course - System Thinking - Run 14 - Display - Webinar - B,Brazil,866
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,Brazil,50
Course - System Thinking - Run 16 - Display - Remarketing - B,Kenya,"1,077"
Course - System Thinking - Run 16 - Display - Remarketing - B,Bahrain,0
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - A,Spain,0
Course - System Thinking - Run 17 - Demand Gen - RM - A,Ireland,0
Course - System Thinking - Run 14 - Display - Webinar - B,Philippines,"1,889"
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Spain,359
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,Netherlands,23
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Brazil,"1,847"
Course - System Thinking - Run 14 - Display - Webinar - B,Estonia,0
Course - System Thinking - Run 12 - Display - Remarketing - B,Saudi Arabia,124
Course - System Thinking - Run 11 - Display - Remarketing - WW,Poland,171
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Cote d'Ivoire,48
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,China,91
Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing,Chile,247
Course - System Thinking - Run 16 - Display - Remarketing - A,Japan,46
Course - System Thinking - Run 11 - Display - Remarketing - WW,Democratic Republic of the Congo,581
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Uzbekistan,205
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Venezuela,93
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Malawi,15
Course - System Thinking - Run 14 - Display - Webinar - B,Poland,120
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Morocco,324
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,Ireland,12
Course - System Thinking - Run 17 - Search - Prospecting - A,Australia,96
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Tunisia,137
Course - System Thinking - Run 16 - Display - Remarketing - B,Israel,3
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Tanzania,540
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Moldova,3
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,New Zealand,19
Course - System Thinking - Run 11 - Display - Remarketing - WW,Tajikistan,62
Course - System Thinking - Run 17 - Demand Gen - Prospecting - A,Spain,46
Course - System Thinking - Run 11 - Display - Remarketing - WW,Togo,530
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Greece,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Bolivia,68
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Argentina,194
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,New Caledonia,1
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Slovenia,14
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Czechia,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Zambia,"1,199"
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Romania,1
Course - System Thinking - Run 15 - YouTube - Lead Gen - A,Mexico,508
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,Australia,17
Course - System Thinking - Run 15 - YouTube - Lead Gen - A,Denmark,1
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,India,"1,058"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Lesotho,85
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Ghana,100
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Panama,27
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Barbados,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Serbia,49
Course - System Thinking - Run 17 - Search - Prospecting - B,Hungary,2
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,American Samoa,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Venezuela,489
Course - System Thinking - Run 15 - YouTube - Lead Gen - A,Australia,10
Course - System Thinking - Run 12 - Display - Remarketing - US,United States,"1,597"
Course - System Thinking - Run 11 - Display - Remarketing - WW,"Saint Helena, Ascension and Tristan da Cunha",0
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Philippines,48
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Cote d'Ivoire,0
Course - System Thinking - Run 14 - Display - Webinar - B,Tunisia,15
Course - System Thinking - Run 11 - Display - Remarketing - WW,Algeria,"4,098"
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Argentina,9
Course - System Thinking - Run 11 - Display - Remarketing - WW,Curacao,82
Course - System Thinking - Run 11 - Display - Remarketing - WW,Thailand,"1,024"
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Ethiopia,126
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Anguilla,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,North Macedonia,150
Course - System Thinking - Run 17 - Search - Prospecting - A,Italy,77
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Slovakia,17
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Zambia,21
Course - System Thinking - Run 12 - Discovery - Webinar - B,Austria,3
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Poland,0
Course - System Thinking - Run 12 - Display - Remarketing - B,Singapore,5
Course - System Thinking - Run 14 - Display - Webinar - USA + CA,United States,282
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Estonia,0
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Finland,1
Course - System Thinking - Run 11 - Display - Remarketing - WW,Turkmenistan,16
Course - System Thinking - Run 11 - Display - Remarketing - WW,Indonesia,"3,326"
Course - System Thinking - Run 17 - Search - Prospecting - B,Armenia,11
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Aruba,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Vietnam,893
Course - System Thinking - Run 11 - Display - Remarketing - WW,Belarus,150
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Taiwan,0
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Poland,"1,261"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Slovenia,22
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Georgia,15
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Indonesia,238
Course - System Thinking - Run 12 - Display - Remarketing - US,Iran,0
Course - System Thinking - Run 14 - Display - Webinar - A,Sweden,0
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Switzerland,891
Course - System Thinking - Run 14 - Display - Webinar - B,Denmark,18
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Hungary,0
Course - System Thinking - Run 16 - Display - Remarketing - B,Ethiopia,"2,108"
Course - System Thinking - Run 12 - Display - Remarketing - A,Germany,85
Course - System Thinking - Run 17 - Search - Prospecting - B,Kenya,486
Course - System Thinking - Run 11 - Display - Remarketing - WW,Kiribati,63
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,Italy,"1,088"
Course - System Thinking - Run 11 - Display - Remarketing - WW,Estonia,2
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Czechia,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Mali,26
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Anguilla,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,United Kingdom,"2,477"
Course - System Thinking - Run 17 - Demand Gen - Webinar - Remarketing - USA,United States,197
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Jordan,3
Course - System Thinking - Run 14 - Display - Webinar - B,Moldova,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Lesotho,7
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A,Switzerland,128
Course - System Thinking - Run 17 - Demand Gen - RM - A,Australia,15
Course - System Thinking - Run 11 - Display - Remarketing - WW,Trinidad and Tobago,26
Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,Italy,23
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - A,Japan,358
Course - System Thinking - Run 14 - Display - Webinar - B,United Kingdom,91
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Romania,55
Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - USA,United States,883
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,United Kingdom,13
Course - System Thinking - Run 14 - Display - Webinar - A,Germany,0
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,Hong Kong,"1,476"
Course - System Thinking - Run 17 - Search - Prospecting - B,South Korea,2
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Guinea,9
Course - System Thinking - Run 12 - Display - Remarketing - B,Brazil,681
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Italy,61
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Greenland,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Mozambique,583
Course - System Thinking - Run 12 - Discovery - Webinar - A,United Kingdom,5
Course - System Thinking - Run 14 - Display - Webinar - B,Cayman Islands,0
Course - System Thinking - Run 16 - Display - Remarketing - A,United Kingdom,38
Course - System Thinking - Run 17 - Search - Prospecting - B,Portugal,3
Course - System Thinking - Run 11 - Display - Remarketing - WW,Solomon Islands,94
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Antigua and Barbuda,0
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,China,35
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Lithuania,0
Course - System Thinking - Run 14 - Display - Webinar - B,Senegal,8
Course - System Thinking - Run 11 - Display - Remarketing - WW,Oman,91
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Morocco,53
Course - System Thinking - Run 16 - Display - Remarketing - B,Estonia,0
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Isle of Man,1
Course - System Thinking - Run 14 - Display - Webinar - A,Australia,16
Course - System Thinking - Run 11 - Display - Remarketing - WW,Turks and Caicos Islands,27
Course - System Thinking - Run 17 - Search - Prospecting - B,Lithuania,2
Course - System Thinking - Run 15 - YouTube - Lead Gen - A,United Kingdom,4
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Trinidad and Tobago,4
Course - System Thinking - Run 14 - Display - Webinar - B,Egypt,62
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Uganda,906
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Oman,14
Course - System Thinking - Run 11 - Display - Remarketing - WW,Marshall Islands,6
Course - System Thinking - Run 11 - Display - Remarketing - WW,Romania,79
Course - System Thinking - Run 16 - Demand Gen - Remarketing - A,Italy,1
Course - System Thinking - Run 12 - Discovery - Webinar - B,Italy,51
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Romania,0
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Hong Kong,0
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Qatar,1
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,South Korea,23
Course - System Thinking - Run 12 - Discovery - Webinar - B,Singapore,21
Course - System Thinking - Run 12 - Discovery - Webinar - B,Ireland,13
Course - System Thinking - Run 17 - Search - Prospecting - B,Monaco,0
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Sri Lanka,53
Course - System Thinking - Run 11 - Display - Remarketing - WW,Finland,38
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Togo,39
Course - System Thinking - Run 11 - Display - Remarketing - WW,Czechia,60
Course - System Thinking - Run 11 - Display - Remarketing - WW,Slovakia,21
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Sweden,11
Course - System Thinking - Run 14 - Display - Webinar - B,Georgia,2
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Germany,25
Course - System Thinking - Run 12 - YouTube - Lead Gen - B/Developing,Ukraine,"1,645"
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Iceland,0
Course - System Thinking - Run 17 - Demand Gen - RM - A,Mexico,93
Course - System Thinking - Run 11 - Display - Remarketing - WW,Libya,752
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,Belgium,8
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Netherlands,12
Course - System Thinking - Run 16 - Display - Remarketing - A,New Zealand,18
Course - System Thinking - Run 14 - Display - Webinar - B,Liechtenstein,0
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Bulgaria,2
Course - System Thinking - Run 11 - Display - Remarketing - WW,Japan,301
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Croatia,2
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Thailand,84
Course - System Thinking - Run 11 - Display - Remarketing - WW,The Bahamas,0
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Brazil,537
Course - System Thinking - Run 11 - Display - Remarketing - WW,Tunisia,"1,452"
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,Sweden,10
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Cameroon,131
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,United Kingdom,"4,351"
Course - System Thinking - Run 15 - YouTube - Lead Gen - US + CA,Canada,"1,520"
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Poland,0
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,New Zealand,7
Course - System Thinking - Run 14 - Display - Webinar - A,Hong Kong,7
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,South Sudan,4
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,United Arab Emirates,4
Course - System Thinking - Run 17 - Demand Gen - Webinar - Prospecting - A,Netherlands,10
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,France,295
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - A,Australia,26
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Argentina,5
Course - System Thinking - Run 14 - Display - Webinar - B,Luxembourg,2
Course - System Thinking - Run 11 - Display - Remarketing - WW,Palestine,141
Course - System Thinking - Run 12 - Display - Remarketing - A,Sweden,41
Course - System Thinking - Run 15 - YouTube - Lead Gen - A,South Africa,"5,544"
Course - System Thinking - Run 16 - Display - Remarketing - A,Ireland,3
Course - System Thinking - Run 15 - YouTube - Lead Gen - B,Singapore,0
Course - System Thinking - Run 11 - Display - Remarketing - WW,Jersey,5
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Namibia,8
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Malaysia,132
Course - System Thinking - Run 11 - Display - Remarketing - WW,Svalbard and Jan Mayen,0
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Turks and Caicos Islands,1
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Bulgaria,35
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Afghanistan,20
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,Norway,4
Course - System Thinking - Run 16 - Display - Remarketing - B,Indonesia,153
Course - System Thinking - Run 14 - Display - Webinar - A,Mexico,70
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Puerto Rico,12
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Lithuania,0
Course - System Thinking - Run 16 - Demand Gen - Remarketing - B,Luxembourg,0
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Peru,7
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Slovakia,9
Course - System Thinking - Run 17 - PMAX - Lead Gen + RM - US + CA,Tonga,0
Course - System Thinking - Run 12 - YouTube - Lead Gen - A/Developed,Denmark,134
Course - System Thinking - Run 11 - Display - Remarketing - WW,San Marino,0
Course - System Thinking - Run 17 - Search - Prospecting - B,Cote d'Ivoire,11
Course - System Thinking - Run 17 - Demand Gen - RM - A,Denmark,0
Course - System Thinking - Run 16 - Demand Gen - Lead Gen - B,Armenia,0
