Campaign,Conversion action,Hour of the day,All conv.
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,12,5.20
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,12,1.29
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,12,5.25
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,12,3.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,Purchase,12,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,Purchase,12,1.00
Course - System Thinking - Run 17 - Search - Prospecting - A,Purchase,12,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,13,4.50
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,13,2.47
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,13,1.22
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,13,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,Purchase,13,1.00
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,13,2.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,14,7.50
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,14,3.27
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,14,0.50
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,14,3.25
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,14,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,14,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,Purchase,14,1.00
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,14,1.00
Course - System Thinking - Run 17 - Search - Prospecting - A,Purchase,14,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,15,3.40
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,15,4.00
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,15,1.20
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,15,3.00
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,15,2.00
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,15,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,Purchase,15,0.25
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,15,2.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,16,2.00
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,16,0.20
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,16,3.00
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,16,2.00
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,16,1.25
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,17,2.80
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,17,1.70
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,17,0.92
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,17,1.75
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,18,6.40
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,18,1.10
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,18,2.50
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,18,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,19,4.00
