Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid
1 year masters degree programs,USA,Exact match,existing,0.1099196828534845,0.5489826980000008,7.77607429558458e-08,0.5489826,7.77607429558458e-08,0.0
1 year masters degree programs,USA,Phrase match,existing,1.7044549537019078,0.7169557192700005,0.4177347102539634,0.716956,-3.0013154983521417e-07,5.304302911446793
1 year masters degree programs,USA,Broad match,existing,6.824455167913566,2.4427200214900004,1.8215387122668252,2.44272,8.51191508388638e-08,4.870493093856392
1 year masters degree programs,A,Exact match,existing,58.74445194514669,33.36406348420001,32.499520284660825,33.364063,2.2126055654325685e-07,2.349812762151289
1 year masters degree programs,A,Phrase match,existing,95.93445551609558,43.9026873073,43.11132603496495,43.90269,-3.5801511728550395e-06,2.8928544686789675
1 year masters degree programs,A,Broad match,existing,58.744451945146686,34.01260060792,32.89927882676155,34.012604,-3.151845625382066e-06,2.321260229770452
1 year masters degree programs,B,Exact match,existing,58.74445194514672,36.5190070624,35.45447096773447,36.519005,2.2406226563020937e-06,2.153967763281242
1 year masters degree programs,B,Phrase match,existing,58.744451945146736,36.6855355964,35.69418130972932,36.68554,-3.649205467581851e-06,2.1395024266287024
1 year masters degree programs,B,Broad match,existing,58.74445194514672,37.16754418612,35.854229390625925,37.167545,-1.1324835114123744e-06,2.129951998038398
1 year phd programs online,USA,Exact match,existing,1.7044549537019078,1.4920238873700007,0.5130589625576838,1.4920244,-5.343218938413941e-07,4.318785171915511
