Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,353,89.10368,139.51367,260.1234712545238,190,353.98999999999864,339.01,0.11548479938979055,0.10993365474438237,357,44,,,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9764676094055176,0.9046445488929749,1.4425234260976106e-05,0.019998692510307,31.95,0.0,49.087494,0.0,0.006775086435335182,352.8600013304272,256.5,88.69031,63.713455,0.11516875051024313,0.08273506749390189,1.1099999770611149,50.56000000000001,0.4133731,26.712723,0.0003160488795474231,0.020423500815145296,119.9700006775288,0.0,23.39605,0.0,0.03038092729776925,0.0,32.80000017007155,339.01,8.404127,139.51367,0.010913173443887184,0.10993365474438237,201.21999915239826,0.0,57.303505,0.0,0.07419069493295433,0.0,72.13999934876203,7.5,7.184931,1.08901,0.009329987967461636,0.0006512992491960688,113.08000051691282,35.900000000000006,24.418064,4.56643,0.03170806134481896,0.005145077258563789,168.77000013432377,295.61,57.500687,133.85823,0.07444675007750995,0.10413727824552652
2025-12-02,353,86.74269,154.50398,231.8783708789814,213,353.98000111522254,344.9,0.11263967406785007,0.12049363862162309,326,43,0.07350553689163905,0.5736196319018405,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0166335105896,0.9028035402297974,-2.1183627284330355e-05,0.0,35.45,0.0,55.37884,0.0,0.007643422656916,353.98000111522254,259.25,86.74269,69.40789,0.11263967406785007,0.09012957806154967,0.0,50.2,0.0,29.717247,0.0,0.022720637903157412,107.87999908755678,0.0,21.174805,0.0,0.027496531060460745,0.0,37.72000013090515,344.9,10.628778,154.50398,0.013801994460323087,0.12049363862162309,208.38000189676058,0.0,54.93911,0.0,0.07134115102385277,0.0,136.12000062168983,3.38,8.625578,0.46002144,0.011200738266617308,0.0004525656831684822,10.790000049280284,14.04,1.2506659,2.3406553,0.0016240515252975794,0.002230397904268769,207.0700004442524,327.47999999999996,76.866455,151.70331,0.09981488334714024,0.11781067649863991
2025-12-03,353,100.27847,150.82274,208.78253050566587,214,353.98999999999745,350.34000000000003,0.12747795141899143,0.1246500684329552,385,44,0.2100846359397987,0.7922077922077922,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.033569812774658,0.9021458625793456,4.655880912965421e-05,0.0,31.589999999999996,0.0,47.123817,0.0,0.006504058063615788,334.9799997908637,265.53,95.14989,72.77657,0.12355683389964968,0.09450398925816933,19.01000020913371,53.22,5.1285877,30.922356,0.003921117519341753,0.023642021111170086,52.879999160941615,0.0,18.121096,0.0,0.02315351362782761,0.0,40.089999970096706,350.34000000000003,8.887537,150.82274,0.011540906319964413,0.1246500684329552,261.02000086895913,0.0,73.269844,0.0,0.09278353160791354,0.0,52.00000112345102,5.37,7.0759172,0.7273268,0.009188429091199638,0.0006624556273017446,111.36000204393494,32.769999999999996,31.352976,5.205144,0.03988136994756314,0.00477548870751029,190.62999683261148,312.2,61.849583,144.89027,0.07840815432896131,0.1192121239183755
2025-12-04,353,98.90195,146.51205,279.4305042899315,202,353.990000000033,342.20000000000005,0.12591961308473001,0.11231453637506207,375,42,0.15216113572042805,0.896,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.079571485519409,0.9001165628433228,5.497867484790751e-06,0.0,31.779999999999998,0.0,54.032516,0.0,0.007457602054081519,345.59000021119454,258.35,94.202484,63.953976,0.12232658431110902,0.08304740018188474,8.399999788838363,52.07,4.6994677,28.525572,0.0035930287736209874,0.02180953413909582,106.23999666733062,0.0,27.238132,0.0,0.035370064526028665,0.0,33.639998966780716,342.20000000000005,11.211275,146.51205,0.014137804724524835,0.11231453637506207,214.1100043659216,0.0,60.452545,0.0,0.076411744016462,0.0,29.04999923894246,25.61,3.304757,2.2865803,0.004291390860284128,0.0029694698950827373,114.21999705379355,22.759999999999998,19.849232,3.270033,0.025775209007554492,0.0037516866720684596,210.72000370729694,293.83,75.74797,140.95544,0.09585300981130991,0.1055933795250813
2025-12-05,353,70.25339,114.29739,340.0921960480858,158,353.9900000000059,242.95999999999998,0.09090869998475891,0.08532115913291814,505,36,0.2734036847620659,0.9405940594059405,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.063711166381836,0.9009536504745485,-0.0001659238199263,0.0,31.500000000000004,0.0,46.875015,0.0,0.006469719284316534,345.42000019461364,179.33,69.65638,51.13017,0.09045225381006206,0.06639505786861605,8.56999980539219,32.129999999999995,0.5970044,16.292206,0.00045644617469684824,0.012456381979985562,27.679999327783015,0.0,4.350407,0.0,0.005649218793946584,0.0,17.80999962625428,242.95999999999998,3.5848222,114.29739,0.004655068571329109,0.08532115913291814,308.5000010459686,0.0,62.31816,0.0,0.08060441602506468,0.0,70.38999838424569,7.61,6.510366,0.5501268,0.008454960556834331,0.0007145990306995461,127.19000474072695,14.469999999999999,27.19284,2.3730774,0.035157041658538724,0.0022969006186059067,156.40999687503324,220.88000000000002,36.55018,111.37419,0.04729670396135215,0.08230965801033847
2025-12-06,353,115.236725,112.400635,267.20729292830606,151,353.98998987696,226.74999999999997,0.1477677016010799,0.08251775547480973,391,29,0.241117198951388,0.6930946291560103,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9284075498580933,0.9075268507003784,-0.000411932438143,0.0,26.46,0.0,43.805103,0.0,0.006046007600341262,345.0999902382931,163.56999999999996,111.7294,44.994015,0.14508614225623476,0.05842695326315368,8.889999638666879,36.72,3.50732,23.601519,0.0026815593448451473,0.018044794611314783,64.14999819460223,0.0,22.531368,0.0,0.0288662884797258,0.0,30.379999245684502,226.74999999999997,8.887636,112.400635,0.011541035112863727,0.08251775547480973,259.45999243667325,0.0,83.81771,0.0,0.10736038057641965,0.0,57.12999847376343,5.23,12.128118,0.8977972,0.015457359187972926,0.0011658340985871952,58.519998077513065,3.0100000000000002,19.509153,0.48608953,0.024794555554578716,0.000519798445673566,238.3399933256835,218.51,83.59944,111.016754,0.10751578699524239,0.08083212359965883
2025-12-07,353,106.7195,227.05382,272.165983279979,289,353.9799920066731,571.83,0.13578617156880798,0.19951989843466206,415,45,0.04605521828479956,0.5373493975903615,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9322068691253664,0.9073864817619324,-0.0002218196299043,0.0,39.92,0.0,59.049625,0.0,0.008150066547002016,343.2499918977634,444.0400000000001,101.48648,117.830956,0.13178521409390673,0.15300933281484785,10.73000010890975,87.86999999999999,5.233014,50.17325,0.004000957474901245,0.03836049907281217,102.1599969047185,0.0,27.727406,0.0,0.035717667399617105,0.0,36.1299988185166,571.83,9.334472,227.05382,0.012081235104922814,0.19951989843466206,215.68999628343803,0.0,69.657616,0.0,0.08798727374441286,0.0,28.67000002104936,11.66,7.922443,1.6905289,0.010287683298008589,0.0018877876812833547,43.5499999099977,24.87,15.56038,4.304124,0.019153737364118042,0.004067156360382039,281.7599920756261,535.3,83.23668,221.05919,0.10634475691636217,0.19356495162671317
2025-12-08,353,79.150894,130.76952,298.8831732508328,191,353.98999999999955,317.5200000000001,0.10227384824006902,0.10312319787989614,400,39,0.09888140959977851,0.7275,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0381054878234863,0.9030444622039796,-0.0001198277894011,0.0,32.23,0.0,45.196114,0.0,0.0062379957048732506,352.6200000018586,235.20999999999998,78.20049,58.91348,0.10154720728579175,0.07650206082799935,1.369999998140948,50.08,0.9504031,26.659935,0.0007266409542772715,0.02038314134702355,95.10999834038417,0.0,14.249035,0.0,0.018503077700513636,0.0,28.219999463632494,317.5200000000001,6.478863,130.76952,0.008413124320373682,0.10312319787989614,230.66000219598294,0.0,58.423,0.0,0.07535764807677159,0.0,51.55000392425042,7.300000000000001,7.7121825,2.2187488,0.010014650401018864,0.00128662273087371,86.47999926911434,45.48,23.535309,10.4646845,0.030561762435552375,0.008388687773642848,215.95999680663482,264.74,47.903404,118.08609,0.06169743726108767,0.09344788813112596
2025-12-09,353,79.91585,156.44582,302.8371100629838,220,353.9900000000008,359.0799999999999,0.10296639521134061,0.12697458596756214,399,38,0.0024290984092393145,0.37844611528822053,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0737435817718506,0.901496648788452,-0.0002864410924253,0.0,32.0,0.0,51.984985,0.0,0.007174998954914796,350.51999997273253,275.52,78.40219,74.78237,0.10180911260012006,0.09710860768958315,3.470000027268206,51.56,1.5136567,29.678448,0.0011572826112205491,0.022690979323064187,46.720000573794124,0.0,7.403578,0.0,0.009613911913999613,0.0,18.550000182877596,359.0799999999999,3.9356036,156.44582,0.005030541273431812,0.12697458596756214,288.7199992433291,0.0,68.57666,0.0,0.0883219423335075,0.0,41.80999549170823,0.99,8.692752,0.1884296,0.011287968211250846,0.00014406588199219604,62.64000129181417,21.86,15.634949,2.4869494,0.020302752895146853,0.0032294268418013488,249.5400032164784,336.22999999999996,55.588142,153.77042,0.07137567658172944,0.12360109812500153
2025-12-10,353,256.49597,142.6751,440.0653815367373,198,353.9899999999997,343.87000000000006,0.29638991094813383,0.12498582880015634,301,41,0.2458468971791049,0.8803986710963455,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.053473234176636,0.9027178287506104,-0.0002597338606096,0.0,27.91,0.0,36.974663,0.0,0.005103265425209838,276.7299967805532,263.42,187.80011,73.16289,0.2438677300793239,0.09500561778670562,77.2600032194465,52.540000000000006,68.69589,32.53756,0.052522180868809915,0.024876945588240877,25.50999932226757,0.0,10.5955105,0.0,0.013758794349749302,0.0,25.429999414237773,343.87000000000006,17.83083,142.6751,0.020862610238609677,0.12498582880015634,303.0500012634943,0.0,228.06966,0.0,0.26176850716412736,0.0,74.53999955446025,8.77,55.53526,1.0697687,0.06506661921677173,0.0013891475184711465,90.88000335709843,16.33,70.34874,3.1043096,0.08136213248897373,0.002505564782512936,188.56999708844103,318.77000000000004,130.61198,138.50102,0.14996115225181028,0.12109111834147114
