Keyword,Region,Match type,Optimal Cost,Gurobi Pred,Actual Model Pred,Diff
1 mit opencourseware,USA,Exact match,0.0,1.6695389257200004,1.6695396,-6.450884102449095e-07
1 mit opencourseware,USA,Phrase match,0.0,1.6189625043700007,1.618963,-4.987885686702498e-07
1 mit opencourseware,A,Exact match,0.0,1.9672617090900006,1.9672623,-5.589764056068702e-07
1 mit opencourseware,A,Phrase match,0.0,1.9166852877400002,1.9166859,-6.510951437999069e-07
1 mit opencourseware,A,Broad match,0.0,0.4266683937400001,0.4266687,-3.098160606951339e-07
1 mit opencourseware,B,Exact match,0.0,2.1019845153900003,2.101985,-4.6233216766111696e-07
1 mit opencourseware,B,Phrase match,0.0,2.05140809404,2.0514088,-6.736601951828902e-07
1 mit opencourseware,B,Broad match,0.0,0.5613912000399999,0.56139153,-3.3238111218913957e-07
5 day generative ai course google,USA,Exact match,0.0,1.2327434474900003,1.2327435,-5.4173207697516546e-08
5 day generative ai course google,USA,Phrase match,0.0,1.18216702614,1.1821674,-3.8471052499211567e-07
5 day generative ai course google,USA,Broad match,0.0,1.2117673171400003,1.2117673,1.2754373113210704e-09
5 day generative ai course google,A,Exact match,0.0,1.5304662308600003,1.5304664,-2.064797823830844e-07
5 day generative ai course google,A,Phrase match,0.0,1.4798898095100004,1.4798901,-2.985985201320318e-07
5 day generative ai course google,A,Broad match,0.0,1.9141394175100006,1.9141396,-2.1090033874848757e-07
5 day generative ai course google,B,Exact match,0.0,2.50104534116,2.5010455,-1.243093601388523e-07
5 day generative ai course google,B,Phrase match,-0.0,2.45046891981,2.4504695,-5.740559667621881e-07
5 day generative ai course google,B,Broad match,0.0,2.88471852781,2.8847184,1.0968866215321782e-07
academy lms course content ai generator addon,USA,Exact match,0.0,0.54755904997,0.54755896,8.667120243721627e-08
academy lms course content ai generator addon,USA,Phrase match,0.0,0.6501569129700002,0.65015715,-2.406364145723927e-07
academy lms course content ai generator addon,A,Exact match,0.0,0.8452818333399998,0.84528184,-6.030727695005567e-09
academy lms course content ai generator addon,A,Phrase match,0.0,0.94787969634,0.94787985,-1.5452441037844267e-07
academy lms course content ai generator addon,A,Broad match,0.0,0.5752782303400004,0.5752779,3.0580234167132403e-07
academy lms course content ai generator addon,B,Exact match,0.0,1.8158609436399997,1.8158607,1.9534898410000778e-07
academy lms course content ai generator addon,B,Phrase match,0.0,1.9184588066400001,1.9184592,-3.703772117891191e-07
academy lms course content ai generator addon,B,Broad match,1.139999944931139,3.48654998764,3.4865499,1.3336143567244108e-07
admissions mit edu,USA,Exact match,0.0,0.5415172683199995,0.5415173,-4.897507499546094e-08
admissions mit edu,USA,Phrase match,0.0,0.7383831114700006,0.738383,1.1634136898308611e-07
admissions mit edu,A,Exact match,0.0,0.8392400516900002,0.83924025,-2.0128164901489498e-07
admissions mit edu,A,Phrase match,0.0,1.0361058948399997,1.0361062,-3.339884304676133e-07
admissions mit edu,A,Broad match,0.0,0.0895867833400002,0.089586586,1.975798836206799e-07
admissions mit edu,B,Exact match,0.0,0.9739628579900003,0.97396296,-1.046374106250525e-07
admissions mit edu,B,Phrase match,-0.0,1.1708287011399996,1.1708289,-2.373441922998154e-07
admissions mit edu,B,Broad match,-0.0,0.22430958963999953,0.2243093,2.942241212333663e-07
adobe generative ai content creation course,USA,Exact match,0.0,0.87882374582,0.8788237,4.825301391786496e-08
adobe generative ai content creation course,USA,Phrase match,0.0,0.8282473244700006,0.8282477,-4.014935919283147e-07
adobe generative ai content creation course,USA,Broad match,0.0,0.8578476154699999,0.85784745,1.633063035910709e-07
