Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19
online generative ai course,-0.84552544,0.4015275,-0.19678213,0.0067808954,0.119617306,-0.15226598,0.14807406,-0.075443946,-0.029626787,-0.07399255,-0.050557833,0.0058051143,-0.021026796,-0.0037114045,-0.08619122,0.047565695,0.004620628,0.013149876,-0.0020223253,0.026346212
artificial intelligence course,-0.8787054,-0.2277719,-0.2704764,0.10157659,-0.109946996,-0.0709321,-0.118605085,0.12410193,-0.0023435147,-0.028548831,0.029111207,-0.054800186,0.041129775,-0.09679854,0.036995646,-0.07238709,-0.043380078,0.12327267,-0.072047986,0.036377132
mit generative ai course,-0.87225413,0.33399013,0.073968284,-0.2009807,-0.25950316,0.0025443574,0.03164124,0.052744094,-0.02038482,0.011098319,-0.017583748,0.004195929,-0.018892996,-0.055059977,0.015261192,-0.0071682483,0.009241767,0.07521488,-0.01326767,0.013051488
generative ai fundamentals,-0.7855272,0.4564838,0.31104246,-0.07760099,0.09443147,-0.0230393,-0.087972105,0.15857758,-0.013780391,0.033496898,-0.059720363,-0.028517568,0.067142226,0.06033078,0.03997766,0.038406234,0.09987585,-0.02256862,0.041417252,-0.018800579
ai certification mit,-0.7887587,-0.42220348,0.08709714,-0.35962656,-0.10358959,0.034998775,0.096836746,-0.034639813,-0.03828016,0.06757361,0.0020712735,0.11850556,-0.07278111,0.03265621,0.030895762,0.01827702,0.07991429,0.014127845,-0.0758617,0.009021938
driving innovation with generative ai mit,-0.65847296,0.21142344,0.4496413,-0.12748826,-0.09427254,-0.016837802,0.006104604,-0.09043018,-0.2942755,-0.08345773,-0.13179106,0.026116896,-0.08810192,0.24300325,0.10993689,-0.26520678,0.054281093,0.030258005,-0.12009733,0.082246
generative ai course usa,-0.91471887,0.3557573,-0.00956194,-0.046448395,-0.04823299,0.052147515,-0.020356204,0.010990575,0.06765248,0.049255818,-0.02746017,-0.023602773,0.05056776,-0.02682343,-0.03310874,-0.07990459,-0.040180396,0.06389234,-0.030389775,-0.0566075
artificial intelligence certification mit,-0.7704319,-0.43038613,0.052971214,-0.35634217,-0.035168607,-0.086911395,-0.091861285,0.05563952,0.037825588,-0.004307339,0.099222295,0.103482276,-0.12522006,0.032366443,0.057603184,-0.012731791,0.024437167,0.11715977,-0.12050506,-0.006019673
mit ai class,-0.834711,-0.124157965,0.10388738,-0.09254525,-0.3923516,-0.12660939,0.12868863,0.06245963,-0.039146036,0.19868101,-0.026864905,0.024740698,0.022542104,-0.13980642,-0.051852092,-0.048070878,0.096525535,-0.008418917,0.015181891,0.032266397
certification for artificial intelligence,-0.71724933,-0.5007548,0.010998087,-0.24182588,0.27998203,0.07550266,-0.18629466,0.10293366,0.05901001,0.0056606387,0.037098978,0.039820336,-0.12852053,-0.0119419135,-0.05568092,-0.0064857663,0.051352274,0.12354925,-0.048478264,0.016590117
learn how to program ai,-0.84031606,-0.042945493,0.12460088,0.30405056,0.117264144,-0.005937036,-0.15184438,-0.073141016,0.053606547,0.17259751,0.0489733,-0.08422689,0.09338811,-0.04684235,0.14369307,0.15137815,0.10611593,0.038109746,-0.039731354,0.1758806
course on generative ai,-0.8702152,0.44869334,0.036976747,-0.060412,0.006646503,0.07029566,-0.039475538,0.1409262,0.0027694656,-0.0042633973,-0.011008131,-0.011971386,0.025882626,-0.05744045,-0.011146381,0.018602954,0.0366672,0.004618499,0.05134712,0.035305526
artificial intelligence training,-0.8704437,-0.17350347,-0.04440425,0.15771674,0.107071884,-0.12143843,-0.1580378,0.004143334,0.14357455,0.11748915,0.08050853,0.19477458,-0.010748926,-0.122852206,0.07984393,-0.085960716,0.10016414,0.04043179,-0.027341371,0.11810787
driving innovation with ai mit xpro,-0.6164991,-0.12740894,0.3992082,0.03358795,-0.06426627,-0.036257274,-0.035993624,-0.18396318,-0.37839627,-0.032284435,-0.16956185,-0.079998896,-0.045213275,0.24827923,0.0065832455,-0.24405657,0.021365788,0.1138006,0.18252645,0.23070309
generative ai online training,-0.71951324,0.4494706,-0.023432458,-0.06579794,0.30651602,-0.2576536,0.16772954,-0.18905568,-0.013844455,0.017559826,-0.028326077,0.17608555,-0.015347386,0.0011060251,-0.061817136,0.009876121,0.1151438,-0.017706826,0.015711408,0.030051678
ai for business,-0.71896976,-0.22259429,0.47416863,0.30810118,0.060520638,0.031386904,0.22281373,0.036426518,-0.01672728,-0.02922528,0.021736767,-0.04445952,-0.057689764,-0.15699111,-0.11853643,-0.019905724,0.024767218,-0.10462331,-0.023003781,-0.007628417
designing and building ai products and services,-0.6134813,-0.15805696,0.451445,0.25567365,0.18082601,-0.012070153,0.041284267,-0.113421366,-0.18426935,0.09852997,-0.047750726,-0.28988904,-0.2677495,-0.109142765,0.05769668,0.14612447,-0.022616507,0.017894348,-0.1591191,-0.13289718
courses about ai,-0.89912874,-0.1258072,-0.22457421,0.21789373,-0.04077565,0.14496557,0.042455032,0.111317314,-0.1305246,0.047850065,-0.059406303,-0.01526324,0.03314549,-0.045014217,0.025384137,0.054262776,0.052011333,-0.03954634,-0.03990424,0.07275764
best generative ai courses,-0.8792897,0.35822132,-0.11898555,-0.05125883,0.019905278,0.19995771,-0.018671105,0.046764344,-0.08799323,-0.01360852,0.040541068,0.07589712,-0.008915962,0.085042596,0.00012599569,0.07303626,-0.04187162,-0.057350732,-0.018893559,-0.073824234
generative ai workshop online,-0.77194536,0.52588207,0.0955653,-0.06929141,0.21680467,-0.16393119,-0.0012393397,-0.116104186,-0.002129661,0.07171954,0.08553921,0.036682032,-0.010257099,0.05418355,-0.01396953,0.06578292,0.035907127,-0.0020315596,-0.058656268,0.012107616
learn generative ai tools,-0.7746868,0.5186843,0.19614378,-0.09174387,0.1186026,0.052808665,-0.11631675,-0.044070743,0.01878199,0.0061037196,0.064489245,0.061552607,0.014883329,0.03903429,0.090151094,0.10594113,0.13799985,-0.035798717,-0.03946706,-0.017136984
artificial intelligence certification,-0.7531901,-0.48592797,-0.0070607555,-0.2065185,0.24114461,0.0397058,-0.1749082,0.07833424,0.09536037,0.022411203,0.0552398,0.053036734,-0.076922044,-0.046896018,-0.040697657,-0.049937226,0.05605945,0.15196724,-0.057960946,0.009993088
ai class,-0.86494404,-0.062496845,0.062230278,0.18542479,-0.070148356,0.017685656,0.036936793,0.011421835,0.023825314,0.314987,-0.01939505,0.0044646566,0.13885032,-0.19054472,-0.1679694,-0.10493961,0.051473968,-0.029747404,0.049919643,0.04430487
ai certification courses,-0.8509852,-0.35863608,-0.20511675,-0.08667068,0.08819552,0.255288,0.05756134,-0.04424825,-0.052361526,0.06448471,-0.02616633,0.042746566,-0.045714706,-0.028460361,0.03179206,0.0027467632,0.025277965,0.03177565,-0.06451173,0.016045494
artificial intelligence master online,-0.8092844,-0.09134176,-0.085578166,0.0011156272,0.1979433,-0.4267635,0.1457268,0.010509129,-0.055977404,-0.18644258,0.12149357,0.10835404,0.011339405,0.019461673,-0.112880334,-0.015627392,0.0080996575,0.04650248,0.07479287,0.032000024
best course on artificial intelligence,-0.8507077,-0.1675235,-0.25247508,0.14816344,-0.046580754,-0.0134696355,-0.16094144,0.31087703,-0.12383898,-0.03336727,0.06342468,-0.038711887,-0.024219558,0.03334289,-0.042589102,0.049040355,-0.07880483,0.001049785,0.021937475,0.05529842
artificial intelligence for engineers,-0.6496696,-0.14728333,0.23208795,0.18684877,-0.10319751,-0.14484973,-0.49332365,-0.04655303,0.13434385,-0.16768686,-0.20128138,0.19926155,0.05568302,-0.016268438,-0.18725635,0.07117461,-0.03002554,-0.04910726,-0.12894231,-0.021712461
course on machine learning and artificial intelligence,-0.82847136,-0.1966059,-0.27548403,0.061365638,0.045053575,-0.09104278,-0.14753562,0.24277568,-0.092715435,-0.07539729,-0.037482753,0.0027426174,-0.082309626,-0.17284605,0.16946985,-0.07357643,-0.00046579065,0.0068519027,0.12947054,-0.03180438
ai learning course,-0.91176784,-0.121171564,-0.21309511,0.2067742,-0.05516943,0.104764506,0.03874616,-0.06637742,-0.0042753164,0.10132032,-0.058434017,0.014061826,0.05011233,-0.11804617,0.039250482,-0.013999196,0.040652186,-0.0022436297,-0.049520653,0.09857071
best ai learning course,-0.8937375,-0.11690261,-0.27106282,0.18466584,-0.029871235,0.13711517,0.017638009,0.020448748,-0.11684913,0.13126527,0.028722411,0.0782366,-6.0363873e-05,0.06535047,-0.048575304,0.062440105,-0.038215417,-0.09587884,0.014725635,0.018413745
artificial intelligence online program,-0.6955768,-0.11812547,-0.07187535,0.16383177,0.28308564,-0.5722605,0.05737316,-0.06495369,0.09434104,-0.047647,0.08978581,-0.11534151,0.04953309,-0.07627316,-0.03268434,0.04702305,-0.039633643,0.07155313,-0.055130046,0.035581417
top artificial intelligence certification,-0.73455375,-0.4428592,0.012747571,-0.19509917,0.23979232,0.056644816,-0.13255683,0.17350015,0.02503657,0.036991496,0.13760883,0.10201438,-0.10853319,0.1577093,-0.092949174,-0.0051076584,0.026576076,0.1664341,-0.021257741,-0.11037927
graduate certificate artificial intelligence,-0.7976918,-0.40975913,-0.013184028,-0.24831899,0.052958917,-0.097484,-0.0750812,0.12425844,0.15017603,-0.16450588,0.025415719,-0.09531269,0.13128163,-0.024469338,0.04420551,0.019612357,-0.1449861,0.004676537,0.00048380403,-0.0017245718
ai for engineers,-0.7660194,-0.1491436,0.2788834,0.2198532,-0.08232205,-0.041360095,-0.28949493,-0.09214333,0.021419363,-0.068155326,-0.25807396,0.17991471,0.121232085,0.004229237,-0.16992135,0.063951924,0.034682024,-0.09939127,-0.035079498,-0.0028569172
python and ai course,-0.8985075,-0.15017487,-0.16178414,0.23607804,-0.021073667,-0.018718446,-0.14621493,0.028383413,0.043508813,0.15354653,-0.0221029,-0.102036856,0.08142905,-0.08203911,-0.07781076,0.03325444,0.04459639,0.00023340156,-0.040829245,0.06854982
best introduction to artificial intelligence,-0.7440351,-0.0375275,0.02028844,0.23443398,0.021179974,-0.08321666,-0.2872264,0.38965496,-0.13950928,-0.018358592,0.11508617,-0.18207236,-0.052747976,0.1093893,-0.009587998,0.06494555,-0.0038148393,-0.07996254,0.12897731,0.1990773
artificial intelligence for engineering,-0.60647315,-0.12083949,0.27507,0.1589276,-0.08377079,-0.16625683,-0.50592625,-0.07642503,0.1025172,-0.15296029,-0.244702,0.20439322,0.03712525,-0.057423756,-0.18288538,0.07171369,-0.10015882,-0.03429828,-0.17218381,-0.022850664
artificial intelligence master's degree online,-0.7127455,-0.23791286,-0.24235329,-0.111468986,0.18024758,-0.39837742,0.20356162,-0.009073168,-0.08938368,-0.32947475,0.0065973275,0.022196965,0.09043648,-0.022796104,-0.002484588,-0.025243225,-0.03197441,0.03343762,0.048573058,-0.024424627
ai related certifications,-0.7869496,-0.4748293,0.04078379,-0.17587593,0.23868984,0.19663459,0.06363287,-0.030754732,-0.006570248,0.053971298,-0.04889992,-0.008081353,-0.060734205,-0.028875854,-0.07323248,-0.011424171,0.077142276,0.014863043,-0.013733412,0.015163889
course in generative ai,-0.8787204,0.40919715,0.027225588,-0.06408612,-0.023866493,0.114246525,-0.025690109,0.12154358,0.04071774,0.012352911,-0.03303762,0.009291691,0.038581885,-0.116095014,-0.026934847,-0.061453722,0.027017154,0.026226653,0.050690323,0.0078057
courses in generative ai,-0.8758822,0.40414506,-0.06515208,-0.0665399,-0.00091682584,0.18158154,-0.021121416,0.10713958,-0.047173273,-0.066572525,-0.009617196,0.024101138,0.023200734,-0.058076687,0.058891363,0.002013615,0.023361562,0.005135359,-0.01825471,-0.01754118
ai for engineering,-0.7534311,-0.1638346,0.28600293,0.17938845,-0.095958896,-0.042273313,-0.3008313,-0.12224991,-0.007902631,-0.09345259,-0.28830862,0.16698802,0.09765674,-0.023203667,-0.15167846,0.06471642,-0.002680771,-0.11953533,-0.04430795,-0.041841444
ai generated courses,-0.9188741,-0.030335873,-0.1623476,0.1358048,-0.031197453,0.15908402,0.049372762,-0.16028689,-0.014285856,0.088954136,-0.013554549,-0.023293346,0.0728144,-0.08807478,0.03336917,-0.08169061,-0.07997534,0.043297097,-0.13202482,-0.012228793
online artificial intelligence degree,-0.69196737,-0.27112898,-0.28390756,-0.055909466,0.20053037,-0.41701347,0.17876233,0.020391874,-0.07078167,-0.29241258,-0.053706843,0.0048859273,0.12606929,-0.044516828,-0.013420691,-0.004967623,0.035972975,0.05743066,-0.0306665,-0.02049707
machine learning engineer training,-0.6040672,-0.0966195,0.012060833,0.060027733,0.020989738,0.034891963,-0.45029864,-0.2333974,0.107303806,-0.093178004,-0.060689896,0.3464088,-0.13120048,-0.18669167,0.23238789,-0.08071057,0.14645971,-0.20887202,0.19013974,-0.07363519
best ai certification,-0.77259254,-0.37884837,0.0051622293,-0.17936313,0.22271456,0.19602065,0.0066360165,0.030024152,-0.07253833,0.18027902,0.046219207,0.1292534,-0.081811994,0.18561621,-0.18077065,0.048089843,0.010953208,-0.052547842,0.034432713,-0.039955337
ai courses near me,-0.894805,-0.18728404,-0.21860383,0.16362289,-0.07398019,0.1216284,0.12608051,-0.10495669,-0.14112195,0.07704368,-0.043430015,-0.0084051145,0.05828743,-0.051285975,0.0073976875,-0.056814443,0.034692705,0.0031036742,-0.053174216,-0.03675547
what to study to become artificial intelligence engineer,-0.6761325,-0.34518272,-0.023183262,0.08374719,-0.023684304,0.05887669,-0.37373674,0.12899227,-0.18253821,-0.3710248,-0.13656025,0.10999068,0.10535853,-0.040205695,0.12460701,0.08222957,0.024449423,-0.016255338,-0.08450315,0.10517823
best course on generative ai,-0.85785484,0.42914376,-0.0037726918,-0.034343302,0.009180271,0.1195072,-0.067401804,0.17448576,-0.0655521,-0.03730919,0.029673878,-0.013239983,-0.008245289,0.0266796,-0.014076741,0.08312523,-0.013631015,-0.0805493,0.08603432,0.025766583
generative ai courses online,-0.85798,0.36314556,-0.25100887,-0.024169404,0.12443395,-0.045515407,0.12931387,-0.124098115,-0.06611014,-0.079853,-0.02512928,0.045038268,-0.001479886,0.009413962,-0.0064864834,0.03783738,0.0019160244,0.029461065,-0.053359274,-0.006144385
generative ai stanford course,-0.85125935,0.43653837,-0.0019723754,-0.051506523,-0.079543084,-0.020934017,-0.06606311,0.069417045,0.15643974,0.03972315,-0.11715371,-0.092112415,-0.06045104,0.07110911,0.043786936,-0.045464765,0.009466259,-0.03524236,-0.004334618,-0.06228841
