Campaign,Conversion action,Age,All conv.
Course - DAI - Run 1 - Search - Lead Gen - A,Purchase,45 - 54,1.00
Course - DAI - Run 1 - Search - Lead Gen - A,Purchase,Unknown,1.00
Course - DAI - Run 1 - Search - Lead Gen - B,Purchase,25 - 34,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,18 - 24,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,25 - 34,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,35 - 44,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,Unknown,1.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,18 - 24,1.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,35 - 44,2.00
Course - DAI - Run 3 - Search - Prospecting - B,Purchase,35 - 44,2.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,18 - 24,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,25 - 34,6.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,35 - 44,6.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,45 - 54,2.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,55 - 64,2.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,65+,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,Unknown,6.00
Market Test - Software Architecture - Search - Lead Gen - USA #2,Purchase,18 - 24,1.00
Market Test - Software Architecture - Search - Lead Gen - USA #2,Purchase,55 - 64,1.00
