Campaign,Hour of the day,Clicks
Course - DAI - Run 1 - Search - Lead Gen - A,0,102
Course - DAI - Run 1 - Search - Lead Gen - A,1,87
Course - DAI - Run 1 - Search - Lead Gen - A,2,86
Course - DAI - Run 1 - Search - Lead Gen - A,3,90
Course - DAI - Run 1 - Search - Lead Gen - A,4,102
Course - DAI - Run 1 - Search - Lead Gen - A,5,91
Course - DAI - Run 1 - Search - Lead Gen - A,6,112
Course - DAI - Run 1 - Search - Lead Gen - A,7,123
Course - DAI - Run 1 - Search - Lead Gen - A,8,115
Course - DAI - Run 1 - Search - Lead Gen - A,9,124
Course - DAI - Run 1 - Search - Lead Gen - A,10,136
Course - DAI - Run 1 - Search - Lead Gen - A,11,139
Course - DAI - Run 1 - Search - Lead Gen - A,12,97
Course - DAI - Run 1 - Search - Lead Gen - A,13,98
Course - DAI - Run 1 - Search - Lead Gen - A,14,96
Course - DAI - Run 1 - Search - Lead Gen - A,15,101
Course - DAI - Run 1 - Search - Lead Gen - A,16,152
Course - DAI - Run 1 - Search - Lead Gen - A,17,154
Course - DAI - Run 1 - Search - Lead Gen - A,18,97
Course - DAI - Run 1 - Search - Lead Gen - A,19,90
Course - DAI - Run 1 - Search - Lead Gen - A,20,54
Course - DAI - Run 1 - Search - Lead Gen - A,21,75
Course - DAI - Run 1 - Search - Lead Gen - A,22,59
Course - DAI - Run 1 - Search - Lead Gen - A,23,46
Course - DAI - Run 1 - Search - Lead Gen - B,0,292
Course - DAI - Run 1 - Search - Lead Gen - B,1,376
Course - DAI - Run 1 - Search - Lead Gen - B,2,357
Course - DAI - Run 1 - Search - Lead Gen - B,3,350
Course - DAI - Run 1 - Search - Lead Gen - B,4,357
Course - DAI - Run 1 - Search - Lead Gen - B,5,326
Course - DAI - Run 1 - Search - Lead Gen - B,6,368
Course - DAI - Run 1 - Search - Lead Gen - B,7,326
Course - DAI - Run 1 - Search - Lead Gen - B,8,392
Course - DAI - Run 1 - Search - Lead Gen - B,9,422
Course - DAI - Run 1 - Search - Lead Gen - B,10,573
Course - DAI - Run 1 - Search - Lead Gen - B,11,563
Course - DAI - Run 1 - Search - Lead Gen - B,12,530
Course - DAI - Run 1 - Search - Lead Gen - B,13,515
Course - DAI - Run 1 - Search - Lead Gen - B,14,358
Course - DAI - Run 1 - Search - Lead Gen - B,15,208
Course - DAI - Run 1 - Search - Lead Gen - B,16,146
Course - DAI - Run 1 - Search - Lead Gen - B,17,74
Course - DAI - Run 1 - Search - Lead Gen - B,18,64
Course - DAI - Run 1 - Search - Lead Gen - B,19,42
Course - DAI - Run 1 - Search - Lead Gen - B,20,44
Course - DAI - Run 1 - Search - Lead Gen - B,21,78
Course - DAI - Run 1 - Search - Lead Gen - B,22,98
Course - DAI - Run 1 - Search - Lead Gen - B,23,90
Course - DAI - Run 1 - Search - Lead Gen - USA,0,441
Course - DAI - Run 1 - Search - Lead Gen - USA,1,331
Course - DAI - Run 1 - Search - Lead Gen - USA,2,278
Course - DAI - Run 1 - Search - Lead Gen - USA,3,164
Course - DAI - Run 1 - Search - Lead Gen - USA,4,144
Course - DAI - Run 1 - Search - Lead Gen - USA,5,121
Course - DAI - Run 1 - Search - Lead Gen - USA,6,130
Course - DAI - Run 1 - Search - Lead Gen - USA,7,187
Course - DAI - Run 1 - Search - Lead Gen - USA,8,284
