Campaign,Targeted location,Clicks
Course - DAI - Run 1 - Search - Lead Gen - A,Australia,186
Course - DAI - Run 1 - Search - Lead Gen - A,Canada,538
Course - DAI - Run 1 - Search - Lead Gen - A,Denmark,16
Course - DAI - Run 1 - Search - Lead Gen - A,France,132
Course - DAI - Run 1 - Search - Lead Gen - A,Germany,181
Course - DAI - Run 1 - Search - Lead Gen - A,Israel,247
Course - DAI - Run 1 - Search - Lead Gen - A,Italy,256
Course - DAI - Run 1 - Search - Lead Gen - A,Japan,219
Course - DAI - Run 1 - Search - Lead Gen - A,Mexico,272
Course - DAI - Run 1 - Search - Lead Gen - A,Netherlands,59
Course - DAI - Run 1 - Search - Lead Gen - A,Norway,47
Course - DAI - Run 1 - Search - Lead Gen - A,Spain,122
Course - DAI - Run 1 - Search - Lead Gen - A,Switzerland,21
Course - DAI - Run 1 - Search - Lead Gen - A,United Kingdom,130
Course - DAI - Run 1 - Search - Lead Gen - B,Brazil,43
Course - DAI - Run 1 - Search - Lead Gen - B,Chile,3
Course - DAI - Run 1 - Search - Lead Gen - B,China,1
Course - DAI - Run 1 - Search - Lead Gen - B,Taiwan,2
Course - DAI - Run 1 - Search - Lead Gen - B,Colombia,1
Course - DAI - Run 1 - Search - Lead Gen - B,Hungary,3
Course - DAI - Run 1 - Search - Lead Gen - B,India,6397
Course - DAI - Run 1 - Search - Lead Gen - B,Poland,1
Course - DAI - Run 1 - Search - Lead Gen - B,Portugal,1
Course - DAI - Run 1 - Search - Lead Gen - B,Romania,4
Course - DAI - Run 1 - Search - Lead Gen - B,South Africa,9
Course - DAI - Run 1 - Search - Lead Gen - B,Turkiye,42
Course - DAI - Run 1 - Search - Lead Gen - B,Egypt,442
Course - DAI - Run 1 - Search - Lead Gen - USA,United States,8528
Course - DAI - Run 3 - Search - Prospecting - A,Australia,199
Course - DAI - Run 3 - Search - Prospecting - A,Canada,566
Course - DAI - Run 3 - Search - Prospecting - A,Denmark,43
Course - DAI - Run 3 - Search - Prospecting - A,France,224
Course - DAI - Run 3 - Search - Prospecting - A,Germany,152
Course - DAI - Run 3 - Search - Prospecting - A,Israel,407
Course - DAI - Run 3 - Search - Prospecting - A,Italy,122
Course - DAI - Run 3 - Search - Prospecting - A,Japan,310
Course - DAI - Run 3 - Search - Prospecting - A,Mexico,722
Course - DAI - Run 3 - Search - Prospecting - A,Netherlands,76
Course - DAI - Run 3 - Search - Prospecting - A,Norway,37
Course - DAI - Run 3 - Search - Prospecting - A,Spain,169
Course - DAI - Run 3 - Search - Prospecting - A,Switzerland,57
Course - DAI - Run 3 - Search - Prospecting - A,United Kingdom,196
Course - DAI - Run 3 - Search - Prospecting - B,Brazil,56
Course - DAI - Run 3 - Search - Prospecting - B,Chile,7
Course - DAI - Run 3 - Search - Prospecting - B,China,8
Course - DAI - Run 3 - Search - Prospecting - B,Colombia,6
Course - DAI - Run 3 - Search - Prospecting - B,India,7042
Course - DAI - Run 3 - Search - Prospecting - B,Poland,2
Course - DAI - Run 3 - Search - Prospecting - B,Romania,5
Course - DAI - Run 3 - Search - Prospecting - B,Saudi Arabia,2
Course - DAI - Run 3 - Search - Prospecting - B,South Africa,29
Course - DAI - Run 3 - Search - Prospecting - B,United Arab Emirates,1
Course - DAI - Run 3 - Search - Prospecting - B,Turkiye,21
Course - DAI - Run 3 - Search - Prospecting - B,Egypt,506
Course - DAI - Run 3 - Search - Prospecting - USA,United States,9798
Market Test - Software Architecture - Search - Lead Gen - USA #2,United States,2053
