Campaign,Age,Clicks
Course - DAI - Run 1 - Search - Lead Gen - A,18 - 24,399
Course - DAI - Run 1 - Search - Lead Gen - A,25 - 34,598
Course - DAI - Run 1 - Search - Lead Gen - A,35 - 44,389
Course - DAI - Run 1 - Search - Lead Gen - A,45 - 54,253
Course - DAI - Run 1 - Search - Lead Gen - A,55 - 64,107
Course - DAI - Run 1 - Search - Lead Gen - A,65+,86
Course - DAI - Run 1 - Search - Lead Gen - A,Unknown,594
Course - DAI - Run 1 - Search - Lead Gen - B,18 - 24,2691
Course - DAI - Run 1 - Search - Lead Gen - B,25 - 34,1195
Course - DAI - Run 1 - Search - Lead Gen - B,35 - 44,694
Course - DAI - Run 1 - Search - Lead Gen - B,45 - 54,510
Course - DAI - Run 1 - Search - Lead Gen - B,55 - 64,279
Course - DAI - Run 1 - Search - Lead Gen - B,65+,182
Course - DAI - Run 1 - Search - Lead Gen - B,Unknown,1398
Course - DAI - Run 1 - Search - Lead Gen - USA,18 - 24,980
Course - DAI - Run 1 - Search - Lead Gen - USA,25 - 34,1078
Course - DAI - Run 1 - Search - Lead Gen - USA,35 - 44,1121
Course - DAI - Run 1 - Search - Lead Gen - USA,45 - 54,1367
Course - DAI - Run 1 - Search - Lead Gen - USA,55 - 64,1021
Course - DAI - Run 1 - Search - Lead Gen - USA,65+,1082
Course - DAI - Run 1 - Search - Lead Gen - USA,Unknown,1879
Course - DAI - Run 3 - Search - Prospecting - A,18 - 24,622
Course - DAI - Run 3 - Search - Prospecting - A,25 - 34,885
Course - DAI - Run 3 - Search - Prospecting - A,35 - 44,552
Course - DAI - Run 3 - Search - Prospecting - A,45 - 54,387
Course - DAI - Run 3 - Search - Prospecting - A,55 - 64,117
Course - DAI - Run 3 - Search - Prospecting - A,65+,64
Course - DAI - Run 3 - Search - Prospecting - A,Unknown,653
Course - DAI - Run 3 - Search - Prospecting - B,18 - 24,4059
Course - DAI - Run 3 - Search - Prospecting - B,25 - 34,1217
Course - DAI - Run 3 - Search - Prospecting - B,35 - 44,593
Course - DAI - Run 3 - Search - Prospecting - B,45 - 54,277
Course - DAI - Run 3 - Search - Prospecting - B,55 - 64,73
Course - DAI - Run 3 - Search - Prospecting - B,65+,58
Course - DAI - Run 3 - Search - Prospecting - B,Unknown,1408
Course - DAI - Run 3 - Search - Prospecting - USA,18 - 24,1345
Course - DAI - Run 3 - Search - Prospecting - USA,25 - 34,1839
Course - DAI - Run 3 - Search - Prospecting - USA,35 - 44,1523
Course - DAI - Run 3 - Search - Prospecting - USA,45 - 54,1374
Course - DAI - Run 3 - Search - Prospecting - USA,55 - 64,648
Course - DAI - Run 3 - Search - Prospecting - USA,65+,579
Course - DAI - Run 3 - Search - Prospecting - USA,Unknown,2490
Market Test - Software Architecture - Search - Lead Gen - USA,18 - 24,0
Market Test - Software Architecture - Search - Lead Gen - USA,25 - 34,0
Market Test - Software Architecture - Search - Lead Gen - USA,35 - 44,0
Market Test - Software Architecture - Search - Lead Gen - USA,45 - 54,0
Market Test - Software Architecture - Search - Lead Gen - USA,55 - 64,0
Market Test - Software Architecture - Search - Lead Gen - USA,65+,0
Market Test - Software Architecture - Search - Lead Gen - USA,Unknown,0
Market Test - Software Architecture - Search - Lead Gen - USA #2,18 - 24,290
Market Test - Software Architecture - Search - Lead Gen - USA #2,25 - 34,422
Market Test - Software Architecture - Search - Lead Gen - USA #2,35 - 44,330
Market Test - Software Architecture - Search - Lead Gen - USA #2,45 - 54,204
Market Test - Software Architecture - Search - Lead Gen - USA #2,55 - 64,109
Market Test - Software Architecture - Search - Lead Gen - USA #2,65+,61
Market Test - Software Architecture - Search - Lead Gen - USA #2,Unknown,637
