Campaign,Device,Clicks
Course - DAI - Run 1 - Search - Lead Gen - A,Computers,735
Course - DAI - Run 1 - Search - Lead Gen - A,Mobile phones,1649
Course - DAI - Run 1 - Search - Lead Gen - A,Tablets,42
Course - DAI - Run 1 - Search - Lead Gen - B,Computers,419
Course - DAI - Run 1 - Search - Lead Gen - B,Mobile phones,6499
Course - DAI - Run 1 - Search - Lead Gen - B,Tablets,31
Course - DAI - Run 1 - Search - Lead Gen - USA,Computers,1969
Course - DAI - Run 1 - Search - Lead Gen - USA,Mobile phones,6413
Course - DAI - Run 1 - Search - Lead Gen - USA,Tablets,146
Course - DAI - Run 3 - Search - Prospecting - A,Computers,1640
Course - DAI - Run 3 - Search - Prospecting - A,Mobile phones,1593
Course - DAI - Run 3 - Search - Prospecting - A,Tablets,47
Course - DAI - Run 3 - Search - Prospecting - B,Computers,505
Course - DAI - Run 3 - Search - Prospecting - B,Mobile phones,7127
Course - DAI - Run 3 - Search - Prospecting - B,Tablets,53
Course - DAI - Run 3 - Search - Prospecting - USA,Computers,5093
Course - DAI - Run 3 - Search - Prospecting - USA,Mobile phones,4590
Course - DAI - Run 3 - Search - Prospecting - USA,Tablets,115
Market Test - Software Architecture - Search - Lead Gen - USA #2,Computers,1084
Market Test - Software Architecture - Search - Lead Gen - USA #2,Mobile phones,947
Market Test - Software Architecture - Search - Lead Gen - USA #2,Tablets,22
