Campaign,Conversion action,Targeted location,All conv.
Course - DAI - Run 1 - Search - Lead Gen - A,Purchase,Australia,2.00
Course - DAI - Run 1 - Search - Lead Gen - B,Purchase,India,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,United States,4.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,Canada,1.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,Mexico,1.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,Spain,1.00
Course - DAI - Run 3 - Search - Prospecting - B,Purchase,China,1.00
Course - DAI - Run 3 - Search - Prospecting - B,Purchase,Egypt,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,United States,24.00
Market Test - Software Architecture - Search - Lead Gen - USA #2,Purchase,United States,2.00
