Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
353,0.08524401003729287,0.042723235957053005,0.044119016618784625,0.08858594394310192,0.10206437364945171,0.12102084333645033,0.12022217673083778,0.0874936825710285,0.8126916163132558,0.8362558995523265,0.8356588161799724,0.823920378087734
