Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,158.11,97,90.172066
generative ai course,USA,Broad match,11.44,8,7.307056
generative ai courses,USA,Broad match,1.83,1,0.485808
mit generative ai course,USA,Broad match,1.5,1,0.30460793
online ai and ml courses,USA,Phrase match,26.98,19,11.640108
mit xpro ai,USA,Broad match,46.8,40,37.726402
mit artificial intelligence course,USA,Phrase match,5.1,5,3.328703
generative ai certificate course,USA,Broad match,1.35,1,0.39175475
generative ai fundamentals course,USA,Broad match,5.8,5,3.057197
generative ai online course,USA,Broad match,5.4,5,4.1050544
generative ai online program,USA,Broad match,2.22,2,0.22443867
generative ai foundations course,USA,Broad match,12.32,8,6.783347
mit generative ai certificate,USA,Broad match,3.08,2,1.418865
online course generative ai,USA,Broad match,0.56,1,0.0
generative ai certification online,USA,Phrase match,0.25,1,0.0
mit professional development,A,Broad match,7.2,4,0.54884434
generative ai course,A,Broad match,5.32,4,2.8551059
generative ai online course,A,Broad match,2.4,2,0.8873246
online ai and ml courses,A,Phrase match,8.94,6,1.918365
mit xpro ai,A,Broad match,4.199999999999999,3,0.9189682
generative ai fundamentals course,A,Broad match,2.68,4,1.6867309
generative ai online course,A,Broad match,1.76,2,0.8873246
generative ai online program,A,Broad match,7.76,8,4.6229734
generative ai foundations course,A,Broad match,2.6,5,2.5914052
online course generative ai,A,Broad match,2.67,3,1.4962738
professional certificate in ai,A,Phrase match,2.49,3,1.0627093
mit professional development,B,Broad match,3.08,7,2.2473993
generative ai course,B,Broad match,0.62,2,0.51492155
generative ai online course,B,Broad match,0.3,1,0.0
online ai and ml courses,B,Phrase match,5.04,12,3.822504
generative ai online program,B,Broad match,1.6,4,0.5731065
generative ai foundations course,B,Broad match,1.24,2,0.7405467
mit generative ai certificate,B,Broad match,0.63,3,0.6014199
online course generative ai,B,Broad match,1.24,4,0.94286823
ai certification mit,USA,Exact match,0.83,1,0.3853404
mit ai course,USA,Phrase match,5.699999999999999,5,2.9202034
