Budget,Spend New,Clicks New,Conv New,Spend Existing,Clicks Existing,Conv Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
300,0.05734574000276918,0.04258127201549918,0.042608774661617506,0.9426542599972308,0.9574187340915129,0.957391220997623,0.0,0.0,0.0
350,0.053758040481034775,0.04341327765577015,0.04323601804551274,0.9462419595189652,0.9565867370254953,0.9567639841685329,0.0,0.0,0.0
400,0.056976723266256184,0.04478695534706175,0.04475744096970873,0.9430232767337438,0.955213032518606,0.955242560394061,0.0,0.0,0.0
450,0.056075178603095965,0.04312415171785007,0.04282296602252825,0.943924821396904,0.9568758473674241,0.9571770379045217,0.0,0.0,0.0
500,0.05494974470707679,0.04396893686799513,0.04392437555534589,0.9450502552929231,0.9560310521102885,0.956075621683168,0.0,0.0,0.0
550,0.04970126491450381,0.04137935856289669,0.04130709632059369,0.9502987350854961,0.9586206459422681,0.9586929066943226,0.0,0.0,0.0
