Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches
2025-12-01,300,346.2627,221.91217,311.95058909884835,322,299.99999999999994,355.41,13.795353132782216,10.05185752151154,15,31,,,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,99.41138062515131,35.54,76.368576,16.881475,2.360710525721035,0.5218413492032963,101.60358545936519,300.35,83.30548,169.43639,3.98702831691505,8.109282385373684,98.98503391548351,19.52,186.58865,35.594322,7.44761429014613,1.4207337869345602,0.0,0.0,0.0,0.0,0.0,0.0,299.99999999999994,355.41,346.2627,221.91217,13.795353132782216,10.05185752151154,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,350,408.25635,221.91217,354.2943986758607,322,349.9999999999993,355.41,16.06809127244659,10.05185752151154,19,31,,,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,116.6666666666666,35.54,106.25302,16.881475,3.2845008204245034,0.5218413492032963,117.03257521817005,300.35,91.77803,169.43639,4.392527380597217,8.109282385373684,116.30075811516272,19.52,210.22531,35.594322,8.39106307142487,1.4207337869345602,0.0,0.0,0.0,0.0,0.0,0.0,349.9999999999993,355.41,408.25635,221.91217,16.06809127244659,10.05185752151154,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,400,424.48837,221.91217,398.1542876763202,322,399.9999982399679,355.41,16.751132871172562,10.05185752151154,20,31,,,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,132.9499277828938,35.54,100.6752,16.881475,3.1120788640887405,0.5218413492032963,134.55358840376397,300.35,89.88173,169.43639,4.301769764505632,8.109282385373684,132.49648205331016,19.52,233.93146,35.594322,9.337284242578189,1.4207337869345602,0.0106192888175751,0.0,0.0,0.0,0.0,0.0,399.9893789511504,355.41,424.48834,221.91217,16.751132871172562,10.05185752151154,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,450,480.20697,221.91217,437.4300884058456,322,449.99999860492767,355.41,19.126286260923255,10.05185752151154,22,31,,,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,145.93716962022594,35.54,110.56613,16.881475,3.4178277532888983,0.5218413492032963,159.65358632594473,300.35,120.11319,169.43639,5.748657628001689,8.109282385373684,144.40924265875714,19.52,249.52766,35.594322,9.95980087963267,1.4207337869345602,0.0,0.0,0.0,0.0,0.0,0.0,449.99999860492767,355.41,480.20697,221.91217,19.12628626092326,10.05185752151154,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,500,510.79312,221.91217,479.64742985350165,322,499.73868632537796,355.41,20.34306590417835,10.05185752151154,24,31,,,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,166.3550314475045,35.54,112.894394,16.881475,3.48979916116828,0.5218413492032963,167.5293096425477,300.35,122.240654,169.43639,5.850478419011773,8.109282385373684,165.85434523532575,19.52,275.6581,35.594322,11.002788323998297,1.4207337869345602,0.0,0.0,0.0,0.0,0.0,0.0,499.73868632537796,355.41,510.79312,221.91217,20.34306590417835,10.05185752151154,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,550,541.13696,221.91217,522.1684178980296,322,549.9999811936018,355.41,21.455928146758012,10.05185752151154,22,31,,,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,180.0714481532231,35.54,127.011185,16.881475,3.9261786202014566,0.5218413492032963,190.6435894181787,300.35,125.86374,169.43639,6.023880850998915,8.109282385373684,179.28494362220005,19.52,288.26205,35.594322,11.50586867555764,1.4207337869345602,0.0,0.0,0.0,0.0,0.0,0.0,549.9999811936018,355.41,541.13696,221.91217,21.455928146758012,10.05185752151154,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,300,255.78798,200.57773,372.4787319731614,292,299.87857988245855,350.34000000000003,10.217544487278452,9.166778511639807,48,32,0.4689776386930141,0.8958333333333334,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,98.45736888957524,37.61,76.003044,14.646555,2.349411413254209,0.45275533041753513,102.8424219857671,297.8,87.10175,162.68533,4.168719549174486,7.786174726688883,98.5787890071162,14.93,92.68317,23.24583,3.6994135248497564,0.9278484545333883,3.874947154996006,0.0,2.4165816,0.0,0.09645693354958242,0.0,296.0036327274625,350.34000000000003,253.37141,200.57773,10.121087610827189,9.166778511639807,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,350,296.85675,200.57773,429.5686834351583,292,349.9999982644992,350.34000000000003,11.852553916854934,9.166778511639807,57,32,0.4838803358492366,0.8771929824561403,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,113.3019952968907,37.61,91.159904,14.646555,2.8179413400146887,0.45275533041753513,123.4549472868409,297.8,103.74164,162.68533,4.965109670208716,7.786174726688883,113.24305568076764,14.93,101.9552,23.24583,4.069502906631529,0.9278484545333883,3.8749471549960166,0.0,2.4165816,0.0,0.09645693354958242,0.0,346.1250511095032,350.34000000000003,294.4402,200.57773,11.75609704040367,9.166778511639807,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,400,319.90115,200.57773,487.9108473009336,292,399.99999280184534,350.34000000000003,12.746444080267098,9.166778511639807,70,32,0.5132022320534098,0.9,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,133.33332613518394,37.61,97.15511,14.646555,3.0032656517007976,0.45275533041753513,133.33333333332786,297.8,107.27239,162.68533,5.134092747583719,7.786174726688883,133.33333333333354,14.93,115.47362,23.24583,4.609085680982583,0.9278484545333883,17.270673509715152,0.0,9.488766,0.0,0.35340743886713005,0.0,382.7293192921301,350.34000000000003,310.41235,200.57773,12.393036526557042,9.166778511639807,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,450,386.73547,200.57773,544.9861727197008,292,449.2532555073769,350.34000000000003,15.308688073613595,9.166778511639807,66,32,0.456034047123035,0.8787878787878788,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,149.67989477094912,37.61,121.29734,14.646555,3.749551865782392,0.45275533041753513,149.61484198508685,297.8,121.3579,162.68533,5.80823000236397,7.786174726688883,149.95851875134082,14.93,144.0802,23.24583,5.750906205467235,0.9278484545333883,14.132420412292205,0.0,9.487879,0.0,0.3787050614202778,0.0,435.12083509508466,350.34000000000003,377.24756,200.57773,14.929983392848781,9.166778511639807,0.0,0.0,0.0,0.0,0.0,0.0
