Budget,Share USA,Share A,Share B,Share New,Share Existing,Share ExSearches
Actual,0.846740219546355,0.10205299848636662,0.05120678196727846,0.0,1.0,0.0
300,0.34603040627160736,0.32824236158770825,0.32572723214068433,0.0,1.0,0.0
350,0.34304001039642024,0.3311775819061773,0.32578240769740247,0.0,1.0,0.0
400,0.3386994714958396,0.3329515587192587,0.3283489697849017,0.0,1.0,0.0
450,0.3409114741403699,0.33046787996118854,0.3286206458984415,0.0,1.0,0.0
500,0.3392951527495526,0.33074290194385236,0.32996194530659495,0.0,1.0,0.0
550,0.3373803070828549,0.3324350931672268,0.3301845997499183,0.0,1.0,0.0
