Region,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
A,0.13540667171382073,0.08629642315601767,44.325996,28.24953,119.1199994232749,86.67999999999999
B,0.05260408413120135,0.0487029828270797,67.768845,62.74313,118.40999705157958,32.68
C,0.0,0.0,0.0,0.0,0.0,0.0
USA,0.014933340461669262,0.1028545885520481,4.2870846,29.527641,119.51000008396775,212.78
