Region,Search keyword match type,Avg_Max_CPC,Actual_Avg_CPC,CPC_vs_Max,CPC_Status,Total_Keywords_Logged,Zero_CPC_Count,%_Zero_CPC
A,Broad match,1.321578947368421,3.2056108597285067,1.8840319123600857,Over Max CPC,76,34,44.73684210526316
A,Exact match,1.31875,3.35875,2.04,Over Max CPC,56,49,87.5
A,Phrase match,1.357391304347826,4.0625233644859815,2.7051320601381557,Over Max CPC,69,45,65.21739130434783
B,Broad match,0.5094117647058823,1.2203731343283581,0.7109613696224758,Over Max CPC,17,7,41.17647058823529
B,Exact match,0.5433333333333333,,,Under Max CPC,3,3,100.0
B,Phrase match,0.5333333333333333,2.14,1.606666666666667,Over Max CPC,9,8,88.88888888888889
USA,Broad match,3.9901183431952667,2.660134529147982,-1.3299838140472846,Under Max CPC,169,106,62.721893491124256
USA,Exact match,3.9767634854771785,4.932752293577981,0.9559888081008028,Over Max CPC,241,179,74.27385892116183
USA,Phrase match,4.075244755244755,5.1531730769230775,1.0779283216783222,Over Max CPC,143,104,72.72727272727273
