Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai courses for executives,USA,Broad match,existing,13.476857711769146,17.624087202699997,16.64000068918071,17.624088,-1.0846535190012219e-06
ai short course,B,Broad match,existing,10.276857559683497,20.260327433,18.84136590803662,20.260332,-4.674543944815923e-06
artificial intelligence in real estate,B,Broad match,existing searches,10.27685755968352,20.2306808294,18.598026639336524,20.230682,-1.5436468743246223e-06
best prompting courses,B,Broad match,existing,10.276857559683512,22.2497254264,20.668274606430824,22.249727,-1.8227455065300546e-06
cursos inteligencia artificial,A,Broad match,existing searches,15.72685768963889,22.8520971548,21.90145164841801,22.8521,-3.21751445397922e-06
cursos inteligencia artificial,B,Broad match,existing searches,10.276857559683535,20.0623552934,18.59802652753086,20.062359,-3.5628011723076725e-06
ethics in the age of generative ai online course,B,Broad match,new,10.276857559683528,21.696621770000004,19.276871794795536,21.696625,-2.9858593713072423e-06
generate ai free course with certificate,A,Broad match,new,10.27685755968352,13.694291838199998,12.469136007816697,13.69429,1.6770671855681485e-06
generating ai course,USA,Broad match,new,13.476857711769158,19.999886213299998,18.329988776204356,19.99989,-3.1604792987138808e-06
generating ai course,A,Broad match,new,13.476857711769163,20.700186869400003,18.889225503700235,20.70019,-2.721054098486775e-06
generating ai course,B,Broad match,new,15.72685768963887,31.559308414100002,28.640846852897,31.559313,-4.406334568329839e-06
generative ai short course,USA,Broad match,new,13.476857711769139,17.7074188991,17.02621475891369,17.70742,-1.4500210951950976e-06
generative ai short course,A,Broad match,new,13.476857711769139,18.4077195552,17.58545154601421,18.40772,-1.0105958985207053e-06
generative ai short courses,USA,Broad match,new,13.47685771176915,17.673245984599998,16.88334013848107,17.67325,-4.213764260185826e-06
generative ai short courses,A,Broad match,new,13.47685771176915,18.3735466407,17.442576865976946,18.37355,-3.7743390635114338e-06
google ai courses generative ai,USA,Broad match,new,13.476857711769158,17.8642105716,16.883340205503504,17.864214,-3.371881444280689e-06
join the 5 day gen al intensive course with google,A,Broad match,existing searches,10.276857559683519,13.312257378137,12.526261477506049,13.312257,5.650876833129814e-07
mit professional development,USA,Broad match,existing,15.72685768963889,23.5953753341,21.42845538742947,23.595377,-1.6342837874105953e-06
mit professional development,A,Broad match,existing,15.726857689638887,24.455747467800002,22.147763592525344,24.455748,-1.3657011521672757e-07
mit short course ai,USA,Broad match,existing searches,13.47685771176916,19.6534920683,17.26955423260664,19.653494,-1.812925585653602e-06
mit short course ai,A,Broad match,existing searches,13.476857711769158,19.0710345356,17.82879088802462,19.071035,-8.495318368773042e-07
nlp llm course,B,Broad match,existing searches,15.726857689638873,33.7174129725,31.75186636452881,33.71742,-5.698154296851499e-06
online course generative ai,USA,Broad match,existing,13.476857711769153,19.788727613499997,18.086649271062253,19.788729,-1.1004892606081285e-06
online course generative ai,A,Broad match,existing,13.966857294127438,22.9961700242,21.15302775315813,22.99617,-1.974531116388789e-08
online course generative ai,B,Broad match,existing,15.726857689638887,39.8193748946,35.13286099384317,39.819378,-3.0045699190850428e-06
online ethics in the age of generative ai course,B,Broad match,new,10.276857559683524,21.696621770000004,19.276871794795536,21.696625,-2.9858593713072423e-06
short term courses in artificial intelligence,USA,Broad match,existing searches,13.47685771176915,17.365272875799995,16.8833400867127,17.365276,-3.460869926641408e-06
stanford generative ai free course,USA,Broad match,new,13.476857711769158,18.0545260678,16.883340216702894,18.05453,-3.122263475319187e-06
stanford generative ai free course,A,Broad match,new,13.476857711769151,18.754826723900003,17.44257694419877,18.75483,-2.6828382786447946e-06
tech skills to learn,B,Broad match,existing searches,10.27685755968352,24.300095053200003,20.424934835914847,24.300097,-1.4586408170202958e-06
there an ai for that,B,Broad match,existing searches,10.27685755968352,20.2260984317,18.598026527517565,20.2261,-2.4899308606052273e-06
turbolearn ai,USA,Broad match,existing searches,0.22741300643482987,1.376848903737,8.686535690749508e-08,1.3768488,8.686535690749508e-08
