Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
cisco networking academy,A,Broad match,existing searches,5.239999911694063,3.967219117490001,2.247939470616527,3.9672194,-2.352321666343471e-07,3.030330653580277,1.8227206
engineering classes online,USA,Broad match,existing,1.2999999825206576,1.0472684439090003,0.1570017274287454,1.0472686,-1.85165096144857e-07,10.764212629723165,-0.3097461
human factors engineering course,A,Broad match,existing searches,6.820000041608485,6.60466977379,4.6729293706146455,6.60467,-2.739700102338816e-07,1.8973109479985264,3.437196
masters degree in it,A,Exact match,existing,4.249999938679506,2.5140913842899986,0.8169475911839195,2.5140917,-3.4582779928626906e-07,6.7629796328507865,0.9910974
mem degree,A,Broad match,existing,1.1299999738045865,1.80160461557,0.0883251298674854,1.8016047,-1.3220221672938237e-07,16.631732873191467,0.19733393
mit ai course,USA,Broad match,existing,1.8599999732728416,1.715933860548999,0.3294799935903811,1.7159337,1.800146365305011e-07,7.338836992515,0.002149105
online certification courses,USA,Phrase match,existing,221.67000005248244,160.75730178215002,151.82546946861245,160.75732,-2.2436599977027072e-05,1.898041225077865,30.396574
online certification courses,USA,Broad match,existing,221.67000005248244,161.08065753855,152.14882522501242,161.08067,-1.5679223423603617e-05,1.8940073946811748,30.632523
online courses online,USA,Phrase match,existing searches,2.5500001121226887,10.42908503613,0.4122946461153507,10.429085,2.582979679033315e-07,8.040366706173607,0.06505549
online courses online,USA,Broad match,existing searches,221.67000005248244,152.48296841944,142.46617802942535,152.483,-3.3289544376202684e-05,2.0227327219286217,39.394398
online degrees in ohio,A,Phrase match,existing searches,1.1299999738044937,1.8087036108500008,0.0883249735361579,1.8087039,-2.885335441682457e-07,16.631762310627497,0.1197418
quality engineering certification,A,Phrase match,existing searches,5.52000017387668,3.4068150615199992,2.261833558033366,3.4068146,4.863246867436999e-07,3.172647342043647,1.295572
skill lync,USA,Phrase match,existing searches,1.8599999732728416,2.487018356700001,0.4334290126753428,2.4870186,-2.28505077082275e-07,5.578768136285056,-0.1708622
sound engineering courses,A,Broad match,existing,1.1299999738048283,1.592639936049001,0.0883247981858414,1.5926402,-2.254652815558701e-07,16.63179532949966,0.19733405
statistics course,A,Broad match,existing searches,6.820000041608485,6.342341878359999,4.659035541957106,6.342342,-2.1511826986397864e-08,1.902968967342696,3.3051977
