Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,89.68,59,240.35547
generative ai course,USA,Broad match,16.200000000000003,10,240.35547
generative ai courses,USA,Broad match,2.49,1,240.35547
online ai and ml courses,USA,Phrase match,70.28999999999999,33,240.35547
mit xpro ai,USA,Broad match,83.21000000000001,53,240.35547
mit artificial intelligence course,USA,Phrase match,8.94,6,240.35547
generative ai certificate course,USA,Broad match,3.81,3,240.35547
generative ai fundamentals course,USA,Broad match,7.979999999999999,7,240.35547
generative ai online course,USA,Broad match,9.68,8,240.35547
generative ai online program,USA,Broad match,17.290000000000003,7,240.35547
generative ai certificate program,USA,Broad match,7.38,3,240.35547
generative ai foundations course,USA,Broad match,24.48,16,240.35547
mit generative ai certificate,USA,Broad match,9.18,9,240.35547
generative ai certification online,USA,Broad match,3.56,2,240.35547
online course generative ai,USA,Broad match,2.04,2,240.35547
professional certificate in ai,USA,Phrase match,1.82,1,240.35547
online generative ai course,USA,Phrase match,0.59,1,240.35547
generative ai course,A,Broad match,7.8,4,240.35547
online ai and ml courses,A,Phrase match,3.24,4,240.35547
mit xpro ai,A,Broad match,3.24,2,240.35547
generative ai fundamentals course,A,Broad match,13.6,5,240.35547
generative ai online program,A,Broad match,16.95,15,240.35547
generative ai foundations course,A,Broad match,9.9,9,240.35547
professional certificate in ai,A,Phrase match,1.8,2,240.35547
mit professional development,B,Broad match,4.2,10,240.35547
generative ai course,B,Broad match,0.8999999999999999,5,240.35547
generative ai online course,B,Broad match,4.199999999999999,6,240.35547
online ai and ml courses,B,Phrase match,0.2,1,240.35547
mit xpro ai,B,Broad match,1.5,2,240.35547
generative ai online program,B,Broad match,2.52,7,240.35547
mit generative ai certificate,B,Broad match,0.58,2,240.35547
generative ai certification online,B,Broad match,0.82,2,240.35547
online course generative ai,B,Broad match,2.7,6,240.35547
mit ai course,USA,Phrase match,7.28,4,240.35547
stanford ai professional program,USA,Phrase match,1.81,1,240.35547
mit generative ai course,USA,Exact match,1.14,1,240.35547
