Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
357,0.0039873053433538514,0.00039103118544944044,0.0007609943833744715,0.2702016905161197,0.5071739324226204,0.41694499824619524,0.7258110041405265,0.4924350011631586,0.5822940110750676
