Day,k_policy,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Oracle_k,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,full,353,207.17474,132.05516,347.562216797463,190,353.9899999999815,339.01,0.2690266700172334,0.10487356328673753,678,44,,,384,2.020794630050659,0.9025059342384338,0.0001419988255849,353.9899999999815,256.5,207.17474,62.83869,0.2690266700172334,0.08159915375053577,0.0,50.56000000000001,0.0,21.899807,0.0,0.016743735496334275,0.0,31.95,0.0,47.316658,0.0,0.006530674039867488,40.12999927778979,0.0,18.07389,0.0,0.02346984087769701,0.0,24.929999671654613,339.01,15.71603,132.05516,0.02040804232872941,0.10487356328673753,288.93000105053704,0.0,173.38483,0.0,0.22514877195008784,0.0,63.1400006407398,7.5,1.1961055,1.9388525,0.0015532021179472406,0.0017056235823476348,112.36999786824833,35.900000000000006,91.23053,5.832954,0.11846734471174585,0.00646246377955793,178.48000149099335,295.61,114.74812,124.283356,0.1490061126611976,0.09670547503273234
2025-12-02,full,353,113.51419,142.21645,240.5777568610888,213,353.9899999999998,344.9,0.1119472894522279,0.11544884085365881,248,43,1.5359839395977752,0.9153225806451613,384,2.0685245990753174,0.900302529335022,0.0001790001770631,246.88000258413956,259.25,47.114838,68.29123,0.061180946689906646,0.08867952852961031,107.10999741586019,50.2,66.39935,26.44061,0.05076634276232125,0.02021545618585924,0.0,35.45,0.0,47.484615,0.0,0.006553856138189262,50.25999922138777,0.0,21.858154,0.0,0.019257527519464187,0.0,10.520000101396969,344.9,1.9765004,142.21645,0.002566583504339345,0.11544884085365881,293.2100006772149,0.0,89.679535,0.0,0.09012318035110584,0.0,65.85000024531385,3.38,10.613217,0.7436171,0.012593837032751616,0.000694729335299049,93.42000134792333,14.04,21.123379,2.3625898,0.024912680831149395,0.002162527798067136,194.71999840676256,327.47999999999996,81.77759,139.11024,0.07444077158832688,0.11259158508010901
2025-12-03,full,353,117.047455,142.13225,291.9270876274422,214,353.9899999999981,350.34000000000003,0.15199190853885072,0.12055045554302007,629,44,0.573555592422606,0.9475357710651828,384,1.965264916419983,0.9054325819015504,4.176706408235046e-05,353.9899999999981,265.53,117.047455,71.430084,0.15199190853885072,0.09275549685708084,0.0,53.22,0.0,28.78762,0.0,0.02200988632025562,0.0,31.589999999999996,0.0,41.91455,0.0,0.005785072365683608,166.32000744176867,0.0,60.259163,0.0,0.07824950307160111,0.0,18.190000791681594,350.34000000000003,5.8153486,142.13225,0.007551517780664533,0.12055045554302007,169.47999176654778,0.0,50.972946,0.0,0.06619089140176486,0.0,2.800000125282301,5.37,0.16263741,1.116467,0.00021119272322548275,0.001004607140259847,121.3799897476124,32.769999999999996,39.82927,6.680336,0.05172027603501211,0.006956792976589948,229.81001012710342,312.2,77.05555,134.33545,0.10006044187040176,0.11258905259689628
2025-12-04,full,353,114.14438,133.10881,218.72722499906047,202,353.99000000000945,342.20000000000005,0.14802915789956453,0.10474333930092197,349,42,0.956822886980069,0.6160458452722063,384,1.968966364860535,0.9054290652275084,-2.775495601939349e-05,353.4300000140869,258.35,113.78301,60.499607,0.1477528685865563,0.07856173173454989,0.5599999859225576,52.07,0.36136997,25.792505,0.00027628931300822387,0.019719938572388043,0.0,31.779999999999998,0.0,46.81669,0.0,0.006461668993984036,161.19999247723615,0.0,51.581867,0.0,0.0669816054999578,0.0,10.639999623549869,342.20000000000005,4.063722,133.10881,0.005276944156872386,0.10474333930092197,182.15000789922348,0.0,58.498795,0.0,0.07577061010032425,0.0,45.53999743789211,25.61,14.871637,2.570107,0.019311555311665816,0.003274059607538452,154.98000982788858,22.759999999999998,51.157967,4.043748,0.06643115455543536,0.004469716492515583,153.4699927342288,293.83,48.114777,126.49496,0.06228645422442967,0.09699956707156446
2025-12-05,full,353,68.89788,107.810425,250.1224630724641,158,353.80001859654624,242.95999999999998,0.08946730515898427,0.07966717031370311,752,36,0.5077138397514,0.8071808510638298,384,2.0605266094207764,0.9011065363883972,-0.0001869206221396,353.80001859654624,179.33,68.89788,47.389324,0.08946730515898427,0.061537381038758464,0.0,32.129999999999995,0.0,15.626181,0.0,0.01194716524657161,0.0,31.500000000000004,0.0,44.794933,0.0,0.006182624028373038,161.68000852866663,0.0,33.048187,0.0,0.04291470550890578,0.0,16.920000892534883,242.95999999999998,3.69491,107.810425,0.004798023426396415,0.07966717031370311,175.2000091753447,0.0,32.15478,0.0,0.04175457374689555,0.0,0.0,7.61,0.0,0.5932232,0.0,0.000744992393495111,170.50000892741838,14.469999999999999,34.192707,2.8531194,0.044400916124114106,0.002593001243811698,183.30000966912786,220.88000000000002,34.705173,104.36409,0.04506638408129711,0.07632917531912571
2025-12-06,full,353,75.93191,104.40683,233.32216483137938,151,353.929990633862,226.74999999999997,0.0986013272997799,0.07936973373160539,465,29,0.7438198090663308,0.6279569892473118,384,1.9132004976272583,0.9082560539245604,0.0001506786995762,353.929990633862,163.56999999999996,75.93191,44.295155,0.0986013272997799,0.057519448773148095,0.0,36.72,0.0,21.632504,0.0,0.016539365742740765,0.0,26.46,0.0,38.47917,0.0,0.005310919215716527,117.41999657038687,0.0,29.141794,0.0,0.037842060946160314,0.0,23.939999484128847,226.74999999999997,6.61971,104.40683,0.008596021382939094,0.07936973373160539,212.56999457934631,0.0,40.170395,0.0,0.05216324930505692,0.0,12.710000057818915,5.23,0.8111097,0.64242506,0.0010532661634026564,0.0008342207110992213,14.290000067589121,3.0100000000000002,1.8374417,0.83586013,0.002386009048338005,0.0007636807613013268,326.929990508454,218.51,73.28335,102.928535,0.09516205162364176,0.07777183336016638
2025-12-07,full,353,152.59474,213.16707,295.61911006065486,289,353.9799982620535,571.83,0.1981467490757801,0.19141386895725898,376,45,0.34834254452452984,0.8723404255319149,384,2.027559280395508,0.9028160572052002,-0.0002291200987437,353.49999828948853,444.0400000000001,152.58522,115.06269,0.1981394743348785,0.14941458429494536,0.4799999725649627,87.86999999999999,0.009514928,45.42223,7.274740901578651e-06,0.034728062361382685,0.0,39.92,0.0,52.682144,0.0,0.0072712223009309416,16.229999661310213,0.0,5.26089,0.0,0.006826444517037833,0.0,19.549999661254937,571.83,10.708794,213.16707,0.013905899370238015,0.19141386895725898,318.1999989394883,0.0,136.62506,0.0,0.1774143983773413,0.0,85.97999937564948,11.66,37.9623,1.613128,0.04929592308048058,0.0016718324835494768,116.9699989815904,24.87,47.491726,5.1702185,0.061670359707300296,0.005423956081582926,151.02999990481362,535.3,67.14072,206.38371,0.08718046133442615,0.1843180813019825
2025-12-09,full,353,72.56071,142.50809,224.6996352696548,220,353.91000356355255,359.0799999999999,0.0942236665592391,0.1201845612093705,425,38,,,384,1.966252326965332,0.9066025018692015,-2.3623746575468905e-06,353.91000356355255,275.52,72.56071,72.44811,0.0942236665592391,0.09407744698993316,0.0,51.56,0.0,26.235178,0.0,0.02005838879053517,0.0,32.0,0.0,43.824795,0.0,0.006048725428902175,159.69000155454046,0.0,34.376938,0.0,0.04464014893459008,0.0,19.920000206052528,359.0799999999999,5.0306873,142.50809,0.00653259628721287,0.1201845612093705,174.30000180295957,0.0,33.153084,0.0,0.043050918860649615,0.0,0.0,0.99,0.0,0.3075028,0.0,0.00023510459285378568,237.38000245545925,21.86,55.53808,3.0788283,0.07211894620352989,0.003998010852390981,116.53000110809327,336.22999999999996,17.022627,139.12175,0.022104722832495736,0.115951447667287
2025-12-10,full,353,97.056305,133.40765,329.77184192845607,198,353.8099900214322,343.87000000000006,0.12602437056862412,0.11902671094184802,403,41,0.4404283451630618,0.7990074441687345,384,2.013036012649536,0.9046335220336914,2.516099666082226e-07,351.56999010930565,263.42,97.041245,70.91303,0.12601285504669332,0.09208407965866414,2.2399999121265135,52.540000000000006,0.015061617,29.23529,1.1515521930802413e-05,0.02235215724249579,0.0,27.91,0.0,33.25933,0.0,0.004590474040688096,67.56999807464803,0.0,15.589601,0.0,0.02029934467207521,0.0,18.439999499654924,343.87000000000006,4.6218348,133.40765,0.006001680996408505,0.11902671094184802,267.7999924471292,0.0,76.84487,0.0,0.0997233424233539,0.0,13.529999866491822,8.77,-0.63116676,1.2671384,-0.0008196012464350694,0.0016201045405282496,151.4699956637919,16.33,43.122086,3.3265557,0.0559961557100834,0.0022955002010110444,188.80999449114847,318.77000000000004,54.56539,128.81398,0.07084781819476443,0.1151111070700094
2025-12-11,full,353,20.552364,145.1985,503.6065347647101,218,353.98999999998,332.15,0.02668825902259016,0.11274467565675547,828,42,0.46598820678683667,0.6582125603864735,384,2.0454888343811035,0.9031574130058287,-4.469411031020183e-05,353.58014947169727,245.10999999999999,20.55236,65.94135,0.02668825902259016,0.0856281077161836,0.4098505282827331,50.08,0.0,25.820288,0.0,0.019741179937204537,0.0,36.96,0.0,53.43685,0.0,0.007375388003367345,36.38985003096076,0.0,0.9206205,0.0,0.0011954710165502785,0.0,20.089999735359815,332.15,0.31893265,145.1985,0.00041414982165612204,0.11274467565675547,297.5101502336594,0.0,19.312809,0.0,0.02507863756518713,0.0,74.3599991788333,9.92,4.7763057,1.7424116,0.0062022691259273005,0.0015284165592838567,139.01984888683702,19.209999999999997,7.6944118,3.2795372,0.00999157418096291,0.0031190163697810604,140.61015193430967,303.02000000000004,8.081646,140.17654,0.010494415715699952,0.10809724175020145
