Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
353,0.2308994617141456,0.20376689474142304,0.2058782290668614,0.06379067287858042,0.070529439022583,0.0708364851827831,0.7053098654072736,0.7257036725915095,0.7232852780507909
