Day,Hist_MSE,Hist_R2,Hist_Bias
2025-12-02,4.101401329040527,0.9259041547775269,-0.0005341420579876754
2025-12-01,3.9287314414978027,0.9282628893852234,-0.000216052625690581
2025-12-03,4.15951681137085,0.9254366159439087,-0.0005859573914477107
2025-12-04,4.106502056121826,0.9269267916679382,-0.00020252817528054596
2025-12-05,4.1327362060546875,0.9270790815353394,-0.0007608238610768061
2025-12-06,4.099801540374756,0.928015947341919,-0.00023050117158130573
2025-12-07,4.0827956199646,0.9286977648735046,-0.0007494673951546958
2025-12-08,4.187910556793213,0.9274649024009705,-0.00043166726732192957
2025-12-10,4.227361679077148,0.927716076374054,5.0193158263464324e-05
2025-12-09,4.219644069671631,0.9274007081985474,-0.0003688551854496947
2025-12-11,4.146763801574707,0.9292976260185242,-0.0008957933526011376
2025-12-12,4.390047073364258,0.9252530932426453,-0.00027203189355784376
2025-12-13,4.300296306610107,0.926787793636322,-0.00028911901557501367
2025-12-14,4.4082770347595215,0.9254371523857117,-0.0001415352637306827
2025-12-16,4.523705959320068,0.9246281981468201,-0.0006478074192251474
2025-12-15,4.408682823181152,0.9261007308959961,-0.00010945671180791406
2025-12-17,4.4799699783325195,0.926025927066803,-0.0009807165583752499
2025-12-18,4.458483695983887,0.9269909858703613,-0.0010070076025579559
2025-12-19,4.508406162261963,0.9264522194862366,-0.0006000719931016396
2025-12-20,4.597765922546387,0.9251804351806641,-0.0002406360116377909
2025-12-21,4.547301292419434,0.9265669584274292,-0.0004989511384088619
2025-12-22,4.592247009277344,0.9262242317199707,1.2134221797245386e-05
2025-12-23,4.734172821044922,0.924262523651123,-0.0005347419798071932
2025-12-24,4.475197792053223,0.9287696480751038,-0.0009617794235231198
2025-12-25,4.5937819480896,0.9277073740959167,-0.00046283814169701277
2025-12-26,4.62701416015625,0.927748441696167,-0.00030693577559496926
2025-12-27,4.799299240112305,0.9255185127258301,-0.000790496587062692
2025-12-28,4.606424331665039,0.9287732839584351,-0.0006486517358414192
2025-12-29,4.631526470184326,0.9286984205245972,-0.00010540192515203139
2025-12-30,4.757064342498779,0.9271228313446045,-0.0003463421159697693
2025-12-31,4.6354594230651855,0.9292789697647095,-0.0009487318968739608
