Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
applied data science program mit,A,Exact match,existing,0.5999999888154305,2.1344488168300004,1.0575352216304157,2.1344485,2.885402055063935e-07,0.7375640730504688,-0.06515297
applied data science program mit,A,Phrase match,existing,0.5999999888154315,2.16275040223,1.0575352103888744,2.1627502,1.580893749242307e-07,0.7375640808907357,-0.06515294
applied data science program mit,A,Broad match,existing,0.5999999888154299,2.5258954988300006,1.105324171620528,2.5258954,1.416980426327541e-07,0.7056753172388264,-0.06515288
apply for mit,USA,Exact match,existing searches,0.5999999888152736,1.6743879638299994,0.9400852046594672,1.674388,-8.72030205822938e-08,0.8297120107771506,0.047449112
apply for mit,USA,Phrase match,existing searches,0.8299999927486614,2.104526104229999,1.1263691799822575,2.1045256,5.381289249761778e-07,0.9579452365611212,0.047449112
apply for mit,USA,Broad match,existing searches,0.5999999888152665,1.8684908907299995,0.9878741066342354,1.868491,-1.6285123827231018e-07,0.7895742789709994,0.047448993
apply for mit,A,Exact match,existing searches,0.599999988815431,2.1901602612300004,0.940085040168294,2.19016,2.251429642718961e-07,0.829712155956045,0.047448993
apply for mit,A,Phrase match,existing searches,0.5999999888154308,2.349773184630001,0.9400850695100668,2.349773,2.544847372831782e-07,0.8297121300592123,0.047449052
apply for mit,A,Broad match,existing searches,0.599999988815431,2.397020759630001,0.9878742123124962,2.3970203,4.196641807396873e-07,0.7895741945061742,0.047448993
apps to learn data analysis,USA,Exact match,existing searches,0.9500000248890004,1.0362572344700007,0.7351438077846675,1.0362569,3.2509957836879266e-07,1.6799434604194434,0.113509655
apps to learn data analysis,USA,Phrase match,existing searches,0.950000024888937,1.14879979287,0.7351437965473682,1.1487998,1.583905517854589e-08,1.6799434860986986,0.113509774
apps to learn data analysis,USA,Broad match,existing searches,0.9500000248889516,1.259268619870001,0.7829328261364041,1.2592685,9.76074276959338e-08,1.5774022893510318,0.113509655
automation bootcamp,USA,Exact match,existing searches,0.8299999927486605,1.4027219023490003,0.8794958796286636,1.4027218,1.396918349882981e-07,1.2268391649871389,0.15172556
automation bootcamp,USA,Phrase match,existing searches,0.829999992748641,1.664865149249,0.8794961106671517,1.664865,1.3231174400551993e-07,1.2268388427036314,0.15172553
automation bootcamp,USA,Broad match,existing searches,0.8299999927486618,1.4908544205700005,0.927285053638085,1.4908544,3.805504666942738e-08,1.1636119727584748,0.15172565
azure machine learning,USA,Phrase match,existing searches,0.9500000248890008,1.4117722532100003,0.7673535367793365,1.4117721,1.212901397096289e-07,1.60942769292382,0.29239428
azure machine learning,USA,Broad match,existing searches,1.1099999546466073,1.5852783382900009,0.8349328697688827,1.5852782,1.848705062368339e-07,1.7282825880840282,0.2894466
azure machine learning studio,USA,Phrase match,existing searches,0.9500000248890008,1.3145305703100003,0.7673535535749236,1.3145305,7.848108207753057e-08,1.609427657697185,0.271953
azure machine learning studio,USA,Broad match,existing searches,0.9500000248889896,1.4204573259100008,0.7673535570844698,1.4204572,8.19906282867322e-08,1.6094276503363345,0.2719531
best ai books for beginners,USA,Exact match,existing searches,0.8299999927486618,1.1988860470500002,0.8532386523928652,1.1988859,1.293864260176747e-07,1.2645934259392242,-0.0007470846
best ai books for beginners,USA,Phrase match,existing searches,0.8299999927486574,1.2552313897499998,0.8532387111077269,1.2552314,9.287353330833524e-09,1.2645933389173478,-0.0007470846
best ai books for beginners,USA,Broad match,existing searches,0.8299999927474988,1.5213779418500002,0.853238603356653,1.521378,-9.846372051036668e-08,1.2645934986145104,-0.0007470846
best ai certification courses online,USA,Exact match,existing searches,0.8299999927486605,1.1705032614500002,0.7357887057096437,1.170503,2.411634401067176e-07,1.4664535921798354,0.047449082
best ai certification courses online,USA,Phrase match,existing searches,0.8299999927486619,1.2268486041499995,0.7357887346221827,1.2268487,-1.1735421190373077e-07,1.4664535345561005,0.047449112
best ai certification courses online,USA,Broad match,existing searches,0.8299999927486619,1.3373174311500005,0.7357888461928777,1.3373175,-3.5585839386342855e-08,1.4664533121917078,0.047449112
best coding classes online,USA,Exact match,existing searches,0.8299999927486619,1.2232362374900003,0.8082833931086679,1.2232361,1.5350562532212566e-07,1.3349278233014452,-0.0007469654
best coding classes online,USA,Phrase match,existing searches,0.8299999927486615,1.1774657070899994,0.8082834482456238,1.1774658,-8.938064266494906e-08,1.3349277322395074,-0.0007469654
best coding classes online,USA,Broad match,existing searches,0.8299996649005571,1.4436122591899998,0.856072407524503,1.2573283,0.186283987324155,1.2604068941911792,-0.0007470846
best online course for machine learning with python,USA,Exact match,new,0.8299999927486598,1.29675477595,0.8532386407342407,1.2967547,5.812315673203727e-08,1.264593443218584,0.047449112
best online course for machine learning with python,USA,Phrase match,new,0.8299999927486593,1.5645915404499997,0.8532387748898493,1.5645915,1.3464831027931725e-08,1.2645932443852577,0.047448993
best online course for machine learning with python,USA,Broad match,new,0.8299997670770018,1.49763627605,0.8532386596635864,1.3113524,0.1862839038805053,1.2645930713284004,0.047448993
big data analytics courses,USA,Broad match,existing searches,0.9500000248889988,1.3930048373800006,0.7829327610593524,1.3930049,-5.68765912145608e-08,1.577402420464145,0.3947571
big data and machine learning in quantitative investment,USA,Broad match,existing searches,0.5599999790984267,0.9182848989700008,0.274803405973785,0.91828513,-2.324844668999404e-07,2.649166484120661,-0.027159095
big data course,USA,Broad match,existing searches,0.9500000248890004,1.2888509399800006,0.782932794800252,1.288851,-8.2740336360132e-08,1.5774023524851624,0.16170591
big data mit,USA,Exact match,existing searches,0.9500000248889808,2.662691881069,1.6211476820791315,2.6626918,4.948025456030791e-08,0.7618060007782759,0.673692
big data mit,USA,Phrase match,existing searches,0.950000024888988,3.117528207169,1.6211477588276302,3.117528,2.454380427785452e-07,0.7618059647128049,0.67369246
big data mit,USA,Broad match,existing searches,0.950000024888988,2.94351747849,1.668936761403208,2.9435174,3.19720556696268e-08,0.7399921080996034,0.673692
big data mit,A,Exact match,existing searches,0.9500000248890016,2.987963189469,1.6211480992895568,2.987963,2.282721007773603e-07,0.7618058047237768,0.74488115
big data mit,A,Phrase match,existing searches,0.9500000248890008,3.358558542569,1.6211481164291683,3.3585582,3.646210018359852e-07,0.7618057966695736,0.7448808
big data mit,A,Broad match,existing searches,0.9500000248889984,3.2815463583900004,1.6689369719459086,3.281546,2.425147562767904e-07,0.7399920147468129,0.7448814
bootcamp for data science,USA,Exact match,existing searches,0.9500000248890008,1.0256954417300008,0.7351437792849325,1.0256954,-1.4233805245567055e-09,1.6799435255467634,0.32014894
bootcamp for data science,USA,Phrase match,existing searches,0.9500000248890004,1.2878386886300008,0.7351437719048421,1.2878386,1.1040581870958024e-07,1.6799435424116744,0.32014912
bootcamp for data science,USA,Broad match,existing searches,0.950000024888996,1.1949047917300004,0.7829327458315629,1.1949047,1.0670955363778489e-07,1.577402451144109,0.32014906
coding bootcamp machine learning,USA,Exact match,existing searches,0.8299999927486617,1.1523976364199997,0.8794960119788529,1.1523975,1.2303041230232736e-07,1.22683898036732,0.13128453
coding bootcamp machine learning,USA,Phrase match,existing searches,0.8299999927486592,1.51068593192,0.879495929955431,1.5106859,1.1204668082243074e-08,1.2268390947845955,0.13128448
coding bootcamp machine learning,USA,Broad match,existing searches,0.8299999927486452,1.41775203502,0.9272849336844746,1.417752,7.50840345453696e-09,1.163612123283336,0.1312846
cs109 data science,USA,Exact match,existing searches,0.9500000248890004,1.2050770814900005,0.7351438398842416,1.2050768,2.677921853155852e-07,1.6799433870658131,0.2719529
cs109 data science,USA,Broad match,existing searches,0.9500000248890016,1.6666118561900003,0.7829327642596111,1.6666119,-5.367633248987148e-08,1.5774024140164746,0.271953
curso cs50 harvard,USA,Exact match,existing searches,0.8299999927486548,2.1204299009900014,1.3022862948040883,2.1204293,6.235699574475007e-07,0.8285428441336492,-0.06515288
curso cs50 harvard,USA,Phrase match,existing searches,0.8299999927486565,2.23093443509,1.3022864996995276,2.2309341,2.920235937509119e-07,0.8285427137747399,-0.06515288
curso cs50 harvard,USA,Broad match,existing searches,0.8299999927486611,2.49708098719,1.3500751907575048,2.4970808,1.842725194656225e-07,0.799214738527156,-0.06515288
curso cs50 harvard,A,Exact match,existing searches,0.5999999888154316,2.2594169653900003,1.1160022295959329,2.2594166,3.851898049411773e-07,0.698923321813141,-0.06515288
curso cs50 harvard,A,Phrase match,existing searches,0.5999999888154303,2.2856805264900006,1.1160021960685529,2.2856803,2.324531354069848e-07,0.6989233428104707,-0.06515288
curso cs50 harvard,A,Broad match,existing searches,0.5999999888154303,2.648825623090001,1.163791157300206,2.6488254,2.1606180267141895e-07,0.6702233305067589,-0.06515288
curso de python mit,USA,Exact match,existing searches,0.8299999927486557,1.970476134470001,1.2646127182750853,1.9704758,3.415851743682197e-07,0.8532256357859456,0.48482752
curso de python mit,USA,Phrase match,existing searches,0.8299999927486614,2.220023548469999,1.2646125315289285,2.2200232,3.932575967091624e-07,0.8532257617823371,0.48482752
