Budget,Share USA,Share A,Share B,Share New,Share Existing,Share ExSearches
Actual,0.846740219546355,0.10205299848636662,0.05120678196727846,0.0,1.0,0.0
300,0.0802670085975642,0.08551442564443427,0.8342185657580016,0.858467495255426,0.14153250474457385,0.0
350,0.08083235380773328,0.09422714774982015,0.8249404984424463,0.8491954809648548,0.15080451903514486,0.0
400,0.08467289629495008,0.09801063703676753,0.8173164666682824,0.8490064992984002,0.15099350070159986,0.0
450,0.08194398141427099,0.11031670427309564,0.8077393143126332,0.8460087634901173,0.15399123650988253,0.0
500,0.08513600798007576,0.11193398745365774,0.8029300045662663,0.8392354145672138,0.16076458543278596,0.0
550,0.08350670449372095,0.12176870302136072,0.7947245924849184,0.8379825488605019,0.16201745113949803,0.0
