Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid,Status
mit opencourseware classical mechanics,USA,Phrase match,existing searches,59.82000135766806,45.4193814933,44.96250441071371,45.419384,-2.5093855455793346e-06,39.755054,1.7295745151250588,ENABLED
mit xpro ai,USA,Broad match,existing,59.82000135766805,49.8666800525,49.20454880259537,49.866684,-3.9074609361478e-06,56.267815,1.5804636696692274,ENABLED
mit professional development,USA,Phrase match,existing,13.879999790858236,13.055485826400002,10.986293178466042,13.055484,2.008345802551048e-06,12.4506,1.6424101773911604,ENABLED
mit opencourseware classical mechanics,USA,Broad match,existing searches,13.879999790858232,12.735531694400002,12.297080165850808,12.735532,-1.1254579845854097e-07,14.224514,1.4673401721999166,ENABLED
cursos inteligencia artificial,USA,Broad match,existing searches,13.879999790858232,13.172867620799998,12.354260707710246,13.172868,-1.541633807278231e-07,13.334299,1.460548725255127,ENABLED
mit professional education,USA,Broad match,existing searches,13.879999790858232,15.345118353800002,14.10048444075984,15.3451185,-1.688440409708392e-07,14.85796,1.2796723264313148,ENABLED
mit professional development,USA,Exact match,existing,13.87999979085823,12.2862374454,10.328705277965309,12.286236,1.6360738293030863e-06,11.861576,1.7469759512462588,ENABLED
mit professional education,USA,Phrase match,existing searches,13.87999979085823,13.5794402038,11.381523934497633,13.57944,8.691767661161975e-08,11.139306,1.5853764251572644,ENABLED
mit professional development,USA,Broad match,existing,13.87999979085823,14.8211639764,13.705253684728248,14.821162,1.7525840831922324e-06,16.36301,1.3165753909555218,ENABLED
mit professional education,USA,Exact match,existing searches,13.879999790858136,12.810191822800002,10.723935557159743,12.810192,-2.853542948599852e-07,10.5502825,1.6825912121477322,ENABLED
large language models course,USA,Broad match,existing searches,13.879999790858108,13.4476103037,12.749491557419333,13.447612,-1.5050768542579362e-06,12.740169,1.415272102958111,ENABLED
generative ai course in software testing and documentation,USA,Broad match,new,7.489999892230364,5.782802800800001,4.861584345962202,5.7828026,2.190128913781564e-07,2.3577847,2.0028449918773,ENABLED
ai diploma,USA,Exact match,existing,0.7199999705655528,1.505584335260001,0.5036433696075351,1.5055845,-1.4311829499291664e-07,0.0,1.8584578259505293,ENABLED
ai automation course,USA,Exact match,existing searches,0.719999970565552,0.9212543186999996,0.5036434647895535,0.9212544,-7.773859900250812e-08,0.0,1.8584574747263394,ENABLED
hugging face ai,USA,Broad match,existing searches,0.7199999705655411,0.6077528396000005,0.5525216856350041,0.60775304,-1.988063715874233e-07,0.0,1.6940510862654632,ENABLED
how to build a large language model,USA,Broad match,existing searches,0.7199999705655411,0.8756896691000002,0.5525217489873904,0.87568986,-1.9505863013691285e-07,0.0,1.694050892024822,ENABLED
genai training,USA,Broad match,existing searches,0.7199999705655411,1.5051540935000018,0.55252184509836,1.5051541,-3.934301573416121e-08,0.0,1.6940505973452988,ENABLED
generative ai full course,USA,Broad match,existing searches,0.7199999705655361,1.251614715100001,0.8149554982192027,1.2516149,-2.131455434373209e-07,0.0,1.1485289243161059,ENABLED
mit diploma courses,USA,Phrase match,existing searches,0.719999970565536,2.2875115179000023,0.5002178453383568,2.2875116,-6.924294204679883e-08,0.0,1.871184665757114,ENABLED
