Budget,Share USA,Share A,Share B
Actual,0.846740219546355,0.10205299848636662,0.05120678196727846
300,0.007168334125904858,0.02415336128761901,0.9686783045864764
350,0.01228177576936191,0.030137843779749207,0.9575803804508891
400,0.01940723427744096,0.0386843376830525,0.9419084280395063
450,0.023770795186003932,0.04619691539601707,0.9300322894179791
500,0.02641156041665103,0.04677911130358321,0.9268093282797658
550,0.027336041147880852,0.05367831255363333,0.9189856462984859
