study,embedding_method,n_components,target,feature_set,selected_model,cv_mse,mse_train,mse_test,r2_test,best_params,cv_mse_glm,cv_mse_xgb,cv_mse_rf,global_bias,top_decile_lift,conditional_mae,r2_score
embedding_dims,bert,10,clicks,baseline,xgb,37.543959652376614,33.022823333740234,40.39676284790039,0.7106744647026062,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.3, ""model__max_depth"": 4, ""model__n_estimators"": 20, ""model__subsample"": 1.0}",118.0728166115774,37.543959652376614,51.33315741384954,0.030813261096311884,4.81007681216562,2.5604492426552534,0.7106744647026062
embedding_dims,bert,10,epc,baseline,xgb,44723.58782017442,42989.644476634145,38616.72149650632,-0.00046541533448873906,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.3, ""model__max_depth"": 2, ""model__n_estimators"": 10, ""model__subsample"": 1.0}",44997.07593442635,44723.58782017442,45007.81513815864,4.36714689193745,3.730649899266403,55.84765598547313,-0.00046541533448873906
embedding_dims,bert,20,clicks,baseline,xgb,36.7304996345477,31.93654441833496,39.225189208984375,0.7190654277801514,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.3, ""model__max_depth"": 4, ""model__n_estimators"": 20, ""model__subsample"": 1.0}",114.85554279269141,36.7304996345477,52.06331664295872,0.0129125268455903,4.873663989225,2.560384254248833,0.7190654277801514
embedding_dims,bert,20,epc,baseline,xgb,44486.9148948792,42863.41082432406,38310.51764213573,0.007467582456833766,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 20, ""model__subsample"": 1.0}",44992.72912506657,44486.9148948792,44970.135103990164,3.8418444788770376,4.123921264749529,55.28007242603672,0.007467582456833766
embedding_dims,bert,30,clicks,baseline,xgb,36.19261414604959,31.366151809692383,39.96200180053711,0.7137882709503174,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.3, ""model__max_depth"": 4, ""model__n_estimators"": 20, ""model__subsample"": 1.0}",113.35366185878215,36.19261414604959,44.13017614252672,0.01823334853067582,4.8114297308264575,2.5434081600776897,0.7137882709503174
embedding_dims,bert,30,epc,baseline,xgb,44538.26529043772,42872.45488735894,38332.91258826316,0.006887383822394844,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 20, ""model__subsample"": 1.0}",45017.29912565241,44538.26529043772,45095.88069906102,3.8005062116532375,3.6835030277923235,55.353047583220935,0.006887383822394844
embedding_dims,bert,40,clicks,baseline,xgb,34.76477253293179,28.119482040405273,39.503440856933594,0.7170724868774414,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.3, ""model__max_depth"": 4, ""model__n_estimators"": 20, ""model__subsample"": 1.0}",111.39167316299304,34.76477253293179,48.68687187873578,0.01705155322648011,4.991818885604842,2.5129581925642857,0.7170724868774414
embedding_dims,bert,40,epc,baseline,xgb,45032.12734572004,43289.12164760146,38410.83915402002,0.004868495865203326,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 5, ""model__subsample"": 1.0}",45042.35985018522,45032.12734572004,45128.22579527093,4.290138897879688,5.207807227855339,56.521163043259925,0.004868495865203326
embedding_dims,bert,50,clicks,baseline,xgb,34.114298469152594,27.442867279052734,39.067657470703125,0.72019362449646,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.3, ""model__max_depth"": 4, ""model__n_estimators"": 20, ""model__subsample"": 1.0}",108.99178490787658,34.114298469152594,48.05063511114672,0.032973318891090564,4.924172952562948,2.448764631595606,0.72019362449646
embedding_dims,bert,50,epc,baseline,xgb,44762.755535465534,41813.37394250845,38831.35549394078,-0.0060260606473641065,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.3, ""model__max_depth"": 2, ""model__n_estimators"": 10, ""model__subsample"": 1.0}",45008.03625914992,44762.755535465534,45254.41866756267,4.287627543473436,4.53233289542651,56.48886902987369,-0.0060260606473641065
