Budget,Spend USA,Clicks USA,Purch USA,Spend A,Clicks A,Purch A,Spend B,Clicks B,Purch B
Actual,0.6565582424505209,0.2912247699727706,0.48923770369581293,0.24263815192093435,0.22333923747588394,0.3290358902025716,0.10080360562854483,0.4854359811476493,0.18172640610161517
357,0.3587640091939983,0.05703030914488574,0.12667389733529452,0.3519148770944459,0.27983791301951444,0.5450980301941566,0.28932111371155583,0.6631317666737617,0.32822807247054897
