Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.0,0.0,0.0
357,0.004668164715372185,0.005709296001557166,0.0029007624319370047,0.3092470089889598,0.4722844729099595,0.5069016574125956,0.686084826295668,0.5220062293946702,0.4901975807449066
