Campaign,Device,Clicks
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Computers,18974
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Mobile phones,14748
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Tablets,979
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Computers,20733
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Mobile phones,36053
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Tablets,660
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,Computers,15529
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,Mobile phones,12691
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,Tablets,830
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,Computers,9466
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,Mobile phones,8837
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,Computers,9021
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,Mobile phones,14017
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,Computers,6753
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,Mobile phones,8164
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,Computers,933
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,Mobile phones,548
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,Tablets,22
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,Computers,327
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,Mobile phones,205
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,Tablets,3
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,Computers,11921
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,Mobile phones,8370
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,Tablets,401
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,Computers,15799
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,Mobile phones,20800
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,Tablets,454
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,Computers,22674
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,Mobile phones,15612
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,Tablets,713
