Campaign,Conversion action,Hour of the day,All conv.
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,0,0.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,2,1.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,3,2.50
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,4,6.90
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,5,2.90
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,6,3.03
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,7,5.50
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,8,1.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,9,0.05
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,10,3.55
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,11,3.57
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,12,3.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,13,1.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,14,1.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,15,3.15
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,16,2.52
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,18,0.10
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,19,1.13
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,20,0.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,21,2.80
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,22,1.10
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,23,0.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,1,1.00
