Campaign,Age,Clicks
*QC - SP19 - Other A,Unknown,0
*QC - SP19 - Other B,18 - 24,0
*QC - SP19 - Other B,25 - 34,0
*QC - SP19 - Other B,35 - 44,0
*QC - SP19 - Other B,45 - 54,0
*QC - SP19 - Other B,55 - 64,0
*QC - SP19 - Other B,65+,0
*QC - SP19 - Other B,Unknown,0
*QC - SP19 - US,18 - 24,0
*QC - SP19 - US,25 - 34,0
*QC - SP19 - US,35 - 44,0
*QC - SP19 - US,45 - 54,0
*QC - SP19 - US,55 - 64,0
*QC - SP19 - US,65+,0
*QC - SP19 - US,Unknown,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,18 - 24,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,25 - 34,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,35 - 44,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,45 - 54,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,55 - 64,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,65+,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 10 - 2T2022 - Targeted Adgroups,Unknown,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,18 - 24,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,25 - 34,4877
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,35 - 44,3561
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,45 - 54,2897
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,55 - 64,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,65+,0
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,Unknown,6968
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,18 - 24,0
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,25 - 34,6585
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,35 - 44,4651
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,45 - 54,2794
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,55 - 64,0
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,65+,0
