Campaign,Conversion action,Targeted location,All conv.
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Australia,4.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Belgium,3.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Canada,5.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Denmark,2.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Finland,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,France,3.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Germany,4.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Ireland,2.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Italy,4.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Japan,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Netherlands,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Norway,2.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Spain,3.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Switzerland,3.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,United Kingdom,10.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,Brazil,2.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,China,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,India,6.50
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,Malaysia,0.06
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,Mexico,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,Saudi Arabia,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,South Africa,2.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,Ukraine,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,United States,89.48
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Australia,1.50
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Canada,3.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Denmark,0.80
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Hong Kong,1.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Italy,1.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Japan,1.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Spain,1.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Sweden,0.46
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Switzerland,1.40
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,United Kingdom,3.00
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,India,4.53
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Jordan,1.00
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Kuwait,1.00
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Saudi Arabia,1.00
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Uruguay,0.13
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,United States,35.35
