Campaign,Hour of the day,Clicks
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,0,896
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,1,1033
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,2,1280
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,3,1655
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,4,1783
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,5,1844
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,6,1785
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,7,1742
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,8,1800
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,9,2003
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,10,1924
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,11,1877
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,12,1800
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,13,1629
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,14,1699
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,15,1706
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,16,1781
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,17,1703
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,18,1374
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,19,1052
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,20,774
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,21,680
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,22,476
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,23,405
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,0,3031
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,1,3170
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,2,3127
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,3,2903
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,4,2838
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,5,2854
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,6,2841
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,7,2861
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,8,3070
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,9,3236
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,10,3393
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,11,3602
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,12,3580
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,13,3154
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,14,2654
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,15,1891
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,16,1480
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,17,1159
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,18,994
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,19,999
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,20,1203
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,21,1244
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,22,1097
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,23,1065
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,0,1161
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,1,939
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,2,762
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,3,558
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,4,471
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,5,477
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,6,515
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,7,719
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,8,986
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,9,1377
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,10,1672
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,11,1756
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,12,1820
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,13,1850
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,14,1766
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,15,1764
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,16,1667
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,17,1528
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,18,1416
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,19,1452
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,20,1488
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,21,1309
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,22,938
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,23,659
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,0,418
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,1,515
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,2,691
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,3,789
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,4,938
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,5,911
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,6,971
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,7,1004
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,8,1027
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,9,1111
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,10,958
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,11,974
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,12,929
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,13,895
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,14,913
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,15,1015
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,16,1018
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,17,983
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,18,652
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,19,520
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,20,374
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,21,289
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,22,232
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,23,176
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,0,1220
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,1,1379
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,2,1274
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,3,1122
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,4,1165
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,5,1167
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,6,1166
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,7,1181
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,8,1265
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,9,1409
