Budget,Spend USA,Clicks USA,Purch USA,Spend A,Clicks A,Purch A,Spend B,Clicks B,Purch B
Actual,0.7528175625232393,0.4777951263720262,0.7616130091614122,0.15113823798100492,0.19491900543023388,0.1829365025019517,0.09604419949575607,0.3272858561027636,0.05545048833663518
353,0.9304557555420747,0.9002058400647037,0.9387287234741908,0.0695442444579253,0.0997941528320554,0.06127127652580899,0.0,0.0,0.0
