Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
353,0.20202687709929631,0.16685853096148426,0.1689137276684859,0.06929357377416942,0.07691639524945229,0.07418015087453254,0.7286795491265341,0.7562250838819125,0.756906121222595
