feature,weight
is_weekend,0.09658969381344475
month,-0.5638654276233247
is_public_holiday,-0.005474138969391155
days_to_next_course_start,-0.4089366258916173
last_month_searches,0.8383873096815824
three_month_avg,0.07098268973414713
six_month_avg,0.7810492081811332
mom_change,-0.16287842557192467
search_trend,-0.07041873858062556
Competition (indexed value),0.17789878566311698
Top of page bid (low range),-0.7782709149462165
Top of page bid (high range),-0.5122904892390759
Avg. CPC,-0.22092786676951107
bert_0,-0.6160719823182683
bert_1,-0.5404797044407054
bert_2,0.3409034177202963
bert_3,-0.3163652011578365
bert_4,-0.8710427251378565
bert_5,-0.7623915261329817
bert_6,0.47654444784768213
bert_7,-0.32674109134120216
bert_8,-0.8097362418630601
bert_9,-0.3724260430403416
bert_10,0.2677185001986455
bert_11,-0.25070858009955166
bert_12,0.2931669853629285
bert_13,-0.11370788961384767
bert_14,0.36024802091610686
bert_15,0.6497957873685755
bert_16,0.609966496605816
bert_17,0.26764114995956145
bert_18,0.7232144895623119
bert_19,0.061423848016304225
bert_20,0.15543839463604164
bert_21,-0.22689277072211841
bert_22,0.6301152428468938
bert_23,0.14642134588312583
bert_24,-0.5614916402412442
bert_25,0.6403664252600891
bert_26,0.2577619864313517
bert_27,0.6498281113519496
bert_28,-0.07425307523297263
bert_29,0.6264173441786229
bert_30,-0.18339857152141265
bert_31,0.2313448087941504
bert_32,0.018536463831158704
bert_33,-0.2835664067140101
bert_34,-0.5490833983094329
bert_35,0.9961805875791679
bert_36,-0.3026424067221315
bert_37,0.1550405666192438
bert_38,-0.9094642891892555
bert_39,-0.6434631565116175
bert_40,0.3793163761519544
bert_41,-0.8058756064815124
bert_42,-1.2886806602332186
bert_43,-0.448457396974847
bert_44,-0.014623007591731211
bert_45,0.25037951370003414
bert_46,0.4160339996136943
bert_47,-0.11459811533577076
bert_48,-0.2690965580876483
bert_49,-0.9741829395424177
