feature,weight
is_weekend,-0.07798687158400663
month,-0.1849329120709124
is_public_holiday,-0.026727507475198305
days_to_next_course_start,-0.2861880703504525
last_month_searches,0.019966641486134334
three_month_avg,0.044430324656337644
six_month_avg,0.02395541547132993
mom_change,-0.061274996842052384
search_trend,0.002943866877418235
Competition (indexed value),-0.0009447739832360593
Top of page bid (low range),0.0040545582530068045
Top of page bid (high range),-0.018995271270794898
Avg. CPC,0.4033795456029261
bert_0,0.018768147090103587
bert_1,-0.031236302838703652
bert_2,0.0717357357200305
bert_3,0.1145258027304705
bert_4,0.09178353671282173
bert_5,-0.10202130099390587
bert_6,-0.05564081503816587
bert_7,-0.018190846091096485
bert_8,0.0015252618026935054
bert_9,-0.0013709515197174364
bert_10,-0.06522611596732276
bert_11,0.06499189193338972
bert_12,0.008966086178964336
bert_13,0.0855919639596194
bert_14,-0.009951617835461314
bert_15,0.04751107605067408
bert_16,-0.08331127558342274
bert_17,0.002870339955227476
bert_18,0.08420764549617948
bert_19,-0.05947416996716794
bert_20,-0.0048343781115574224
bert_21,0.035324004258184126
bert_22,0.09562696300936414
bert_23,-0.025423947816756658
bert_24,-0.044267920194080455
bert_25,-0.04723020076454944
bert_26,0.06113684893157236
bert_27,-0.060913298360658695
bert_28,0.027392857536961385
bert_29,0.011154960032431036
bert_30,-0.08544475839496266
bert_31,-0.04942641628158939
bert_32,-0.10536411056334714
bert_33,-0.013907624499298133
bert_34,-0.004529678968740382
bert_35,-0.03499853717974332
bert_36,0.016756258436729007
bert_37,0.0386880623550878
bert_38,-0.11953930833403859
bert_39,-0.03258624754570195
bert_40,-0.016197253040131483
bert_41,0.04024473399811894
bert_42,0.014158322505957062
bert_43,0.07768062019018059
bert_44,-0.05557313080469182
bert_45,0.07931687356342895
bert_46,0.07770696475152684
bert_47,-0.00443393662609356
bert_48,-0.021048632956056697
bert_49,-0.053513239455003116
