feature,weight
is_weekend,-0.052198893044533554
month,-0.13253018001250613
is_public_holiday,-0.018333236607785474
days_to_next_course_start,-0.16769993099266486
last_month_searches,0.02866565934379432
three_month_avg,0.03894975386524597
six_month_avg,0.030803388115685382
mom_change,-0.027185618002722654
search_trend,-0.0006240546109230671
Competition (indexed value),-0.01294675448726195
Top of page bid (low range),0.014073732901355067
Top of page bid (high range),0.00887486063923625
Avg. CPC,0.27691006677170477
tfidf_0,0.028871930350748944
tfidf_1,-0.03357389883713044
tfidf_2,-0.015532534571785323
tfidf_3,-0.024597461267156458
tfidf_4,0.08418840075195023
tfidf_5,0.03633949735222643
tfidf_6,-0.017998066377034702
tfidf_7,-0.007209510832518041
tfidf_8,0.013983623975696755
tfidf_9,-0.08534976676498111
tfidf_10,-0.024595381127962623
tfidf_11,0.06619057514440456
tfidf_12,0.044864096120940354
tfidf_13,0.03267719096526859
tfidf_14,-0.03064272262083669
tfidf_15,0.04601045430667385
tfidf_16,-0.044810648628763064
tfidf_17,-0.029768562820205017
tfidf_18,-0.03114619253123661
tfidf_19,0.045836149771025694
tfidf_20,0.018113251304280473
tfidf_21,0.07610371678333253
tfidf_22,-0.060680628425132624
tfidf_23,0.018689732128875605
tfidf_24,-0.04084930672390176
tfidf_25,-0.047684960497354746
tfidf_26,-0.06261567231322236
tfidf_27,-0.00921689732922974
tfidf_28,-0.015099898026853926
tfidf_29,-0.006916321680037092
tfidf_30,0.023504949154360254
tfidf_31,0.049536914919035495
tfidf_32,0.05816327768532173
tfidf_33,-0.008686060159522554
tfidf_34,-0.018465223331397763
tfidf_35,0.02176233457039335
tfidf_36,0.04618032312834522
tfidf_37,0.024005243408234546
tfidf_38,0.004114092184445447
tfidf_39,-0.019240015282100363
tfidf_40,0.009337521811555222
tfidf_41,-0.011432318909077506
tfidf_42,0.0009267765398131159
tfidf_43,-0.023459720013868365
tfidf_44,0.07818594065864598
tfidf_45,0.0022520422394998528
tfidf_46,-0.06111722581415925
tfidf_47,0.07184902718834052
tfidf_48,0.0152427078429472
tfidf_49,0.0576883604089774
