feature,weight
is_weekend,-0.012646206933177574
month,-0.06099151650958969
is_public_holiday,-0.012564307415086098
days_to_next_course_start,-0.07919797146902897
last_month_searches,0.4960094276119485
three_month_avg,0.3854882163933421
six_month_avg,-0.8249270638238535
mom_change,-0.0690104946412317
search_trend,-0.11290472189138001
Competition (indexed value),0.2034252231734645
Top of page bid (low range),-0.5869067000888759
Top of page bid (high range),0.2713556854457016
Avg. CPC,0.020888561403329026
tfidf_0,0.19923058074576808
tfidf_1,-0.0063321019457703576
tfidf_2,0.018349308278572958
tfidf_3,0.002745963473940435
tfidf_4,0.09670957753090041
tfidf_5,0.004888365946108309
tfidf_6,-0.12355899741938435
tfidf_7,0.1446356752705689
tfidf_8,-0.05044143931610697
tfidf_9,0.00045063737581217895
tfidf_10,-0.022855888055426685
tfidf_11,-0.10530907031880339
tfidf_12,0.040719766244630036
tfidf_13,0.08632831370834076
tfidf_14,0.07960179541201097
tfidf_15,0.06971921594435744
tfidf_16,-0.0711094020838674
tfidf_17,0.1092154875613668
tfidf_18,0.04183193183947108
tfidf_19,-0.017358371800707935
tfidf_20,0.1156002395893708
tfidf_21,-0.1355711372856145
tfidf_22,0.01711067084185128
tfidf_23,-0.25301517618252045
tfidf_24,0.07536513633711471
tfidf_25,-0.0002963388121847106
tfidf_26,-0.03807478232558355
tfidf_27,0.2198746986836166
tfidf_28,-0.0260072175104917
tfidf_29,0.07049696759028877
tfidf_30,0.07191106052316086
tfidf_31,0.041675399194686887
tfidf_32,0.05660677101434383
tfidf_33,0.06252151860451749
tfidf_34,-0.045438395104797524
tfidf_35,0.09736208438650351
tfidf_36,-0.14392110423781593
tfidf_37,-0.18676991229547532
tfidf_38,0.011252002311112456
tfidf_39,-0.0887852296349855
tfidf_40,-0.037621769336165255
tfidf_41,0.1428535092159665
tfidf_42,0.1064364283997931
tfidf_43,-0.062052899923253184
tfidf_44,-0.030801268425743232
tfidf_45,0.09163495196284718
tfidf_46,0.02659203848901878
tfidf_47,0.07507142128255626
tfidf_48,0.016046166412954307
tfidf_49,-0.07649787934561919
