bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49,Keyword,is_new_keyword
-0.7676718,-0.24233948,0.12996484,0.07387633,-0.018802851,0.006404556,0.23323949,0.0031747755,0.032276943,-0.13852721,0.043312684,0.034977324,0.22268426,0.13266388,0.14303632,-0.10892399,-0.0043491037,-0.07118348,0.027554438,-0.13554476,-0.025192285,0.08192964,-0.040260177,0.036097545,-0.051999003,-0.0682418,0.029082198,0.14068934,0.0051951064,-0.0023126605,-0.04364058,0.16713357,-0.0007300298,-0.023443121,-0.040167883,0.002592183,0.065235555,-0.10210747,-0.018735426,0.06713326,-0.023762,0.084942095,0.039187767,0.060672447,-0.08488317,-0.0033917853,0.0014792387,0.043208905,-0.020087365,0.12409592,ai and career empowerment university of maryland,False
-0.9188278,0.30265558,-0.028817384,0.008332106,-0.047214836,0.12725747,0.002277621,0.076980755,-0.0060435785,-0.019934097,-0.08349102,-0.030005883,0.052493393,-0.05574105,-0.014490958,-0.034398057,0.007907303,0.04725017,-0.010375391,0.021310847,-0.018944714,0.0523286,-0.012304598,0.02397119,-0.0036797477,-0.046341006,0.018373499,0.009010642,-0.0044781966,0.017453695,0.0035091795,0.026083065,0.0345847,0.023607766,-0.010679513,-0.029883362,-0.001785796,0.031867217,0.036796022,-0.021802174,-0.0060425736,-0.018765535,0.025746576,0.017656196,0.020717045,-0.015806284,0.0013093179,0.049054142,-0.027480995,0.047415946,ai and generative ai course,True
-0.846812,-0.17074786,-0.25464678,0.16906096,0.02247994,0.10831109,-0.011411734,0.060478874,-0.12430592,0.004558911,-0.059663247,0.07069521,-0.04237377,-0.12150954,0.15374234,-0.054996897,0.04721347,-0.02110697,0.0763152,-0.07056923,0.004305944,-0.028763706,-0.034194022,-0.0321433,0.0043309857,0.14029454,-0.041591536,-0.025545098,-0.034479674,0.10795762,0.008261301,0.02250927,-0.010082203,0.016020568,0.07187551,0.06489423,0.03560453,-0.028288573,-0.022091422,-0.08444321,-0.03181378,-0.034978915,0.011042733,0.035785418,0.005129749,-0.020433193,-0.014707432,0.0049658264,-0.03560624,0.0030240472,ai and machine learning courses,False
-0.8158735,0.11736963,-0.018392855,0.13783704,0.047787488,0.072461806,-0.0758922,-0.15312317,-0.082458645,0.07886401,0.10851268,-0.075223096,0.24123697,0.011760144,0.024740353,0.10450007,-0.13868922,-0.009519542,-0.11790963,0.09215431,0.086863264,-0.0047368356,0.05268049,-0.15171762,0.02514755,0.043842617,0.13700935,0.013376398,-0.046090193,-0.04057807,0.13764401,-0.034271944,-0.0811694,0.023761347,0.009411907,0.12325842,0.05771895,0.023270277,-0.040264387,0.06231572,0.06943336,-0.01595838,0.019838765,-0.02245893,-0.03149436,0.010909992,0.027132783,-0.04778588,-0.042243127,-0.00013107396,ai animation generator course,True
-0.7610376,0.120717585,-0.046210196,0.10127038,0.05743467,0.08201489,-0.055746056,-0.17957081,-0.06964191,0.10636,0.15172727,-0.038781933,0.23029907,0.020891346,0.06282303,0.06787033,-0.21366604,-0.053975996,-0.14459382,0.12268299,0.23678166,-0.0734959,0.019651975,-0.10612078,0.043078613,0.117566444,0.17576684,0.029870981,-0.06410298,-0.076914065,0.047295664,-0.020056166,-0.08644642,0.015760355,0.0028981108,0.049450055,0.009493505,0.06967946,-0.02836591,0.037268937,0.0124664195,-0.033653434,0.04368659,-0.0038207476,-0.02909535,0.06734961,0.008785743,-0.020601548,-0.039761044,-0.0025175367,ai animation video generator course,True
-0.8402131,0.14970145,-0.05190694,0.115434565,0.019649202,0.12928507,0.021443516,-0.08202519,-0.13395418,0.03758538,0.018807102,-0.09352258,0.19118562,-0.10716438,0.05095718,0.07317992,-0.12085328,-0.053436078,-0.18664154,-0.028593732,0.07865406,0.07935841,0.033071198,-0.09875643,-0.061012138,0.014559261,0.10899916,-0.021421062,0.019447984,-0.07516025,0.10178522,0.073666185,-0.018459814,-0.0055955886,0.023326617,0.08284618,0.010793986,-0.07471772,-0.014306403,0.03305965,0.0627592,-0.04735842,0.0003567413,-0.050334428,-0.038470406,0.022332568,0.02490046,0.061182782,-0.0498337,-0.0053484943,ai art generation course,True
-0.8441324,0.12235594,-0.042790867,0.085563,0.021068353,0.11235644,-0.028584007,-0.13848235,-0.08559869,0.06629105,0.005474508,-0.091997065,0.19205904,-0.10848214,0.029298926,0.07898303,-0.16203788,-0.0398499,-0.13288963,0.0037474069,0.03258182,0.055553056,0.08480197,-0.101568595,-0.05780731,0.01134234,0.111040115,-0.019782016,0.0075157457,-0.046059053,0.11565869,0.028931228,-0.022840282,0.014530028,0.054812852,0.121331185,0.02327355,-0.050904933,-0.05673644,0.07072983,0.02818732,-0.02067162,-0.048788533,-0.07258336,-0.071589395,-0.004062424,0.07090426,0.027030326,-0.05768354,0.040260527,ai art generator course,True
-0.6647529,0.12536618,0.3661209,0.07102441,0.011985165,-0.09429257,0.027537141,0.059563838,0.13610424,0.16025227,-0.00028999048,-0.20909226,0.22869854,-0.042135168,-0.05751632,0.021500729,-0.06459429,-0.16716665,-0.0017745977,-0.05332366,0.056391098,0.07983542,0.15859032,-0.08160494,-0.05100852,-0.07345968,-0.012465125,-0.023711855,-0.1867091,-0.021964507,-0.043933265,-0.009783226,-0.055269502,-0.042413946,0.06478207,0.19172409,0.041553397,0.17418441,0.07821436,0.0644089,0.038451653,0.025990317,0.0131909605,-0.012656875,-0.059471056,-0.046391226,0.07716977,-0.1059962,-0.058700442,0.069402486,ai article generator,False
-0.8965258,-0.17668681,-0.09291135,0.16925101,-0.02921161,0.078620136,-0.03753785,-0.09845446,-0.05493245,0.03741021,-0.053594556,-0.104788154,0.048594177,0.019957004,0.04369826,0.03618942,-0.0026212914,0.07603853,-0.017425304,0.107722305,0.0005628397,0.006309112,-0.06829987,-0.019538144,-0.0027507222,-0.0061248373,0.012626175,-0.04045042,-0.08037872,-0.0095805265,0.07421642,-0.035319097,-0.07837566,-0.039259333,0.006179533,-0.043086465,0.11655089,0.085719414,0.005540777,-0.082746714,-0.037303668,0.04931987,0.000845422,0.043739907,-0.0024357147,0.044927057,0.0067459336,0.0028779372,-0.041373555,0.022605762,ai automation course,False
-0.6831908,-0.11913154,0.04152221,0.15584342,0.02506677,-0.11398989,-0.12539649,-0.21229123,-0.024014434,0.3396312,0.026244741,0.18534836,0.006190642,0.11025583,0.23082075,-0.05824634,-0.14098454,-0.051234495,0.21072614,0.0014804726,-0.06781693,0.23816092,-0.029075783,-0.025914496,-0.012153965,-0.16290414,0.06510062,0.024066178,0.046679504,0.057073124,-0.008174185,0.04111037,-0.0091125285,0.0021615457,-0.058691446,-0.11715065,0.0130980555,-0.04011937,-0.030044112,-0.006882003,-0.024392186,-0.054165017,-0.0036557894,-0.044843722,0.00936507,0.00012513164,-0.001539268,-0.044585176,-0.052157257,0.0041366983,ai boot camp,False
-0.62853974,-0.12691343,0.041704614,0.18428706,0.037274,-0.10962,-0.10844397,-0.24904373,-0.068769015,0.30983415,0.029671106,0.23326503,-0.05399263,0.128281,0.2831776,-0.06524721,-0.20397846,-0.06615731,0.21455295,-0.02535486,-0.07229323,0.22588909,0.0011328955,0.010257569,0.011492181,-0.117822506,0.06908854,0.022123048,0.00259823,0.07186294,-0.013538397,-0.0040856856,-0.022862028,0.012109972,0.01413101,-0.12641412,0.049268693,-0.031106995,0.002563552,-0.03256716,0.006665735,-0.013636647,-0.033740703,-0.0323546,0.06360187,-0.010031447,-0.00075549126,-0.058287654,-0.023795713,-0.02449171,ai bootcamp,False
-0.63447946,-0.09371391,-0.031210173,0.22952369,0.07120823,-0.027260708,-0.14749326,-0.2168342,-0.09354991,0.24371113,0.030554002,0.18968977,-0.12756534,0.13881634,0.30862686,-0.00019573346,-0.15813191,-0.12752165,0.21109205,0.07006438,-0.048703674,0.19561565,-0.009035396,-0.0961029,0.054250598,-0.15061632,0.08271826,0.007039644,-0.056715865,0.07434187,-0.03260628,0.03548956,-0.049783085,0.04451228,-0.035993982,-0.116567,0.024825238,-0.012654632,0.0012081492,-0.05982065,-0.0114616295,-0.023003,-0.07769619,-0.032238394,0.072364,0.03703318,-0.0023303095,-0.0039578057,-0.046527863,-0.0070472243,ai bootcamp for beginners,False
-0.68030685,-0.112223424,-0.014229064,0.13817117,-0.047688194,-0.18117408,-0.12365133,-0.2023957,0.066140704,0.27692795,-0.049424473,0.13251534,-0.09728676,0.19671501,0.30740803,-0.10417173,-0.16705835,-0.13552351,0.20041187,-0.079434626,0.016452009,0.12955192,0.027526937,0.025750434,0.026046632,-0.13653336,0.031018477,-0.014995614,0.00216142,0.030858565,-0.012164296,0.024473036,-0.048235327,0.014580793,0.011580914,-0.0977479,0.028785752,-0.032796122,-0.007295401,-0.022782242,-0.01697937,-0.014596664,-0.019947998,-0.032229654,0.0707791,-0.029976686,0.007268171,-0.045440935,0.0049696425,-0.035130654,ai bootcamp stanford,False
-0.709935,-0.032739203,0.15578508,0.18526974,0.055649724,-0.09606726,0.0123563,-0.15033825,-0.09045504,0.41331106,0.093528226,0.14835684,0.047498785,0.028636182,0.027031915,-0.0354817,-0.031625472,0.08125115,0.036907695,0.04519065,-0.06721984,0.24752983,0.042745285,-0.05826483,0.038783405,-0.10061983,0.09831121,0.011971394,0.0669161,0.05647963,-0.0028169653,0.059947,-0.013736376,-0.068833485,0.02062643,-0.11582139,0.073017575,0.023296306,0.02036865,0.14722987,-0.027872795,-0.041311327,0.047481123,-0.08835508,-0.014615274,-0.005704422,0.030255077,-0.050605915,-0.09118563,-0.019412085,ai camp,False
