Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
353,0.47647389186042927,0.3965714846781619,0.4022214704393071,0.40589157133054043,0.057182187801592635,0.06862287455437441,0.06792600790644025,0.0674733412299785,0.46634392033797833,0.5348056439690811,0.5298525276974303,0.5266350935776123
