Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches
2025-12-01,353,141.96588,139.51367,277.0658023675647,190,353.98088903569123,339.01,4.192334113840754,3.744353148067911,0.11186929503111129,0.06361245430071748,276,44,,,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9764676094055176,0.9046445488929749,1.4425234260976106e-05,2.4949339645244395,50.56000000000001,1.9562747,26.712723,0.04445045077102428,0.6069661585744166,0.0009624876707937403,0.013142666364088538,0.0,31.95,0.0,49.087494,0.0,1.2498309968228423,0.0,0.0,351.4859550711668,256.5,140.00961,63.713455,4.147883663069731,1.8875559926706522,0.11090680736031755,0.05046978793662894,249.32126116319085,0.0,93.81147,0.0,2.768883880804429,0.0,0.07386171012141263,0.0,12.577202947251394,339.01,5.505962,139.51367,0.16311800953021832,3.7443531480679106,0.004361476629886433,0.06361245430071748,92.08242492524897,0.0,42.648464,0.0,1.2603322093794698,0.0,0.033646107902091826,0.0
2025-12-02,353,92.71536,154.50398,223.29538104416432,213,353.9900000298559,344.9,2.746758092459986,4.141509486195748,0.07344327743281061,0.06960145445036116,357,43,0.21152321477138109,0.5602240896358543,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0166335105896,0.9028035402297974,-2.1183627284330355e-05,0.0,50.2,0.0,29.717247,0.0,0.6752347911976535,0.0,0.014620890230485083,0.0,35.45,0.0,55.37884,0.0,1.4100169274016072,0.0,0.0,353.9900000298559,259.25,92.71536,69.40789,2.746758092459986,2.0562577675964873,0.07344327743281061,0.0549805642198761,230.65677562924012,0.0,58.216194,0.0,1.7246957518960127,0.0,0.046115203570856134,0.0,14.264505092383228,344.9,4.671355,154.50398,0.1383921840601722,4.141509486195749,0.0037003533716218158,0.06960145445036119,109.06871930823255,0.0,29.827818,0.0,0.8836701141238886,0.0,0.02362771935717146,0.0
2025-12-03,353,103.671585,150.82274,220.58025433994806,214,353.9717834115879,350.34000000000003,2.8599990194904743,4.058508148272977,0.07293396393002526,0.07286283570303413,508,44,0.4242702792321747,0.8681102362204725,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.033569812774658,0.9021458625793456,4.655880912965421e-05,92.00670076872065,53.22,30.613157,30.922356,0.6955917831972636,0.7026173849754895,0.015061681121785644,0.01521380680272153,0.0,31.589999999999996,0.0,47.123817,0.0,1.1998331608946333,0.0,0.0,261.9650826428673,265.53,73.058426,72.77657,2.1644072362932114,2.1560576024028544,0.05787228280823964,0.05764902890031262,147.51297106561597,0.0,41.96867,0.0,1.160668360700548,0.0,0.029650318591310613,0.0,21.11660334950147,350.34000000000003,6.6276526,150.82274,0.1817385927412661,4.058508148272977,0.004614831717605884,0.07286283570303416,185.34220899647045,0.0,55.075256,0.0,1.5175921931883987,0.0,0.038668817020592376,0.0
2025-12-04,353,98.860886,146.51205,271.5226064050297,202,353.8434577217603,342.20000000000005,2.912057491948395,3.918577142952922,0.07758247484040841,0.06469490470192137,393,42,0.6533765015457919,0.8549618320610687,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.079571485519409,0.9001165628433228,5.497867484790751e-06,4.349857046169861,52.07,2.4285593,28.525572,0.05518169463356186,0.6481576922839811,0.0011948517915352634,0.01403458855270186,0.0,31.779999999999998,0.0,54.032516,0.0,1.3757377559862316,0.0,0.0,349.4936006755904,258.35,96.43233,63.953976,2.8568757973148324,1.8946816946827088,0.07638762304887314,0.05066031614921948,194.477210666476,0.0,52.587143,0.0,1.557931247538766,0.0,0.0416562263521942,0.0,20.75421387870192,342.20000000000005,7.2202454,146.51205,0.20846721695531883,3.918577142952922,0.005483024221727492,0.06469490470192135,138.61203317658237,0.0,39.0535,0.0,1.1456591290494447,0.0,0.030443226969180514,0.0
2025-12-05,353,59.621975,114.29739,358.14693584274653,158,353.9899999998902,242.95999999999998,1.7643030860039877,3.078457306288484,0.04714008918735268,0.048517875586861374,514,36,0.36250513234738546,0.9610894941634242,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.063711166381836,0.9009536504745485,-0.0001659238199263,14.012188120329041,32.129999999999995,0.29548824,16.292206,0.006714080118836363,0.37019130013796486,0.0001453802880063,0.008015769380007254,0.0,31.500000000000004,0.0,46.875015,0.0,1.1934985301602667,0.0,0.0,339.97781187956116,179.33,59.326485,51.13017,1.7575890058851513,1.5147674759902525,0.04699470889934637,0.04050210620685412,102.46646967859192,0.0,12.10692,0.0,0.3583777225469709,0.0,0.00957736998912329,0.0,12.704281241533671,242.95999999999998,2.6585608,114.29739,0.07876173981838981,3.0784573062884837,0.0021059445767909815,0.04851787558686138,238.81924907976466,0.0,44.85649,0.0,1.327163651891902,0.0,0.0354567753768792,0.0
2025-12-06,353,127.57386,112.400635,283.27079135023837,151,353.9834347775526,226.74999999999997,3.724237847116952,2.9845873444182978,0.09865497625546799,0.04725338007508681,380,29,0.2555215445003997,0.7263157894736842,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9284075498580933,0.9075268507003784,-0.000411932438143,23.389127940093857,36.72,7.9997053,23.601519,0.18176920581427203,0.5362733728476192,0.003935857038377909,0.011611952198182719,0.0,26.46,0.0,43.805103,0.0,1.1153345094643297,0.0,0.0,330.5943068374587,163.56999999999996,119.57415,44.994015,3.5424686413026802,1.332979462106349,0.0947191192170901,0.035641427876904094,144.4306559594597,0.0,50.60218,0.0,1.4778968097748353,0.0,0.03916096060597122,0.0,23.543866676378137,226.74999999999997,8.350699,112.400635,0.2436529979210748,2.9845873444182978,0.00645220052422973,0.04725338007508681,186.0089121417147,0.0,68.62097,0.0,2.0026878954459946,0.0,0.053041811289412065,0.0
2025-12-07,353,114.94359,227.05382,293.1787740482474,289,353.96413030436076,571.83,3.370095400091123,6.134341256884706,0.08952122917663066,0.11802352703050745,399,45,0.020677207455858132,0.5789473684210527,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.9322068691253664,0.9073864817619324,-0.0002218196299043,12.874540041363527,87.86999999999999,5.097151,50.17325,0.11581739787480516,1.1400359308603982,0.0025077994842423153,0.02468525085082537,0.0,39.92,0.0,59.049625,0.0,1.50347982919986,0.0,0.0,341.0895902629972,444.0400000000001,109.846436,117.830956,3.2542780022163176,3.490825496824448,0.08701342969238833,0.09333827617968207,223.90293658160084,0.0,66.17387,0.0,1.9454710206404247,0.0,0.05176767148484618,0.0,17.339079157684342,571.83,5.6626596,227.05382,0.16776030516557103,6.134341256884706,0.004485603107281094,0.11802352703050745,112.72211456507557,0.0,43.107048,0.0,1.2568642350954846,0.0,0.03326795885672977,0.0
2025-12-08,353,61.931854,130.76952,313.35051404378976,191,353.9899999999993,317.5200000000001,1.8322605308051696,3.501871446747898,0.04894920766709884,0.0597842434050044,451,39,0.14196846972859944,0.9002217294900222,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0381054878234863,0.9030444622039796,-0.0001198277894011,2.3898874101518555,50.08,0.3641984,26.659935,0.008275311264600311,0.6057667152688988,0.00017918569836754928,0.013116694762600764,0.0,32.23,0.0,45.196114,0.0,1.150751427957632,0.0,0.0,351.6001125898474,235.20999999999998,61.567657,58.91348,1.8239852195405692,1.7453533035213669,0.0487700219687313,0.04666754864240364,216.65231285103837,0.0,28.166958,0.0,0.834465961873868,0.0,0.022312090502026056,0.0,20.264155425239096,317.5200000000001,3.9266088,130.76952,0.11632855169180424,3.5018714467478973,0.003110412277918023,0.059784243405004406,117.07353172372186,0.0,29.838287,0.0,0.8814660031128596,0.0,0.023526704509434372,0.0
2025-12-09,353,91.95154,156.44582,315.26356849399554,220,353.88480718031263,359.0799999999999,2.645917040911194,4.213438613837196,0.06943797463201858,0.07383969484132628,378,38,0.04509070387402904,0.6137566137566137,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.0737435817718506,0.901496648788452,-0.0002864410924253,29.48177227485293,51.56,11.328994,29.678448,0.25741725778858693,0.6743533676556814,0.005573867814014512,0.014601804725677368,0.0,32.0,0.0,51.984985,0.0,1.3236046774627401,0.0,0.0,324.4030349054597,275.52,80.62254,74.78237,2.388499783122607,2.2154805687187755,0.06386410681800406,0.05923789011564891,146.45073924484797,0.0,31.519756,0.0,0.9128016402536034,0.0,0.024055285719197503,0.0,15.731987544346573,359.0799999999999,3.5398598,156.44582,0.10487084563842601,4.213438613837197,0.0028040542164885166,0.07383969484132628,191.70208039111805,0.0,56.891914,0.0,1.6282444930952702,0.0,0.04257863306814895,0.0
2025-12-10,353,283.4505,142.6751,469.2833884511739,198,353.92278827730286,343.87000000000006,7.713961202236085,3.8482426752383088,0.19481846650991758,0.07396352015738752,276,41,0.3784499838516458,0.927536231884058,2.6854658126831055,2.0746939182281494,0.9179665446281433,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",2.053473234176636,0.9027178287506104,-0.0002597338606096,110.31285776159035,52.540000000000006,98.99877,32.53756,2.2494486994257077,0.7393181138447211,0.04870741694911204,0.01600848938598131,0.0,27.91,0.0,36.974663,0.0,0.9414225743565747,0.0,0.0,243.60993051571253,263.42,184.45172,73.16289,5.4645125028103765,2.167501987037012,0.14611104956080556,0.05795503077140622,55.23379681674559,0.0,33.679382,0.0,0.9498308742794149,0.0,0.02459431061561893,0.0,27.361898874678847,343.87000000000006,22.949163,142.6751,0.6288938708740369,3.8482426752383083,0.015962055228491697,0.07396352015738754,271.3270925858785,0.0,226.82195,0.0,6.135236593682788,0.0,0.1542621037672878,0.0
