Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,83.08,62,57.198116
generative ai course,USA,Broad match,6.72,2,1.053218
online ai and ml courses,USA,Phrase match,36.5,25,23.1886
mit xpro ai,USA,Broad match,50.14,46,44.23897
mit artificial intelligence course,USA,Phrase match,13.86,14,12.142014
generative ai certificate course,USA,Broad match,4.15,5,3.6848083
generative ai fundamentals course,USA,Broad match,13.44,7,5.6755767
generative ai online course,USA,Broad match,3.18,3,1.3743757
generative ai online program,USA,Broad match,3.54,3,1.033452
generative ai certificate program,USA,Broad match,8.459999999999999,3,1.1682293
generative ai foundations course,USA,Broad match,12.6,9,7.7711296
mit generative ai certificate,USA,Broad match,7.77,7,3.7680953
online course generative ai,USA,Broad match,3.24,2,1.1960495
mit xpro ai course,USA,Phrase match,0.1,1,0.0
prompt engineering course,USA,Phrase match,0.23,1,0.0
online generative ai course,USA,Phrase match,0.85,1,0.0
mit professional development,A,Broad match,4.35,3,0.42669868
generative ai course,A,Broad match,2.72,4,1.8861686
generative ai courses,A,Broad match,0.34,1,0.0
online ai and ml courses,A,Phrase match,6.550000000000001,5,3.2611136
mit xpro ai,A,Broad match,5.36,4,2.6744788
generative ai certificate course,A,Broad match,0.64,1,0.0
generative ai fundamentals course,A,Broad match,2.43,3,1.5449046
generative ai online course,A,Broad match,3.02,2,1.3743757
generative ai online program,A,Broad match,14.95,13,10.755353
generative ai foundations course,A,Broad match,5.16,4,3.085842
online course generative ai,A,Broad match,0.59,1,0.0
prompt engineering course,A,Phrase match,0.9,1,0.0
mit professional development,B,Broad match,2.05,5,1.7298145
generative ai course,B,Broad match,0.58,2,0.0
online ai and ml courses,B,Phrase match,0.82,2,0.045321703
mit xpro ai,B,Broad match,0.82,2,0.045321703
generative ai online program,B,Broad match,5.040000000000001,9,4.9100666
ai certification mit,USA,Exact match,0.78,1,0.0
mit ai course,USA,Phrase match,13.7,10,8.84748
stanford ai professional program,USA,Phrase match,1.34,1,0.0
mit ai course,A,Phrase match,0.43,1,0.0
