Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,67.75999999999999,56,53.39671
generative ai course,USA,Broad match,5.76,6,3.5104253
generative ai courses,USA,Broad match,1.85,1,0.0037198067
online ai and ml courses,USA,Phrase match,34.32,22,19.713285
mit xpro ai,USA,Broad match,68.97,57,54.43924
mit artificial intelligence course,USA,Phrase match,23.04,16,14.571274
generative ai certificate course,USA,Broad match,1.58,1,0.03343439
generative ai fundamentals course,USA,Broad match,3.52,4,0.505424
generative ai online course,USA,Broad match,3.99,3,1.5802977
generative ai online program,USA,Broad match,5.25,5,2.927305
generative ai certificate program,USA,Broad match,1.96,2,0.38013184
generative ai foundations course,USA,Broad match,20.0,16,14.360904
mit generative ai certificate,USA,Broad match,10.22,7,2.0864954
online course generative ai,USA,Broad match,3.4799999999999995,3,0.8250655
prompt engineering course,USA,Phrase match,0.82,1,0.0
online generative ai course,USA,Phrase match,2.06,2,0.28630126
professional ai certificate,USA,Phrase match,1.09,1,0.0
mit professional development,A,Broad match,2.13,3,0.67627
generative ai course,A,Broad match,2.76,3,0.46949816
online ai and ml courses,A,Phrase match,3.48,2,0.4787861
mit xpro ai,A,Broad match,8.399999999999999,6,4.4307456
generative ai fundamentals course,A,Broad match,3.24,4,0.5054233
generative ai online course,A,Broad match,1.31,1,0.0
generative ai online program,A,Broad match,4.13,7,4.39018
generative ai certificate program,A,Broad match,0.8,1,0.0
generative ai foundations course,A,Broad match,6.75,5,3.8889766
online course generative ai,A,Broad match,2.6,2,0.6418686
mit professional development,B,Broad match,5.94,11,8.083056
generative ai online course,B,Broad match,4.69,7,5.966223
online ai and ml courses,B,Phrase match,0.81,3,0.0
generative ai online program,B,Broad match,4.29,13,7.219087
mit generative ai certificate,B,Broad match,3.99,7,2.0375314
generative ai certification online,B,Broad match,1.32,3,0.03343463
online course generative ai,B,Broad match,5.8500000000000005,13,10.404283
prompt engineering course,B,Phrase match,0.78,1,0.0
mit ai course,USA,Phrase match,5.75,5,3.253972
stanford ai professional program,USA,Phrase match,1.72,2,0.0037198067
artificial intelligence course,B,Exact match,0.36,1,0.0
