Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.0,0.0,0.0
357,0.0013795977792161803,9.251211031038223e-05,0.00019362207259359345,0.27576676924677335,0.4767610511504891,0.39019424840931893,0.7228536329740103,0.523146449752852,0.6096121302784934
