Day,k_policy,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Oracle_k,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-02,full,357,232.18431,122.04857,428.7919552934415,170,356.739991173965,333.08,0.34874587621868425,0.2469178168457311,59,36,,,384,1.4550682306289673,0.9024231433868408,-3.274473758404269e-05,119.94999668355882,85.97999999999999,53.752075,28.19897,0.16420137596917447,0.08614197873784991,116.73999738214448,32.49,161.425,61.369457,0.12530262971092795,0.04763669959014578,120.04999710826168,214.60999999999999,17.007248,32.480145,0.059241870538581834,0.1131391385177354,0.0,0.0,0.0,0.0,0.0,0.0,72.93999932779826,333.08,121.70031,122.04857,0.09637662092212376,0.24691781684573108,283.7999918461667,0.0,110.48401,0.0,0.2523692557118061,0.0,62.939998512785785,60.849999999999994,55.647186,3.8626914,0.0798391970077453,0.013207651258575488,88.60999755836902,14.99,69.7082,1.2607783,0.09078900499195006,0.0031231070334765704,205.18999510281014,257.24,106.82894,116.9251,0.17811768004554104,0.23058705815771052
2025-12-03,full,357,280.1094,141.56406,413.33898800359566,204,357.11000177535857,349.52000000000004,0.36934256111961566,0.2876419864924984,48,37,0.0629582808860926,0.9166666666666666,384,1.4394288063049316,0.9038286209106444,-0.0001016337367435,120.5400019404099,85.84,48.792084,32.298176,0.14904963682682784,0.09866418906277005,115.39000225121458,42.29,216.26881,70.78841,0.16787392724347003,0.05494795294271875,121.17999758373406,221.39,15.04852,38.477478,0.052418997049317795,0.13402984448700955,0.0,0.0,0.0,0.0,0.0,0.0,106.61000133319808,349.52000000000004,138.93703,141.56406,0.15185362298603894,0.2876419864924984,250.50000044216048,0.0,141.1724,0.0,0.21748894696900353,0.0,79.97000200924435,54.01,75.48691,4.683168,0.09228755262400003,0.015431621483076856,106.18000039277392,31.819999999999997,112.439255,5.6345735,0.12917159426931205,0.016184925664611174,170.95999937334022,263.68999999999994,92.18324,131.24632,0.14788341661230983,0.25602544049801346
2025-12-04,full,357,291.04312,125.12811,429.15219425970787,174,356.969993073449,321.47999999999996,0.3888410070935095,0.2554859992892494,62,38,0.02936546046518212,0.9354838709677419,384,1.4468461275100708,0.90380859375,-3.021183883493077e-06,118.96999800275695,58.85000000000001,50.577927,20.948364,0.15450500265713515,0.06399288256197881,116.81999710634757,35.419999999999995,222.85223,63.314716,0.17298417478739245,0.04914666739786266,121.17999796434444,227.20999999999998,17.612972,40.86502,0.06135182964898188,0.14234644932940796,0.0,0.0,0.0,0.0,0.0,0.0,91.35999941578342,321.47999999999996,133.44836,125.12811,0.1327346943163486,0.2554859992892494,265.6099936576655,0.0,157.59479,0.0,0.25610630320684147,0.0,65.949999290649,24.28,50.76024,1.6803377,0.06546419845839703,0.005651826636477324,105.12999711214897,22.91,116.279335,2.208253,0.13205388288412917,0.006296995656590016,185.88999667065104,274.28999999999996,124.00355,121.23952,0.19132291867869436,0.24353717405138806
2025-12-05,full,357,218.62744,115.263336,330.66802266707975,170,356.9000057544018,295.81000000000006,0.3889178377918099,0.2322823510223897,78,35,0.9324229532281656,0.9358974358974359,384,1.4429161548614502,0.9044703841209412,-5.314058513667421e-06,147.020003287294,55.59999999999999,77.64009,21.145338,0.23717428056103873,0.06459459060378601,61.22000165440838,37.559999999999995,125.35988,59.161552,0.09730786522750119,0.04592286174393154,148.66000081269942,202.65000000000003,15.627477,34.95644,0.05443569200326998,0.12176489867467213,3.3,0.0,0.14300656,0.0,0.0004981393897725522,0.0,106.31000261349621,295.81000000000006,145.37003,115.263336,0.1687832408024511,0.2322823510223897,247.2900031409056,0.0,73.114395,0.0,0.21963644800477683,0.0,32.02000050283145,28.76,40.393078,2.2807705,0.03330263419219745,0.007657511835268297,89.68000201132577,19.919999999999998,74.08322,3.4881833,0.133744137725098,0.009988950569952837,235.20000324024457,247.12999999999997,104.15114,109.494385,0.22187105614437158,0.21463588729662625
2025-12-06,full,357,172.16205,124.62697,329.1473196984308,194,356.96999943234925,374.28999999999996,0.3601124258669134,0.2792103125664919,138,40,0.7277432229042624,0.9202898550724637,384,1.4831230640411377,0.902096152305603,3.603317576646234e-05,158.17999705774417,110.83999999999999,77.24252,37.689793,0.23595979402831585,0.11513445365325074,40.199998674815895,34.74000000000001,76.27473,51.255962,0.059206589291115844,0.039786320285804415,158.59000369978918,228.70999999999998,18.6448,35.681217,0.06494604254748172,0.12428953862743676,2.6000000830697982,0.0,0.27675223,0.0,0.0009640200117009009,0.0,115.11999873045542,374.28999999999996,114.10222,124.62697,0.17593936703217664,0.2792103125664919,239.25000061882403,0.0,57.78309,0.0,0.18320903799254473,0.0,45.91999903318829,23.740000000000002,41.773064,1.5604012,0.0711757355532963,0.005346479276064595,88.72999842821778,28.730000000000004,61.333336,2.4486217,0.12943956722406486,0.006413169741947226,222.3200019709432,321.82,69.05565,120.61796,0.15949711976758763,0.2674506700752059
2025-12-07,full,357,251.19472,137.0641,376.97074970814987,188,357.1399941957953,394.08000000000004,0.3878794741737555,0.28857863637309356,57,41,0.02967468798894304,0.7543859649122807,384,1.442507266998291,0.9052157998085022,-7.061178109469431e-05,124.41999872448116,116.77000000000001,63.08939,37.07641,0.19272493579310052,0.11326069274335648,107.19999513649446,35.36000000000001,169.95236,63.895744,0.13192180572511608,0.049597674708009507,125.52000033481963,241.95,18.152943,36.09195,0.06323273265553891,0.12572026892172755,0.0,0.0,0.0,0.0,0.0,0.0,110.19999986966803,394.08000000000004,114.067986,137.0641,0.1758201076721582,0.28857863637309356,246.93999432612725,0.0,137.12672,0.0,0.21205936326211716,0.0,73.8199984745935,50.349999999999994,57.334957,3.2197294,0.08881424495390823,0.011091254590670195,98.919997518714,26.36,87.6125,3.8712568,0.12615280486267458,0.011825881989272239,184.39999820248778,317.37000000000006,106.24724,129.97311,0.17291242777473587,0.26566150551753115
2025-12-08,full,357,266.32956,116.756516,370.08885009231074,173,353.1000039504768,340.53,0.41597104754044545,0.2454104000139996,28,32,0.018620612434691364,0.6071428571428571,384,1.4361103773117063,0.9060320854187012,-0.0001241222097705,123.22999982945075,73.75000000000001,60.916195,24.5321,0.18608627879034756,0.07494045551191607,97.33999972910644,31.610000000000003,179.39397,55.697285,0.13925064490424877,0.04323379668916147,132.53000439191953,235.17,26.019375,36.52713,0.09063412384584912,0.12723614781292206,0.0,0.0,0.0,0.0,0.0,0.0,103.57999966050868,340.53,117.102165,116.756516,0.17390746905716767,0.2454104000139996,249.52000428996806,0.0,149.22739,0.0,0.24206357557655878,0.0,57.80000026628143,31.619999999999997,64.8448,1.6835339,0.08090501707807758,0.0058327068137629294,162.2000019858704,21.75,119.07587,3.110618,0.1856836154656193,0.009649934060176803,133.10000169832492,287.15999999999997,82.408875,111.96237,0.1493824155141498,0.22992774885453554
2025-12-09,full,357,228.98006,134.52322,339.46192147073043,192,357.124999153788,329.9,0.3959381876061161,0.2806605200545216,69,32,0.1995434793922223,0.8260869565217391,384,1.4580093622207642,0.9050230383872986,6.956019810144184e-06,139.99500030868003,89.53999999999999,73.811455,32.57071,0.22547861909931924,0.09949672179504143,77.14999938263969,34.12,136.69376,64.2645,0.10610553991653279,0.04988391594085574,139.97999946246824,206.23999999999998,18.474846,37.688015,0.06435402859026408,0.13127988231862442,0.0,0.0,0.0,0.0,0.0,0.0,120.1799983370213,329.9,128.77953,134.52322,0.18599450212713298,0.2806605200545216,236.9450008167667,0.0,100.20054,0.0,0.20994366452740718,0.0,47.099999142966524,43.660000000000004,51.66443,3.8798544,0.06757442122930488,0.012535983548659833,86.61999939349955,28.439999999999998,74.42983,5.2379146,0.11704396976530766,0.01615711907786762,223.4050006173219,257.8,102.88579,125.405464,0.21131978278001576,0.2519674208426894
2025-12-10,full,357,242.30249,95.10571,394.44430644807284,147,356.89999488717103,252.56,0.3698824089128146,0.19281806786137082,89,33,1.594010555205865,0.8089887640449438,384,1.470586895942688,0.9046992659568788,-0.0001031764183684,132.2999986503851,53.67999999999999,63.57101,17.206587,0.1941961751734101,0.052562527326420326,92.35999789481735,27.93,165.08224,48.42554,0.12814149556813204,0.037589267512758706,132.2399983419686,170.95,13.649212,29.47358,0.04754473817127247,0.10266627302219178,0.0,0.0,0.0,0.0,0.0,0.0,123.42000000510521,252.56,108.288895,95.10571,0.16067968300959076,0.19281806786137082,233.4799948820658,0.0,134.01358,0.0,0.20920273348635685,0.0,18.019999575824126,38.12,25.108002,4.9385004,0.02041375167823254,0.015857404679914353,126.07999832808477,16.889999999999997,118.37592,1.2306061,0.15074202518886087,0.003907255991481945,212.79999698326213,197.55000000000004,98.81856,88.9366,0.19872663479917374,0.1730534097836201
2025-12-11,full,357,145.3857,109.06214,268.8287279439052,205,357.1400000000008,424.93,0.33347871566362863,0.2771060657032659,101,46,0.02074828190578235,0.594059405940594,384,1.4430707693099976,0.906779646873474,-3.88882974287893e-05,164.90000416081233,119.01,78.195816,36.438046,0.23887190479906475,0.1113106156532396,26.840001245520508,22.14,51.50813,32.203568,0.03998205921136476,0.02499731527427258,165.39999459366783,283.78000000000003,15.681751,40.42053,0.05462475165319911,0.14079813477575373,1.299999964857808,0.0,0.01185751,0.0,4.130364698822485e-05,0.0,41.760001152082964,424.93,53.08377,109.06214,0.045470532736121616,0.2771060657032659,314.07999888305994,0.0,92.29007,0.0,0.2879668809415011,0.0,6.059999897862211,38.89,0.100177586,2.7812161,0.00034895182770718465,0.009321461626302202,89.74000133171143,43.74,60.09289,6.416861,0.12516481423438827,0.019973099222098206,261.3399987704271,342.29999999999995,85.19263,99.86407,0.2079649489786648,0.2478115168301937
