Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39
generative ai certificate course,-0.88151115,0.082339846,-0.072982356,-0.3156219,0.075381495,0.18956476,-0.005513435,-0.04751124,0.111236274,-0.06382389,-0.027457064,-0.112718195,-0.014681273,-0.025962807,-0.015841693,0.0066027474,-0.108325586,0.007783093,-0.008106359,0.073995605,-0.076306686,-0.014949766,0.049669255,-0.03240513,-0.017858127,-0.025048522,-0.019988948,-0.03207936,0.0172613,0.019633664,-0.0108757615,-0.018957218,-0.029049046,0.031759262,0.026471747,-0.022641899,0.027022174,0.001223701,0.027453596,0.035107624
generative ai fundamentals course,-0.8684076,0.37692973,0.04778419,-0.007369089,-0.02427341,0.050287865,-0.08674888,0.12600276,0.016380781,-0.012829129,-0.04373233,-0.110652775,0.016633192,0.030339362,0.03762227,0.028253406,0.046887957,-0.018849531,0.03538104,0.026687643,0.03269234,0.07880768,-0.019802159,-0.039732207,-0.073461406,-0.08202901,0.043780174,0.0658692,-0.0034572708,0.0613702,-0.0032148026,-0.048820186,-0.032938976,0.01228765,0.006689663,0.03224178,0.042812034,0.08943916,-0.08035551,-0.0019817576
generative ai online course,-0.84388083,0.38876787,-0.21276271,-0.008886168,0.12274671,-0.1343344,0.14214939,-0.09918608,-0.019016594,-0.07347634,-0.04203039,0.006626821,-0.022576462,-0.0021330551,-0.07216289,0.04730338,-0.006997776,0.02577931,0.0017724512,0.033067368,0.00066198275,0.021594247,-0.022305597,-0.03549402,0.013298281,0.0045827776,0.04988352,-0.010576638,-0.017911343,-0.010850971,0.018216379,-0.028602095,0.01741926,0.0249374,-0.020705307,-0.00987779,-0.017285444,0.04164568,0.010708553,-0.025896888
generative ai online program,-0.7262718,0.4298074,0.058620933,-0.0014575965,0.3073035,-0.32627797,0.083284475,-0.16126265,0.012546359,0.010241268,0.026367784,0.012038853,0.075491786,0.021350117,-0.0005761673,0.12905052,-0.010319479,0.021156413,-0.051252604,0.021841448,-0.049632225,-0.031760223,-0.021712892,-0.0029066831,0.05295054,0.005037776,0.025998445,-0.009995413,-0.013769972,-0.0567836,0.0069669425,0.004236374,0.016907876,0.00076059345,-0.06898116,0.035812646,-0.03432635,-0.06598709,-0.0063663,-0.0037537934
generative ai certificate program,-0.7651388,0.047171738,0.1631226,-0.39185366,0.23860703,0.062809795,-0.081104994,-0.09717027,0.1753106,0.02241838,0.039555363,-0.1648629,0.06558403,-0.036487028,0.033993553,0.07175443,-0.15915264,-0.011979764,0.009620501,0.080079295,-0.13755539,-0.068181634,0.05648644,-0.013031529,0.06555876,-0.034680255,-0.05548095,-0.07525965,0.011487905,-0.002942608,-0.019382037,-0.010732392,-0.033671964,0.028485736,0.0120414235,0.0069242716,0.02593072,-0.05446793,-0.00042416775,0.061662856
generative ai foundations course,-0.8898438,0.332923,-0.08163835,-0.05627033,-0.013511755,0.10903278,-0.026533388,0.024523007,0.05952136,-0.040658,-0.061673447,-0.10799305,-0.03176169,0.048923716,0.087453835,-0.007703361,-0.029116796,0.049437612,0.03447748,-0.038060028,0.016099432,0.036262285,0.059017107,-0.055410292,-0.037666667,-0.0038148533,0.041081388,0.027596897,-0.03703334,-0.0041360767,-0.021895558,0.02465282,-0.0017255436,-0.006744524,-0.021914516,-0.08734806,-0.043982156,-0.0053820885,-0.10008632,0.04251057
mit generative ai certificate,-0.73193955,0.021270474,0.22055347,-0.59659696,-0.018377082,0.040123757,0.0773711,-3.9237504e-05,0.029336885,-0.04626567,-0.04938209,-0.056069713,-0.00096037774,-0.026667511,0.006839059,0.015388938,-0.07281855,-0.005100093,0.001817744,0.064089954,-0.047280673,0.005567082,0.012209353,-0.06053525,0.03308286,-0.044472996,-0.08688767,-0.024906425,0.004733398,0.028765205,-0.03261067,-0.030949458,0.009203879,-0.023362866,0.09385422,-0.010180458,0.0365608,0.004094305,0.031941637,0.013340811
generative ai certification online,-0.8263086,0.09230422,0.0163836,-0.34718463,0.35832328,0.030456202,0.05260383,-0.12453543,-0.0016217367,-0.058877416,-0.018673953,0.05456809,-0.07501887,0.036849007,-0.05321164,0.033192106,0.053281408,0.042464428,-0.013604253,-0.024640622,0.03853576,0.01563635,-0.026616866,-0.017060516,0.051598072,-0.0007488121,0.001719234,-0.032199223,-0.038712032,-0.001553141,0.037646055,0.003760871,0.045734584,0.029543998,-0.009226085,-0.021176256,0.0049766838,-0.026114438,-0.024248164,0.05461996
online course generative ai,-0.78676546,0.3569028,-0.3045845,0.015312666,0.065522194,-0.15644956,0.16986665,-0.18694386,0.096441165,-0.06313434,-0.056589518,0.046786133,-0.063800514,-0.038059227,-0.12017472,-0.001466945,-0.050294247,0.025890326,-0.005363518,0.030539442,-0.015005704,0.0021063061,0.028267158,-0.002999451,0.021223802,0.0076730275,-0.01233932,-0.02200402,-0.03189631,-0.0141492495,0.02424103,-0.01461459,0.0011495401,0.07474904,-0.028363487,0.0142844245,-0.033083692,0.091478035,0.052621767,-0.04699249
professional ai certificate,-0.7239745,-0.44709405,0.048935235,-0.29640612,0.1567059,0.14450179,0.13496417,-0.067544654,0.07411691,-0.0151903005,-0.056839917,-0.081430115,0.107232474,-0.019528631,-0.064488366,0.03764177,-0.018460212,-0.113776684,0.030559462,0.108210795,-0.032217115,0.015522626,-0.02668663,-0.044615585,-0.13774857,0.0551989,0.11662256,0.051613696,0.081641905,-0.008178134,-0.023425102,0.026812013,0.06167403,0.0061682262,0.008632399,-0.019482335,0.023099372,0.0046816603,0.05459387,-0.020757098
