Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29
generative ai courses,-0.8865113,0.38476875,-0.10001247,-0.045998473,-0.010368677,0.16956706,-0.013709866,-0.016002601,-0.0022480295,-0.0022661285,-0.004386763,0.050186377,0.010513756,-0.02755348,0.04147904,-0.01659603,-0.0061605903,0.041040745,-0.053868704,-0.03422664,-0.014380258,-0.0029773007,0.057153717,0.034783855,-0.05356043,0.024420505,-0.034253202,-0.017579686,0.02363144,0.056748934
online ai and ml courses,-0.807508,-0.077741034,-0.33453462,0.13303567,0.12642716,-0.14254615,0.27337822,-0.08198804,-0.13435708,-0.06956881,-0.10883893,0.06833365,-0.08318425,-0.07735677,0.011936515,-0.07111837,0.058829337,-0.059448723,0.02362166,-0.04038461,0.037592683,-0.06336151,-0.011123864,-0.024831539,0.023824533,0.017239193,-0.07256701,0.02549404,-0.08397032,0.08842799
mit ai course,-0.8157975,-0.15281148,-0.031445995,-0.15408969,-0.46339798,-0.1172793,0.10941628,0.022418438,-0.07462159,0.08935475,-0.0069088386,0.021497782,-0.0058014924,-0.100525126,-0.04168443,-0.013651256,0.047315914,0.03211266,-0.024409493,0.0061050244,-0.0063935257,-0.028132679,-0.062496617,0.0048652063,0.07051642,-0.015885063,0.0043379595,0.009300831,-0.05942325,0.042096097
stanford ai professional program,-0.81714493,-0.12350597,0.055997625,0.060573254,-0.06110277,-0.23222947,0.0061354227,-0.0060998206,0.24005222,0.15189196,-0.1055862,-0.15794429,0.04805396,0.15075089,0.14241657,0.037108395,0.0823987,-0.21810354,0.0348527,-0.020056961,0.101059034,-0.10142119,0.020028282,0.00789609,-0.052359477,-0.014033049,0.038156644,-0.04171544,0.017869372,-0.074825756
mit xpro ai,-0.68068445,-0.17139913,0.19511487,-0.16130522,-0.3166756,-0.17768203,0.0042170426,-0.08418424,-0.18519275,0.027298838,0.039251596,-0.031818245,0.06382242,-0.06556878,-0.13601452,0.12136975,-0.012028038,0.13026373,0.34848732,0.096111625,0.1276962,-0.044002697,0.21642223,0.031030111,0.065623574,0.069963485,0.027697401,-0.025101589,0.019047119,0.015665678
mit artificial intelligence course,-0.8352135,-0.21294373,-0.15128265,-0.11260864,-0.33206806,-0.18628465,-0.050676126,0.13245763,-0.07869986,-0.019031245,0.048983406,-0.021589687,-0.021070268,-0.020069316,0.10718162,-0.026561737,-0.04350193,0.0989059,-0.120916754,0.0213746,0.005172309,0.028795578,-0.056822993,-0.019276617,0.026249047,-0.010746346,-0.01482469,-0.040734142,0.0080118,-0.0019835997
professional certificate in ai,-0.6863147,-0.47899133,0.0559385,-0.31650525,0.15269782,0.17033581,0.15134774,-0.049147885,0.08209008,-0.07219777,-0.05776439,-0.06808154,0.11413605,-0.06250585,-0.051224507,0.028781002,-0.0366821,-0.13589588,0.045570653,0.118641175,-0.039568562,0.017325955,-0.016783591,-0.0014456451,-0.15940721,0.035249364,0.09759582,0.05118785,0.036154315,0.007220253
generative ai course mit,-0.8551113,0.3523425,0.0661686,-0.20181245,-0.2704011,0.015075957,0.019709468,0.00584592,0.00037435823,0.024332134,0.0045788833,0.022205213,-0.037130196,-0.08048868,0.0022157514,-0.011408693,-0.0025736948,0.090239204,-0.024204897,-0.010915496,-0.013858301,-0.01915624,0.006674608,0.02392307,0.0021494078,-0.05584882,-0.046713673,-0.009878714,-0.015672091,-0.031434022
prompt engineering course,-0.55117697,-0.050138984,-0.24641603,0.03509883,-0.33148998,0.18973391,-0.34001598,-0.4249864,0.09351265,-0.26973686,-0.014419047,-0.14580947,-0.07925782,0.082503155,-0.08094308,0.025433056,-0.021651976,0.065418445,0.065994516,-0.08236284,0.0189595,0.082683444,-0.16447942,0.058646284,0.045845862,0.07387172,-0.019383946,0.058816176,-0.0069560423,-0.03676765
mit xpro ai course,-0.7560469,-0.15341482,-0.06631391,-0.124116674,-0.34570178,-0.06430198,-0.04130248,-0.09660456,-0.17818065,-0.031204656,0.018914632,-0.07183054,0.010059224,-0.107788496,-0.094895475,0.08836888,-0.023035316,0.1246561,0.30873585,0.11252076,0.11917886,-0.07123303,0.16652752,0.017911613,0.0744372,0.046911884,0.041313518,-0.042207785,-0.008962373,0.030160688
online generative ai course,-0.84208137,0.3998916,-0.19598125,0.0067545227,0.11913043,-0.1516445,0.1474716,-0.075138375,-0.02950775,-0.073690794,-0.050355725,0.0057846233,-0.020906592,-0.0037531175,-0.08576964,0.047049277,0.0049842014,0.013188879,-0.003983636,0.025006402,0.006718335,0.01218681,-0.02890603,-0.053435497,0.015416406,-0.012624408,0.05322232,-0.008990236,-0.03128997,-0.006648988
artificial intelligence course,-0.86936295,-0.22535063,-0.26759958,0.10049847,-0.108777724,-0.070179865,-0.11734441,0.12278605,-0.002320802,-0.028262142,0.028808532,-0.0543114,0.040655993,-0.09571928,0.03685639,-0.07133831,-0.043795273,0.121767975,-0.070932075,0.03225765,-0.004395214,0.050774425,-0.05576757,0.06669985,0.0009634663,0.040800184,0.0570189,-0.044423163,0.06466215,-0.014842639
mit generative ai course,-0.86889637,0.3327045,0.07368143,-0.20020704,-0.2585044,0.0025351406,0.031520754,0.052535348,-0.02031035,0.011059008,-0.0175326,0.0042739725,-0.01876796,-0.054994013,0.015096443,-0.0073905536,0.009634452,0.07336459,-0.01689009,0.011855433,-0.005594198,-0.01468991,-0.027289346,-0.014072788,-0.0030080096,-0.061141524,-0.039287955,-0.007588812,-0.029275592,-0.020358942
generative ai fundamentals,-0.76851475,0.4465979,0.30430448,-0.07592219,0.09238688,-0.022538695,-0.08606772,0.1551359,-0.013447867,0.032852713,-0.058356125,-0.027736494,0.06582695,0.059144665,0.038064543,0.038063813,0.09903297,-0.020602712,0.03329902,-0.010336965,0.04172887,0.063353166,-0.03479006,0.026482226,-0.10884943,-0.05169665,-0.039175734,0.08481355,-0.033176832,0.10688394
ai certification mit,-0.7791661,-0.41706887,0.08603606,-0.35525307,-0.10233033,0.034574572,0.09565989,-0.034224175,-0.037815053,0.066774346,0.0020373755,0.11718567,-0.07182822,0.032040372,0.03023615,0.017446646,0.08044778,0.012434811,-0.08024919,0.00731549,0.05015494,0.051585432,-0.030006526,-0.0473543,0.06403513,-0.06366401,0.0013242463,0.0060142744,-0.08126199,0.009663821
driving innovation with generative ai mit,-0.6470802,0.20776618,0.44186038,-0.12528513,-0.09264148,-0.01654641,0.005999011,-0.08886963,-0.28917834,-0.08199773,-0.12949966,0.025701761,-0.08649412,0.23878619,0.10788164,-0.2607434,0.053854894,0.030231057,-0.11870482,0.07748884,-0.14284001,-0.10129925,0.006677742,0.050074656,-0.02151746,0.005739976,-0.008492597,0.0041692588,-0.02194997,-0.01719132
generative ai course usa,-0.91065884,0.35417828,-0.009520446,-0.04624224,-0.048019286,0.05191561,-0.020266078,0.010941445,0.06734531,0.049028456,-0.027360845,-0.023502141,0.050310392,-0.02673004,-0.03277446,-0.07948469,-0.04033636,0.062862955,-0.028500887,-0.057991248,0.003638796,0.034724902,0.023540325,0.0609321,0.017480684,-0.013608342,0.04426655,-0.019770538,0.010512234,-0.020694308
artificial intelligence certification mit,-0.76383406,-0.42670017,0.05251567,-0.35329023,-0.03486765,-0.08616713,-0.091073856,0.05516163,0.037502427,-0.0042567872,0.09838318,0.10262528,-0.12411051,0.031956054,0.056956336,-0.013001371,0.025064452,0.11491251,-0.12300054,-0.009341184,0.035925657,0.04112178,-0.019586658,-0.0144945625,0.063046984,-0.06478111,0.0020467208,-0.029988611,-0.058978446,0.01682201
mit ai class,-0.7989235,-0.11883463,0.0994328,-0.08857764,-0.37552947,-0.12118334,0.12317174,0.059785366,-0.03748048,0.19013363,-0.025709918,0.023534657,0.021543093,-0.13400881,-0.04902483,-0.04636038,0.09141632,-0.0077307373,0.015200046,0.028770007,0.010608163,0.04256977,-0.061319165,-0.039415274,-0.003969787,0.049646705,-0.17570756,0.032958094,-0.016100751,-0.20555957
certification for artificial intelligence,-0.709099,-0.4950645,0.010872255,-0.239078,0.27679992,0.07464504,-0.18417783,0.10176222,0.058344286,0.0056126267,0.036685105,0.03940005,-0.12700868,-0.01173669,-0.055290494,-0.00649082,0.051340606,0.12215711,-0.052311342,0.01632253,0.11190392,0.025673294,-0.011075407,0.03387865,0.023743946,-0.023410827,-0.012576914,-0.027891502,-0.07330452,0.014481613
learn how to program ai,-0.8167507,-0.041740853,0.12110888,0.29552248,0.113975346,-0.005772331,-0.1475846,-0.071076624,0.05206825,0.16767901,0.047514044,-0.08195214,0.09063958,-0.04571193,0.14060727,0.14540604,0.10332852,0.036399532,-0.04179187,0.15972286,-0.03269545,-0.06672241,-0.10699508,-0.042176437,0.084863015,-0.16411087,0.044383757,-0.04389226,-0.021450436,-0.042433813
course on generative ai,-0.86367315,0.44532028,0.03669755,-0.059957985,0.0065964363,0.06976834,-0.039178863,0.13985996,0.0027573998,-0.004204333,-0.010919152,-0.011792093,0.025804734,-0.056944475,-0.011362609,0.018533662,0.036959115,0.0052621732,0.04735084,0.03840747,0.020767944,0.005591578,-0.07488881,0.019253965,0.0048500956,0.052227855,0.034638464,0.057287,-0.008789162,0.035810705
artificial intelligence training,-0.84309727,-0.16805258,-0.043007784,0.15276182,0.10370809,-0.11762759,-0.1530746,0.0040281564,0.13905631,0.113748685,0.07797878,0.18841963,-0.010640306,-0.11870283,0.07772107,-0.08233187,0.095340125,0.0404738,-0.022941219,0.11211275,0.031114906,0.0500538,-0.018907694,0.07635083,-0.12818952,-0.016847393,-0.07884577,-0.1158896,0.12637183,0.03196676
driving innovation with ai mit xpro,-0.60431117,-0.12488937,0.3913165,0.032921385,-0.062995166,-0.03554276,-0.035283446,-0.18031876,-0.3709034,-0.031645097,-0.16615652,-0.07860302,-0.04437905,0.24368669,0.006500412,-0.23845285,0.018726423,0.11559506,0.17596142,0.23362409,0.014877949,-0.114550285,0.13019897,0.026011294,-0.01361542,0.06305304,0.023534348,-0.020153178,-0.006125563,0.0030529974
