Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Cost_USA,Opt_Cost_A,Opt_Cost_B,Act_Cost_USA,Act_Cost_A,Act_Cost_B,N_Opt,N_Obs,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias
2025-12-01,300,392.39816,221.91217,360.7515182446003,322,299.99999999999994,355.41,0.0,0.0,299.99999999999994,300.35,35.54,19.52,30,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,350,437.57715,221.91217,410.5305908473638,322,349.82799757230947,355.41,0.0,0.0,349.82799757230947,300.35,35.54,19.52,29,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,400,476.6699,221.91217,459.7185108775565,322,399.8308915272347,355.41,0.0,0.0,399.8308915272347,300.35,35.54,19.52,37,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,450,523.1064,221.91217,509.03460346594255,322,449.9030305913181,355.41,0.0,61.0078625987982,388.89516799251993,300.35,35.54,19.52,36,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,500,566.98193,221.91217,556.8631069053445,322,499.794478093061,355.41,0.0,61.0078625987982,438.7866154942628,300.35,35.54,19.52,40,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,550,602.71625,221.91217,604.0630444031912,322,549.9999999999923,355.41,0.0,61.0078625987982,488.99213740119393,300.35,35.54,19.52,46,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,300,318.1377,200.57773,516.7060169624655,292,300.0000000000007,350.34000000000003,0.0,0.0,300.0000000000007,297.8,37.61,14.93,61,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,350,369.48706,200.57773,589.4631605263824,292,349.999999999988,350.34000000000003,0.0,0.0,349.999999999988,297.8,37.61,14.93,65,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,400,431.2399,200.57773,659.8586131088587,292,399.9381947100221,350.34000000000003,0.0,0.0,399.9381947100221,297.8,37.61,14.93,68,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,450,476.40735,200.57773,729.2231474810411,292,449.99999999999295,350.34000000000003,0.0,0.0,449.99999999999295,297.8,37.61,14.93,73,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,500,520.34125,200.57773,796.26386832485,292,499.9999999999995,350.34000000000003,0.0,0.0,499.9999999999995,297.8,37.61,14.93,76,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,550,561.3864,200.57773,860.9810879876029,292,549.9999987238181,350.34000000000003,0.0,0.0,549.9999987238181,297.8,37.61,14.93,78,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-03,300,396.926,202.77689,510.87503822654384,276,299.97358599506094,359.4600000000001,0.0,0.4874459071960763,299.48614008786484,315.23,38.870000000000005,5.359999999999999,26,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-03,350,439.77524,202.77689,583.1033564467733,276,349.66847644719985,359.4600000000001,0.0,0.0,349.66847644719985,315.23,38.870000000000005,5.359999999999999,28,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-03,400,492.08182,202.77689,655.5883704705881,276,399.92570477718067,359.4600000000001,0.0,0.0,399.92570477718067,315.23,38.870000000000005,5.359999999999999,33,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-03,450,533.0168,202.77689,726.1794898738964,276,449.99016313859755,359.4600000000001,0.0,0.0,449.99016313859755,315.23,38.870000000000005,5.359999999999999,43,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-03,500,577.4162,202.77689,795.980909596939,276,499.99999741810893,359.4600000000001,0.0,0.0,499.99999741810893,315.23,38.870000000000005,5.359999999999999,48,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-03,550,633.964,202.77689,862.066724726679,276,550.0,359.4600000000001,0.0,14.00489152891888,535.995108471081,315.23,38.870000000000005,5.359999999999999,52,36,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-04,300,269.06815,222.36336,343.00757984575944,308,299.9999986689762,370.06000000000006,0.0,0.0,299.9999986689762,318.31000000000006,25.39,26.36,33,35,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
