Day,k_policy,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Oracle_k,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,50,353,89.841446,132.05516,260.07612834458837,190,353.860001362721,339.01,0.1166635704354133,0.10487356328673753,356,44,,,384,,,,353.860001362721,256.5,89.841446,62.83869,0.1166635704354133,0.08159915375053577,0.0,31.95,0.0,47.316658,0.0,0.006530674039867488,0.0,50.56000000000001,0.0,21.899807,0.0,0.016743735496334275,129.9500008149606,0.0,34.596603,0.0,0.044925400438705604,0.0,27.99000017687689,339.01,7.0857606,132.05516,0.009201211167259932,0.10487356328673753,195.92000037088354,0.0,48.159092,0.0,0.06253696254462755,0.0,75.84000067454721,7.5,17.028162,1.9388525,0.022111910466992072,0.0017056235823476348,98.38000046173808,35.900000000000006,25.098375,5.832954,0.03259148156265281,0.00646246377955793,179.6400002264357,295.61,47.71492,124.283356,0.06196017840576842,0.09670547503273234
2025-12-02,50,353,85.70434,142.21645,232.03677954365457,213,353.9600012044018,344.9,0.11129131148349226,0.11544884085365881,326,43,0.06475966699781087,0.5828220858895705,384,,,,353.9600012044018,259.25,85.70434,68.29123,0.11129131148349226,0.08867952852961031,0.0,35.45,0.0,47.484615,0.0,0.006553856138189262,0.0,50.2,0.0,26.44061,0.0,0.02021545618585924,112.11999915084675,0.0,26.737476,0.0,0.034719932831010145,0.0,39.48000022109065,344.9,10.244244,142.21645,0.013302656959322671,0.11544884085365881,202.3600018324644,0.0,48.722614,0.0,0.06326872416994597,0.0,137.78000062927146,3.38,24.610485,0.7436171,0.03195793195342098,0.000694729335299049,8.300000037907921,14.04,2.8649068,2.3625898,0.0037202231444693657,0.002162527798067136,207.88000053722243,327.47999999999996,58.228943,139.11024,0.07561316195837159,0.11259158508010901
2025-12-03,50,353,68.707855,142.13225,210.71313461002666,214,353.98999999999955,350.34000000000003,0.08512142385556341,0.12055045554302007,376,44,0.1848680923607124,0.776595744680851,384,,,,327.44000004121307,265.53,61.03142,71.430084,0.0792523192606722,0.09275549685708084,0.0,31.589999999999996,0.0,41.91455,0.0,0.005785072365683608,26.549999958786486,53.22,7.6764393,28.78762,0.005869104594891221,0.02200988632025562,63.13999950087395,0.0,13.938094,0.0,0.017735704786360565,0.0,38.88999996417504,350.34000000000003,8.860593,142.13225,0.011505917995115165,0.12055045554302007,251.96000053495058,0.0,45.909176,0.0,0.05587979602937188,0.0,47.020001033862464,5.37,8.478596,1.116467,0.011009875858586623,0.001004607140259847,107.8400019663904,32.769999999999996,18.886967,6.680336,0.023477979717913107,0.006956792976589948,199.12999699974668,312.2,41.342297,134.33545,0.050633563325490634,0.11258905259689628
2025-12-04,50,353,78.795944,133.10881,276.2495454041165,202,353.99000000000694,342.20000000000005,0.10232043031754322,0.10474333930092197,379,42,0.1771388216419543,0.8786279683377308,384,,,,353.99000000000694,258.35,78.795944,60.499607,0.10232043031754322,0.07856173173454989,0.0,31.779999999999998,0.0,46.81669,0.0,0.006461668993984036,0.0,52.07,0.0,25.792505,0.0,0.019719938572388043,108.50999650915251,0.0,23.284245,0.0,0.03023574054844436,0.0,34.84999890471958,342.20000000000005,8.205075,133.10881,0.010654694763716586,0.10474333930092197,210.63000458613487,0.0,47.306625,0.0,0.0614299974821688,0.0,29.04999923894245,25.61,7.1836243,2.570107,0.009328290130298563,0.003274059607538452,117.89000791017068,22.759999999999998,22.716305,4.043748,0.029498245162319935,0.004469716492515583,207.04999285089383,293.83,48.89602,126.49496,0.0634938987401045,0.09699956707156446
2025-12-05,50,353,59.24903,107.810425,338.9256664237266,158,353.9900000000147,242.95999999999998,0.07657368043579936,0.07966717031370311,509,36,0.31456585243590773,0.9449901768172888,384,,,,346.4500001640691,179.33,58.567146,47.389324,0.07605233583788663,0.061537381038758464,0.0,31.500000000000004,0.0,44.794933,0.0,0.006182624028373038,7.539999835945563,32.129999999999995,0.6818877,15.626181,0.0005213445979127213,0.01194716524657161,30.309999288300055,0.0,3.228975,0.0,0.004192984106856986,0.0,19.469999580807936,242.95999999999998,4.0921655,107.810425,0.005313879235930497,0.07966717031370311,304.2100011309067,0.0,51.927895,0.0,0.06706681275863546,0.0,65.17999851832126,7.61,9.839893,0.5932232,0.01262892684131752,0.000744992393495111,129.78999742532824,14.469999999999999,22.005812,2.8531194,0.02850212320631693,0.002593001243811698,159.02000405636522,220.88000000000002,27.403328,104.36409,0.03544263038816491,0.07632917531912571
2025-12-06,50,353,72.682106,104.40683,269.16099111234706,151,353.9499893078578,226.74999999999997,0.09271184583232178,0.07936973373160539,398,29,0.1959150813984447,0.7236180904522613,384,,,,344.789989662434,163.56999999999996,69.555695,44.295155,0.09032151911011212,0.057519448773148095,0.0,26.46,0.0,38.47917,0.0,0.005310919215716527,9.159999645423841,36.72,3.126405,21.632504,0.0023903267222096717,0.016539365742740765,81.24999761095114,0.0,12.178383,0.0,0.015358774777596092,0.0,25.389999312260915,226.74999999999997,4.876439,104.40683,0.006332297322520899,0.07936973373160539,247.30999238464574,0.0,55.62729,0.0,0.07102077735624185,0.0,51.00999852591354,5.23,12.976219,0.64242506,0.016479411951760177,0.0008342207110992213,56.219998165547615,3.0100000000000002,14.834513,0.83586013,0.01897478203235718,0.0007636807613013268,246.71999261639664,218.51,44.87138,102.928535,0.05725765684734886,0.07777183336016638
2025-12-07,50,353,72.18211,213.16707,279.018061835823,289,353.87999157353386,571.83,0.09221346714366661,0.19141386895725898,407,45,0.016370388066844113,0.515970515970516,384,,,,346.31999142907057,444.0400000000001,69.33827,115.06269,0.09003917535337727,0.14941458429494536,0.0,39.92,0.0,52.682144,0.0,0.0072712223009309416,7.560000144463326,87.86999999999999,2.843844,45.42223,0.0021742917902893458,0.034728062361382685,101.09999697816214,0.0,15.996004,0.0,0.020144692102226296,0.0,32.36999892385208,571.83,5.862214,213.16707,0.007612375521573611,0.19141386895725898,220.40999567151965,0.0,50.323902,0.0,0.06445640500149363,0.0,30.46999994761116,11.66,10.049452,1.613128,0.012840739854614633,0.0016718324835494768,38.489999824456234,24.87,12.156993,5.1702185,0.015453122582089834,0.005423956081582926,284.9199918014665,535.3,49.975674,206.38371,0.06391960594535541,0.1843180813019825
2025-12-08,50,353,74.34944,122.822266,299.0777282154176,191,353.99000000000035,317.5200000000001,0.09654643659122313,0.09684234226258637,399,39,0.0896111575700652,0.7568922305764411,384,,,,353.99000000000035,235.20999999999998,74.34944,55.99942,0.09654643659122313,0.07271800656039731,0.0,32.23,0.0,43.039215,0.0,0.005940299759227037,0.0,50.08,0.0,23.783638,0.0,0.018184035942962015,98.42999827728154,0.0,18.3252,0.0,0.02379617979348026,0.0,27.389999479408377,317.5200000000001,6.5471363,122.822266,0.008501779655652512,0.09684234226258637,228.17000224331048,0.0,49.47711,0.0,0.06424847652289373,0.0,45.740004033191774,7.300000000000001,11.622068,2.2546532,0.015091830579088738,0.001050201976315255,83.15999933221366,45.48,17.83767,10.699,0.023163095820115186,0.0070519788193834755,225.0899966345949,264.74,44.88971,109.86861,0.058291507715232685,0.08874016476904631
2025-12-09,50,353,76.84858,142.50809,303.90431347216463,220,353.98999999999785,359.0799999999999,0.09858778170332737,0.1201845612093705,396,38,0.0025614540334796257,0.35858585858585856,384,,,,348.7200053256182,275.52,74.59403,72.44811,0.09686403988093174,0.09407744698993316,0.0899945570714482,32.0,0.0,43.824795,0.0,0.006048725428902175,5.180000117308151,51.56,2.2545514,26.235178,0.0017237418223956212,0.02005838879053517,46.419995103224124,0.0,9.601313,0.0,0.012467778042204359,0.0,17.430000180295945,359.0799999999999,4.1877956,142.50809,0.0054380597395379295,0.1201845612093705,290.14000471647785,0.0,63.059475,0.0,0.08068193772961878,0.0,43.26000093445119,0.99,10.811578,0.3075028,0.014039367204118584,0.00023510459285378568,57.62999578150972,21.86,12.689576,3.0788283,0.01647804341512575,0.003998010852390981,253.10000328403697,336.22999999999996,53.347427,139.12175,0.06807036860729651,0.115951447667287
2025-12-10,50,353,121.09749,133.40765,448.3877214581561,198,353.9599961978619,343.87000000000006,0.1357563098175769,0.11902671094184802,299,41,0.26033350351238904,0.882943143812709,384,,,,264.74999727994026,263.42,80.84425,70.91303,0.10498026127417841,0.09208407965866414,0.0,27.91,0.0,33.25933,0.0,0.004590474040688096,89.20999891792165,52.540000000000006,40.253235,29.23529,0.030776048543398483,0.02235215724249579,25.359999338695516,0.0,5.8082395,0.0,0.007542285558891583,0.0,24.219999450094008,343.87000000000006,8.340066,133.40765,0.00970521294664756,0.11902671094184802,304.3799974090723,0.0,106.94919,0.0,0.11850881251569612,0.0,80.7999995255734,8.77,29.637505,1.2671384,0.03228923766633837,0.0016201045405282496,86.06999944218245,16.33,31.51398,3.3265557,0.03552547991233291,0.0022955002010110444,187.089997230106,318.77000000000004,59.946007,128.81398,0.06794159617397613,0.1151111070700094
