Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
353,0.2226757945892141,0.1890165582649406,0.1974691857524358,0.08466990080775989,0.09212788774520392,0.09410033110692559,0.6926543046030263,0.7188555738572391,0.70843048277594
